rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/std,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
301.0,252,122880,487,267.04993,15,6743.498944091797,0.0,-5.676011157035828,-8.134845120366663e-05,0.00022095441818237305,0.2,140,3018.378173828125,1.000070333480835,1e-05,1.2171433e-05,,
301.0,252,131072,520,276.67053,16,2333.24532623291,0.0,-5.675969648361206,-0.00030465405143331736,0.00013560056686401367,0.2,150,967.25,1.0000299215316772,1e-05,0.00013264435,,
301.0,251,139264,552,267.8797,17,7839.063891601562,0.0,-5.675816798210144,-2.528635523049161e-05,3.3855438232421875e-05,0.2,160,3811.16259765625,1.0000112056732178,1e-05,2.4260175e-05,,
301.0,251,147456,585,280.6977,18,6775.552197265625,0.0,-5.675802731513977,-0.00010539287177380174,5.608797073364258e-05,0.2,170,3879.59423828125,1.0000171661376953,1e-05,1.5458572e-05,,
301.0,251,155648,618,361.455,19,6761.624365234375,0.0,-5.675814306735992,-0.00014498114178422837,4.184246063232422e-05,0.2,180,3561.59619140625,1.0000132322311401,1e-05,2.186055e-05,,
301.0,251,163840,650,362.82043,20,10180.925500488282,0.0,-5.675803303718567,-8.801889489404858e-05,2.7239322662353516e-05,0.2,190,6451.30126953125,1.0000152587890625,1e-05,1.2240584e-05,,
301.0,251,172032,683,357.39163,21,8109.749719238282,0.0,-5.675801241397858,-4.69006656203419e-05,1.5556812286376953e-05,0.2,200,3524.66845703125,1.0000094175338745,1e-05,8.35301e-06,,
301.0,251,180224,716,370.76364,22,7947.539611816406,0.0,-5.675774085521698,-8.894521452020853e-05,1.8656253814697266e-05,0.2,210,3381.174072265625,1.0000029802322388,1e-05,1.2226941e-05,,
301.0,251,188416,748,367.40704,23,7150.1611328125,0.0,-5.675759387016297,-0.00010322262241970747,2.0325183868408203e-05,0.2,220,3679.8251953125,1.0000033378601074,1e-05,1.455663e-05,,
301.0,251,196608,781,322.95,24,8812.995776367188,0.0,-5.675778079032898,-8.404824475292117e-05,1.245737075805664e-05,0.2,230,5711.58642578125,1.000011920928955,1e-05,1.0875381e-05,,
301.0,251,204800,813,366.05942,25,5670.713580322265,0.0,-5.675847411155701,-0.0001271187182283029,1.6689300537109375e-05,0.2,240,3687.11181640625,1.0000410079956055,1e-05,1.9051862e-05,,
301.0,252,212992,844,428.03577,26,13163.0986328125,0.0,-5.675935697555542,-1.891877327580005e-05,1.5497207641601562e-06,0.2,250,7643.24658203125,1.0000483989715576,1e-05,4.0357336e-06,,
301.0,252,221184,876,488.61008,27,14400.818603515625,0.0,-5.675945937633514,-0.00011706933146342635,9.5367431640625e-06,0.2,260,9003.4853515625,1.0000507831573486,1e-05,1.0400261e-05,,
301.0,252,229376,908,442.16794,28,14417.178198242187,0.0,-5.675935709476471,-7.638182869413867e-05,5.364418029785156e-06,0.2,270,6509.72509765625,1.0000402927398682,1e-05,8.965093e-06,,
301.0,252,237568,940,444.92517,29,4719.521405029297,0.0,-5.675901329517364,-9.343975107185542e-05,8.64267349243164e-06,0.2,280,2221.54052734375,1.0000370740890503,1e-05,1.7979582e-05,,
301.0,252,245760,972,394.02036,30,11343.423608398438,0.0,-5.675897419452667,-0.00011808277049567551,7.510185241699219e-06,0.2,290,4435.16748046875,1.000037670135498,1e-05,1.3406476e-05,,
301.0,252,253952,1004,507.39035,31,9040.053479003906,0.0,-5.675913095474243,-0.00014849753642920405,5.245208740234375e-06,0.2,300,4097.10693359375,1.0000455379486084,1e-05,1.906405e-05,,
301.0,252,262144,1036,654.0493,32,22426.068359375,0.0,-5.675948417186737,-0.0001309798302827403,4.708766937255859e-06,0.2,310,13684.044921875,1.0000548362731934,1e-05,1.0286851e-05,,
301.0,252,270336,1068,681.7283,33,21161.068994140624,0.0,-5.675972437858581,-3.835805109702051e-05,2.6226043701171875e-06,0.2,320,11492.4775390625,1.0000555515289307,1e-05,3.4047698e-06,,
301.0,252,278528,1100,717.3248,34,16134.585571289062,0.0,-5.675964415073395,-3.1332371872849765e-05,1.1324882507324219e-06,0.2,330,8453.1708984375,1.000051736831665,1e-05,3.247129e-06,,
301.0,253,286720,1133,601.9149,35,13616.522265625,0.0,-5.675933825969696,-6.683937390334904e-05,3.635883331298828e-06,0.2,340,7463.099609375,1.000038743019104,1e-05,6.7687724e-06,,
301.0,253,294912,1165,548.7596,36,10221.940380859374,0.0,-5.675907778739929,-0.0001454679382732138,5.304813385009766e-06,0.2,350,4454.24853515625,1.000044345855713,1e-05,1.8256178e-05,,
301.0,253,303104,1197,595.8243,37,17157.73564453125,0.0,-5.675917065143585,-0.00014368469128385187,3.159046173095703e-06,0.2,360,8860.8583984375,1.0000360012054443,1e-05,1.5548765e-05,,
