rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/clip_range,eval/mean_reward,eval/mean_ep_length
301.0,679.14484,35,297,286720,965,-5.663427001237869,340,14929.720703125,28862.45537109375,0.01978759765625,0.0051637245,-0.0015915028008748778,0.9969080686569214,-1.1920928955078125e-07,0.0001,0.2,,
301.0,632.1534,36,296,294912,992,-5.663049179315567,350,17612.783203125,36153.68959960937,0.0218505859375,0.005072561,-0.0019283457542769611,0.9967648983001709,-1.1920928955078125e-07,0.0001,0.2,,
301.0,521.52545,37,296,303104,1020,-5.6630465388298035,360,14389.4150390625,31600.16145019531,0.02010498046875,0.0036145402,-0.001744764784234576,0.9969549179077148,0.0,0.0001,0.2,,
301.0,501.40833,38,296,311296,1048,-5.662825632095337,370,15297.5341796875,37126.615991210936,0.02550048828125,0.0077421535,-0.0020581225166097284,0.9965401291847229,0.0,0.0001,0.2,,
301.0,415.1623,39,296,319488,1076,-5.6581480503082275,380,19950.470703125,35929.91127929687,0.12740478515625,0.0053639705,0.00143632954423083,0.9946015477180481,1.1920928955078125e-07,0.0001,0.2,,
301.0,382.05273,40,296,327680,1103,-5.652177774906159,390,19348.208984375,38296.834252929686,0.042724609375,0.006161662,0.0004493625194299966,0.9940266609191895,0.0,0.0001,0.2,,
301.0,301.72925,41,296,335872,1131,-5.650472474098206,400,16950.6953125,34060.496826171875,0.147021484375,0.06714849,0.006464294856414199,0.993343710899353,0.0,0.0001,0.2,,
301.0,263.08295,42,296,344064,1159,-5.6473003149032595,410,24454.59375,45240.8712890625,0.03172607421875,0.002159462,-0.0006747935083694756,0.9924672842025757,5.960464477539063e-08,0.0001,0.2,,
301.0,110.19487,43,296,352256,1187,-5.645173275470734,420,30589.73046875,63429.56235351563,0.1230224609375,0.0053856894,0.00014787383406655863,0.9922094345092773,-1.1920928955078125e-07,0.0001,0.2,,
301.0,-144.05717,44,296,360448,1215,-5.6434483349323274,430,113354.625,145789.672265625,0.0144287109375,0.0032283878,0.000125119426229503,0.9919852614402771,-2.384185791015625e-07,0.0001,0.2,,
301.0,-205.44852,45,296,368640,1243,-5.643492221832275,440,125066.796875,374248.5783203125,0.0,0.00011551911,-0.00011510108306538314,0.9919866323471069,0.0,0.0001,0.2,,
300.87,-296.3915,46,296,376832,1271,-5.643234544992447,450,20192.908203125,43240.76950683594,0.01253662109375,0.004617449,-0.0011289520538412035,0.9917608499526978,-2.384185791015625e-07,0.0001,0.2,,
300.87,-966.53406,47,296,385024,1299,-5.642570853233337,460,78300.4453125,150040.53359375,0.0,0.00016410122,-0.00019263266876805573,0.991779088973999,0.0,0.0001,0.2,,
300.87,-966.3611,48,296,393216,1326,-5.642664450407028,470,350694.6875,993978.16796875,0.0,4.079884e-05,-0.00012057470448780804,0.9917828440666199,0.0,0.0001,0.2,,
,,,,400000,,-5.642636722326278,480,122414.1171875,328267.3333984375,0.0,0.00021432167,-0.00024463492882205174,0.9917687177658081,0.0,0.0001,0.2,-3847.53369140625,176.94
300.57,-1583.7699,49,284,401408,1409,,,,,,,,,,,,,
300.61,-1460.0172,50,285,409600,1437,-5.642621660232544,490,357954.59375,846006.21875,0.0,1.671628e-05,-4.8244176286971194e-05,0.9917819499969482,0.0,0.0001,0.2,,
300.57,-1907.4583,51,285,417792,1465,-5.642637318372726,500,229481.59375,421106.2314453125,0.0,2.4668989e-05,-3.892169479513541e-05,0.9917669296264648,5.960464477539063e-08,0.0001,0.2,,
300.58,-2669.691,52,285,425984,1492,-5.6425947666168215,510,598084.8125,1171014.36484375,0.0,9.5010255e-06,-4.10059597925283e-05,0.9917646646499634,0.0,0.0001,0.2,,
300.81,-2016.3025,53,285,434176,1521,-5.642613863945007,520,489277.90625,1509128.84296875,0.0,2.4388792e-05,-7.501778309233486e-05,0.9917762875556946,0.0,0.0001,0.2,,
300.92,-1474.0693,54,285,442368,1548,-5.6411777377128605,530,23573.08984375,51440.97524414062,0.0250732421875,0.0041485177,-0.0018413613404845818,0.9911112189292908,2.384185791015625e-07,0.0001,0.2,,
300.94,-880.31134,55,285,450560,1577,-5.639874535799026,540,33070.828125,66680.7189453125,0.31485595703125,0.02483062,0.010751986139803193,0.9910824298858643,0.02046912908554077,0.0001,0.2,,
301.0,4.4432693,56,285,458752,1604,-5.63981431722641,550,14113.853515625,24778.876708984375,0.0,4.9969844e-05,-4.8023855197243395e-05,0.9910765886306763,0.20243769884109497,0.0001,0.2,,
301.0,34.312218,57,285,466944,1632,-5.639799928665161,560,19485.701171875,37769.97272949219,0.0,1.0453245e-05,-4.557492065941915e-05,0.9910736083984375,0.17838412523269653,0.0001,0.2,,
301.0,167.22443,58,286,475136,1661,-5.639815378189087,570,15033.60546875,31659.557958984376,0.0,4.9233946e-05,-0.00010459319164510817,0.9910874366760254,0.1970444917678833,0.0001,0.2,,
301.0,219.9883,59,286,483328,1688,-5.63985778093338,580,17545.810546875,36182.36201171875,0.0,6.0171325e-05,-0.0001960982321179472,0.9910870790481567,0.19457662105560303,0.0001,0.2,,
301.0,178.13503,60,286,491520,1716,-5.639823830127716,590,25075.322265625,40996.13701171875,0.0,1.1921416e-05,-2.5844102492555975e-05,0.9910746812820435,0.1897295117378235,0.0001,0.2,,
301.0,261.02786,61,286,499712,1743,-5.639806181192398,600,15488.556640625,32945.653100585936,0.0,7.1890536e-06,-1.8502576858736573e-05,0.9910799264907837,0.19408726692199707,0.0001,0.2,,
301.0,270.12305,62,286,507904,1770,-5.639810794591904,610,27059.62890625,46429.1400390625,0.0,8.202391e-06,-4.993152688257396e-05,0.9910750389099121,0.1823599934577942,0.0001,0.2,,
301.0,243.15578,63,287,516096,1797,-5.639789772033692,620,20642.8125,41639.5392578125,0.0,1.8904357e-05,-7.534186152042821e-05,0.9910708665847778,0.193220317363739,0.0001,0.2,,
301.0,265.21454,64,287,524288,1824,-5.639738476276397,630,18837.345703125,40946.98249511719,0.0,1.038202e-05,-2.7568805671762674e-05,0.9910464882850647,0.18749719858169556,0.0001,0.2,,
301.0,161.38652,65,287,532480,1851,-5.6396805346012115,640,16771.154296875,35956.22214355469,0.0,7.212373e-06,-2.117770491167903e-05,0.9910486936569214,0.21131819486618042,0.0001,0.2,,
301.0,147.28142,66,287,540672,1879,-5.639700609445572,650,13685.6611328125,27288.503198242186,0.0,2.9662973e-05,-8.092850184766575e-05,0.9910532236099243,0.23203343152999878,0.0001,0.2,,
301.0,140.52023,67,287,548864,1906,-5.6397192776203156,660,15701.7666015625,37517.9720703125,0.0,2.90979e-05,-0.00011168019264005125,0.9910578727722168,0.2040298581123352,0.0001,0.2,,
