rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
1042.38,8624.1,344,2470,851968,26,0.0001,0.0225555419921875,-1.9426596321165561,53143.862622070315,-0.0002003044508455787,0.2,21256.107421875,0.554559975862503,2720,0.004693976,0.39411360025405884,,
1069.76,8764.339,344,2564,884736,27,0.0001,0.02332763671875,-1.9423535034060477,49057.045141601564,-0.0007243313841172494,0.2,19402.63671875,0.6761843264102936,2730,0.004875871,0.39409929513931274,,
1067.57,8285.943,344,2660,917504,28,0.0001,0.017498779296875,-1.9420893117785454,53596.27309570312,0.0007580106008390431,0.2,23162.048828125,0.48776179552078247,2740,0.003753564,0.3940598964691162,,
1020.3,7697.2583,344,2758,950272,29,0.0001,0.01636962890625,-1.9417605981230737,102719.612890625,0.0005026667626225389,0.2,38732.90234375,0.49580949544906616,2750,0.0038912755,0.39404070377349854,,
1041.6,7839.446,344,2855,983040,30,0.0001,0.0209259033203125,-1.9414770908653736,59328.65888671875,0.000497568583523389,0.2,22984.869140625,0.41088688373565674,2760,0.004503474,0.3939988613128662,,
1018.81,7934.1465,344,2950,1015808,31,0.0001,0.0245849609375,-1.9410409018397332,51265.43503417969,1.3738148845732212e-05,0.2,21561.587890625,0.5043506324291229,2770,0.004815159,0.39395418763160706,,
1027.88,8520.617,344,3047,1048576,32,0.0001,0.0192535400390625,-1.9407140888273715,54281.97426757812,0.0007545690394181292,0.2,22976.826171875,0.5021779537200928,2780,0.00386773,0.3939422369003296,,
1024.26,8607.1455,343,3146,1081344,33,0.0001,0.023974609375,-1.9404260866343974,51986.85207519531,-0.0003243617218686268,0.2,21225.75,0.5416273176670074,2790,0.00421142,0.39389219880104065,,
1058.92,8948.359,343,3244,1114112,34,0.0001,0.02225341796875,-1.940090787410736,54323.06162109375,-0.0004651574992749374,0.2,20775.173828125,0.6041480898857117,2800,0.0045567635,0.39388325810432434,,
1078.11,9089.501,343,3339,1146880,35,0.0001,0.0252349853515625,-1.940075895935297,51189.35688476563,-0.00037983436486683787,0.2,19323.685546875,0.5233114659786224,2810,0.004679109,0.3938816487789154,,
