rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2526.0,1313.16,884736,27,174,5071,2730,-1.8491719941375777,0.8010120987892151,2684.4970703125,10866.343820285798,0.0806640625,0.0001,0.38501742482185364,0.0073196,0.2,-0.00035616486425169567,,
2020.0,1303.57,917504,28,174,5261,2740,-1.845774258300662,0.48125922679901123,1459.3984375,226377.1225236416,0.0603607177734375,0.0001,0.3847954273223877,0.006700611,0.2,-0.00019169724137100275,,
1601.0,1293.2,950272,29,174,5453,2750,-1.8431631920859217,0.5105384886264801,530.5621337890625,256149.31376771332,0.0757537841796875,0.0001,0.38451066613197327,0.007624912,0.2,-0.0008346588693029844,,
1738.0,1215.43,983040,30,173,5653,2760,-1.8410347942262888,0.5178781747817993,1722.8841552734375,110964.76120785475,0.0802581787109375,0.0001,0.38439369201660156,0.008864003,0.2,-0.0012759023699118188,,
1828.0,1167.86,1015808,31,173,5841,2770,-1.8390251736855134,0.6517264246940613,586.040283203125,16483.338907408714,0.0656280517578125,0.0001,0.38414156436920166,0.006736384,0.2,-0.0008726283426767623,,
2468.0,1149.74,1048576,32,174,6025,2780,-1.8380389641737565,0.7330343723297119,1101.2353515625,8375.42235301733,0.0619598388671875,0.0001,0.38422930240631104,0.007431572,0.2,-0.0016739822092858958,,
3187.0,1175.6,1081344,33,173,6217,2790,-1.8371882023755461,0.7134868502616882,11378.0048828125,22374.22839858532,0.0639617919921875,0.0001,0.3839046359062195,0.0067515518,0.2,0.0002515664578140786,,
3140.0,1169.46,1114112,34,173,6409,2800,-1.8358319951454178,0.6762703061103821,1446.2320556640625,21985.027050113677,0.0748809814453125,0.0001,0.3839559555053711,0.0074737146,0.2,0.0003783084816632254,,
3216.0,1117.05,1146880,35,173,6596,2810,-1.835615807818249,0.7251509726047516,1891.4346923828125,10506.703769600392,0.0545562744140625,0.0001,0.38381582498550415,0.0067046476,0.2,-0.0007228974465988358,,
2284.0,1146.81,1179648,36,173,6780,2820,-1.833928031148389,0.7684623897075653,1194.661865234375,11092.52385891676,0.0631072998046875,0.0001,0.3836531341075897,0.0065685064,0.2,-0.0015614644807101286,,
2598.0,1216.58,1212416,37,173,6976,2830,-1.832365250494331,0.15486162900924683,57465.4609375,228862.72915848493,0.0792755126953125,0.0001,0.38354888558387756,0.007128752,0.2,-0.0006029878163190006,,
2266.0,1150.38,1245184,38,173,7177,2840,-1.830749334162101,0.6458666920661926,2061.260498046875,32933.9603679657,0.073638916015625,0.0001,0.3831900358200073,0.007112199,0.2,-0.0008448126796338328,,
2257.0,1024.63,1277952,39,173,7351,2850,-1.827202388830483,0.7089778780937195,7252.1025390625,11662.39443167448,0.0677215576171875,0.0001,0.3828328847885132,0.006837612,0.2,0.0002611019851428864,,
1239.0,989.13,1310720,40,173,7534,2860,-1.8238991011632606,0.7386824488639832,1977.5960693359375,11916.391295683385,0.0649078369140625,0.0001,0.382618248462677,0.0074008764,0.2,-0.0007662019550480181,,
1110.0,960.45,1343488,41,174,7718,2870,-1.8240986904827878,0.7344494163990021,4296.51708984375,11109.08330527544,0.060614013671875,0.0001,0.382817804813385,0.00646815,0.2,-0.0009244235193591521,,
1127.0,957.71,1376256,42,173,7911,2880,-1.8259715129621328,0.8028131872415543,8822.380859375,8879.734591406585,0.05799560546875,0.0001,0.3830336928367615,0.0059964284,0.2,0.00021961657216706953,,
1250.0,958.47,1409024,43,173,8125,2890,-1.8255620135227217,0.7659618854522705,3611.4501953125,8307.968037116527,0.0587249755859375,0.0001,0.3827853798866272,0.0067933146,0.2,-0.0009887346080404314,,
1507.0,1067.39,1441792,44,173,8332,2900,-1.8216408878564834,0.725516140460968,5829.73583984375,9637.134022819995,0.062835693359375,0.0001,0.38221192359924316,0.0069431644,0.2,-0.0014832063554194974,,
1447.0,1091.47,1474560,45,172,8541,2910,-1.8163323152810336,0.7408783733844757,2016.86962890625,10799.651917499305,0.0700592041015625,0.0001,0.3818301558494568,0.006749344,0.2,-0.000789988994029045,,
1951.0,1162.27,1507328,46,172,8736,2920,-1.8117902846075595,0.7694153189659119,1251.7723388671875,9969.54755717516,0.061871337890625,0.0001,0.38142532110214233,0.006979261,0.2,-0.00028393637952603965,,
