time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
273,560.96844,368640,45,301.0,1348,0.6170429289340973,0.2,-9.726048665470444e-05,440,11416.0615234375,0.0,25084.715740966796,0.001,0.9380698800086975,-5.417644409835338,1.617305e-05,,
273,580.17126,376832,46,301.0,1378,0.6779723465442657,0.2,-0.00010167607106268406,450,10369.939453125,0.0,18027.3773727417,0.001,0.9380286335945129,-5.4176424369215965,2.4701862e-05,,
273,652.6566,385024,47,301.0,1408,0.6309501528739929,0.2,-0.0002503556241208571,460,12731.779296875,0.0,21580.443824768066,0.001,0.9379420280456543,-5.417409616708755,9.1377755e-05,,
273,594.4092,393216,48,301.0,1438,0.5919122993946075,0.2,-0.00023784374716342426,470,8368.2734375,0.0,29323.28139343262,0.001,0.9378927946090698,-5.417147251963615,0.00017952756,,
,,400000,,,,0.6313919723033905,0.2,-0.00026246591150993483,480,11813.5595703125,0.0,24360.8112991333,0.001,0.937863826751709,-5.417034536600113,0.00019355679,301.0,465.3266906738281
257,615.24335,401408,49,301.0,1557,,,,,,,,,,,,,
257,696.8904,409600,50,301.0,1587,0.665568470954895,0.2,-0.00013043992221355437,490,19181.92578125,0.0,23501.39264831543,0.001,0.938028872013092,-5.417250847816467,5.7434736e-05,,
258,728.4247,417792,51,301.0,1617,0.6407517492771149,0.2,-0.00012129922652093228,500,8757.70703125,0.0,30302.026553344727,0.001,0.9377238750457764,-5.417122362554073,4.883788e-05,,
258,723.967,425984,52,301.0,1647,0.6536975204944611,0.2,-0.000485789912090695,510,8052.29638671875,0.0,27798.67171020508,0.001,0.9376919269561768,-5.416219478845596,0.0004908779,,
258,736.62427,434176,53,301.0,1677,0.6679056882858276,0.2,-0.00031674436595494624,520,10980.9248046875,0.0,25343.262744140626,0.001,0.9376925826072693,-5.416314762830734,0.00014338474,,
259,677.4207,442368,54,301.0,1707,0.7556722462177277,0.2,-0.0003316434391308576,530,5166.3681640625,0.0,21810.794927978517,0.001,0.9375336170196533,-5.415918228030205,0.000112814945,,
259,687.5907,450560,55,301.0,1737,0.7497389316558838,0.2,-0.00025309917582490017,540,6504.6416015625,0.0,19570.299243164063,0.001,0.9370476007461548,-5.414487162232399,0.00012613203,,
259,687.37494,458752,56,301.0,1767,0.7055651545524597,0.2,-0.0003111667589109857,550,18091.486328125,0.0,21719.871517944335,0.001,0.9372058510780334,-5.413785807788372,0.00035334122,,
259,634.69214,466944,57,301.0,1797,0.6781670451164246,0.2,-0.00028282462590141223,560,8558.4658203125,0.0,25717.572644042968,0.001,0.9365001320838928,-5.413103590905666,0.00089989696,,
259,628.3326,475136,58,301.0,1827,0.7526204735040665,0.2,-0.00011058820127800573,570,10745.7607421875,0.0,22554.49039916992,0.001,0.9360151290893555,-5.410153841972351,0.00013589716,,
260,631.84576,483328,59,301.0,1857,0.7326529920101166,0.2,-0.000145994753256673,580,13756.96875,0.0,27812.44778137207,0.001,0.9360350966453552,-5.4092353448271755,0.00015631675,,
260,667.3339,491520,60,301.0,1888,0.7861300557851791,0.2,-8.833354731905275e-05,590,6636.79345703125,0.0,18239.239723205566,0.001,0.9365274310112,-5.4099770307540895,0.0002743697,,
260,717.9158,499712,61,301.0,1918,0.8116465061903,0.2,-4.5453349321178395e-05,600,5419.7255859375,0.0,19627.6269821167,0.001,0.9364921450614929,-5.411422735452652,0.00010866655,,
260,681.87396,507904,62,301.0,1948,0.7997872680425644,0.2,-0.0004249046749464469,610,8824.369140625,0.0,19092.656562805176,0.001,0.9359925985336304,-5.410144136846066,0.00042589332,,
260,718.3317,516096,63,301.0,1978,0.8145550936460495,0.2,-0.0003634090520790778,620,13216.1982421875,0.0,20237.741877746583,0.001,0.9354017972946167,-5.407930451631546,0.00040521842,,
261,693.06714,524288,64,301.0,2008,0.7885376960039139,0.2,-0.00020463428227230908,630,17961.783203125,0.0,20574.80446624756,0.001,0.9355336427688599,-5.406595578789711,7.855694e-05,,
261,692.31586,532480,65,301.0,2038,0.8338814079761505,0.2,-3.8195931119844316e-05,640,8005.98974609375,0.0,19325.479554748534,0.001,0.9359668493270874,-5.408180469274521,0.00014031812,,
261,708.43,540672,66,301.0,2068,0.784538745880127,0.2,-0.00017183438321808354,650,9884.80859375,0.0,22309.341456604005,0.001,0.9354166984558105,-5.407606948912144,0.00016863794,,
261,719.4542,548864,67,301.0,2098,0.8168691843748093,0.2,-0.00033237052193726415,660,7882.20849609375,0.0,22515.48230895996,0.001,0.9350036382675171,-5.405723185837269,0.000297398,,
261,693.83575,557056,68,301.0,2128,0.8047176599502563,0.2,-0.00018145351568819024,670,13254.3037109375,0.0,24496.248681640624,0.001,0.9344538450241089,-5.4038125410676,0.00045930868,,
261,742.31464,565248,69,301.0,2158,0.8191035091876984,0.2,-0.00038884900532139,680,5779.78369140625,0.0,18631.12651824951,0.001,0.935285747051239,-5.404339225590229,0.00028170037,,
262,728.3018,573440,70,301.0,2188,0.7909616380929947,0.2,-0.00023571463862026576,690,25847.455078125,0.0,31652.41784362793,0.001,0.9349942207336426,-5.40545502603054,0.0004103193,,
262,688.4949,581632,71,301.0,2218,0.8851121589541435,0.2,-0.0008882864400220569,700,6100.44482421875,2.44140625e-05,15078.971078491211,0.001,0.9345343112945557,-5.403806407749653,0.000988004,,
262,721.3931,589824,72,301.0,2248,0.8836593255400658,0.2,-0.00042378792859381064,710,3661.791015625,0.0,13864.924674987793,0.001,0.9339268207550049,-5.4015564396977425,0.0011027779,,
262,660.7494,598016,73,301.0,2278,0.8542628884315491,0.2,-0.0004961936348991003,720,7674.205078125,0.0,20198.87060546875,0.001,0.9330126643180847,-5.3978806480765344,0.0010057131,,
262,646.8449,606208,74,301.0,2308,0.8215281814336777,0.2,-0.00026578184551908637,730,8866.703125,0.0,29193.194888305665,0.001,0.9336113333702087,-5.397257030010223,0.00038947965,,
262,597.3029,614400,75,301.0,2338,0.8732602894306183,0.2,-0.00021706763182010035,740,9816.974609375,0.0,17432.15252075195,0.001,0.9339655637741089,-5.399214531481266,0.00014419427,,
262,496.24368,622592,76,301.0,2368,0.8599147945642471,0.2,-0.00027832756932184567,750,10278.8427734375,0.0,17276.74948272705,0.001,0.9340438842773438,-5.40019501298666,0.00027637475,,
262,551.1292,630784,77,301.0,2398,0.8885546997189522,0.2,-0.0004305643018597038,760,6412.5703125,0.0,15504.655197143555,0.001,0.9348941445350647,-5.402715350687504,0.00066211796,,
263,602.207,638976,78,301.0,2428,0.7731375992298126,0.2,-0.0004380710855912184,770,17045.03515625,0.0,33886.20486602783,0.001,0.9360204339027405,-5.40599465072155,0.0006551674,,
263,672.21606,647168,79,301.0,2458,0.8639594167470932,0.2,-0.0008704359483090229,780,9992.748046875,1.220703125e-05,18297.412969970705,0.001,0.9364270567893982,-5.4098017945885655,0.0011146768,,
263,654.6754,655360,80,301.0,2488,0.8571828156709671,0.2,-0.0002661928698216798,790,12825.5625,0.0,23195.18391723633,0.001,0.9371613264083862,-5.411820974946022,0.00035404373,,
263,644.94824,663552,81,301.0,2518,0.8855617567896843,0.2,-0.0002004380636208225,800,7574.38720703125,0.0,14749.476776123047,0.001,0.9363720417022705,-5.41247810125351,0.0003361911,,
