rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
199.08656,56,310.0,139264,2469,17,2630,0.001283181383041665,5466.908654785157,0.0810546875,0.10796618461608887,0.010485344,-1.949534296989441,0.2,0.394900381565094,1956.2210693359375,0.0001,,
478.5762,56,316.0,147456,2620,18,2640,-0.0015079931588843464,3694.4921691894533,0.008154296875,0.4655851721763611,0.003898329,-1.949468994140625,0.2,0.39485931396484375,1994.3896484375,0.0001,,
749.0722,56,323.0,155648,2767,19,2650,0.0014024896488990634,22455.01875,0.0528076171875,0.6211463212966919,0.006022755,-1.9491921961307526,0.2,0.39486026763916016,9554.6630859375,0.0001,,
1101.0161,56,328.95,163840,2918,20,2660,0.0013306351960636676,18908.70302734375,0.066064453125,0.5453504621982574,0.01238022,-1.9492482095956802,0.2,0.3948541283607483,7695.111328125,0.0001,,
2075.0483,55,328.95,172032,3075,21,2670,0.0012559423310449346,34006.52280273438,0.0052490234375,0.6171402931213379,0.0020982223,-1.949130442738533,0.2,0.39484596252441406,17079.77734375,0.0001,,
3221.815,55,350.9,180224,3234,22,2680,0.0013284810585901142,163416.0220703125,0.03880615234375,0.32589393854141235,0.007894274,-1.9490948975086213,0.2,0.3948448598384857,62000.890625,0.0001,,
2873.501,55,342.63,188416,3378,23,2690,-0.00017696868162602185,394336.18984375,0.0461181640625,0.4721493124961853,0.006811701,-1.94907665848732,0.2,0.394842267036438,172492.203125,0.0001,,
2474.3044,55,334.68,196608,3521,24,2700,0.0013337942771613597,9528.921203613281,0.0290283203125,0.40564000606536865,0.0053676264,-1.9490243464708328,0.2,0.39482852816581726,3531.92724609375,0.0001,,
1450.8655,55,332.68,204800,3670,25,2710,0.001318254743819125,5410.483337402344,0.0275390625,-0.012877702713012695,0.0049039233,-1.9488516390323638,0.2,0.39481550455093384,1919.0677490234375,0.0001,,
230.48322,55,314.0,212992,3815,26,2720,-7.39865965442732e-05,5016.898553466797,0.06337890625,0.37672287225723267,0.009876454,-1.9485100746154784,0.2,0.39475217461586,2156.00244140625,0.0001,,
236.81459,55,316.0,221184,3966,27,2730,0.0006597626488655806,7379.575610351562,0.02882080078125,-0.2272324562072754,0.0055873366,-1.9478580474853515,0.2,0.3946966230869293,2931.584228515625,0.0001,,
244.75104,55,316.0,229376,4118,28,2740,-0.0012961157568497582,4263.749896240234,0.01710205078125,0.24921047687530518,0.004480403,-1.9474621623754502,0.2,0.39469587802886963,1188.47412109375,0.0001,,
369.84583,55,319.0,237568,4269,29,2750,-0.00016015101864468305,2758.0874450683596,0.05506591796875,0.34546715021133423,0.006401784,-1.9474914133548737,0.2,0.394672155380249,832.300537109375,0.0001,,
522.202,55,321.0,245760,4411,30,2760,-0.0006339863379253074,13179.786694335937,0.04893798828125,0.39952361583709717,0.006969393,-1.9472059786319733,0.2,0.39465609192848206,4975.09521484375,0.0001,,
558.0902,55,317.55,253952,4558,31,2770,0.00011533964425325394,7256.296472167969,0.0253662109375,0.32528144121170044,0.00497825,-1.947116133570671,0.2,0.39464902877807617,2435.1162109375,0.0001,,
1161.7278,55,319.55,262144,4716,32,2780,-0.0006366551388055086,7360.015075683594,0.01668701171875,0.33066248893737793,0.00443743,-1.9469470262527466,0.2,0.3946174383163452,2881.548583984375,0.0001,,
4178.32,55,335.55,270336,4884,33,2790,0.0016966881172265857,72240.85,0.06082763671875,0.735391765832901,0.011227944,-1.9466767221689225,0.2,0.39460623264312744,30509.669921875,0.0001,,
4237.1187,55,335.97,278528,5042,34,2800,0.0017924744286574423,1547447.590625,0.06260986328125,0.46868330240249634,0.01415896,-1.946670612692833,0.2,0.39460688829421997,738359.0,0.0001,,
4745.284,55,346.97,286720,5190,35,2810,0.0007002648257184773,52152.2888671875,0.04727783203125,0.5823964178562164,0.010054937,-1.946665358543396,0.2,0.39460304379463196,17847.7734375,0.0001,,
4607.8877,55,347.86,294912,5331,36,2820,0.0014951292483601718,46177.89931640625,0.02542724609375,0.5997226536273956,0.005328112,-1.9465760260820388,0.2,0.3945896327495575,18560.462890625,0.0001,,
1312.3945,55,329.86,303104,5482,37,2830,0.0006990032503381372,15480.223095703124,0.0207763671875,0.33763813972473145,0.0031835465,-1.9464893072843552,0.2,0.3945905566215515,4994.02685546875,0.0001,,
1951.299,55,337.44,311296,5642,38,2840,-2.0313879940658807e-05,19675.218603515626,0.02935791015625,0.43484050035476685,0.0054938355,-1.946523666381836,0.2,0.394585520029068,7314.18359375,0.0001,,
1697.5222,55,333.44,319488,5785,39,2850,0.0006704741506837308,122981.195703125,0.0201904296875,0.7531056106090546,0.0036863436,-1.9464132994413377,0.2,0.3945739269256592,53455.81640625,0.0001,,
1583.9923,55,330.0,327680,5934,40,2860,0.0015080507786478848,9865.224438476562,0.04422607421875,0.32226234674453735,0.0072578993,-1.9463369339704513,0.2,0.3945736885070801,3564.92529296875,0.0001,,
1359.231,55,329.0,335872,6084,41,2870,-0.0002502150309737772,4479.048132324218,0.0208740234375,0.19048774242401123,0.006188829,-1.9463784873485566,0.2,0.3945775032043457,1520.7286376953125,0.0001,,
341.06415,55,318.0,344064,6239,42,2880,-0.0003906863508746028,6544.772875976562,0.04166259765625,0.28567034006118774,0.007977914,-1.9462682723999023,0.2,0.3945487141609192,2513.695556640625,0.0001,,
498.04114,55,321.0,352256,6395,43,2890,-0.0002961665333714336,6743.583093261719,0.02518310546875,0.4652330279350281,0.006320583,-1.9460684448480605,0.2,0.3945498466491699,2301.233642578125,0.0001,,
543.6845,55,322.0,360448,6553,44,2900,0.00029838960035704075,14885.333276367188,0.03175048828125,0.45200836658477783,0.0061735637,-1.9461178362369538,0.2,0.394538551568985,6060.12158203125,0.0001,,
718.71234,55,325.0,368640,6701,45,2910,0.00030114647233858705,11185.377331542968,0.0333251953125,0.631010502576828,0.007851803,-1.945892980694771,0.2,0.394512414932251,4515.19189453125,0.0001,,
970.3159,55,328.0,376832,6844,46,2920,0.0007864077284466475,16820.168896484374,0.02952880859375,0.6055346429347992,0.005816854,-1.9456090927124023,0.2,0.39448124170303345,6665.36962890625,0.0001,,
918.8022,55,329.0,385024,6981,47,2930,-0.0005376152388635091,47861.91484375,0.0276123046875,0.7376081645488739,0.006816262,-1.9452971011400222,0.2,0.39445582032203674,18621.626953125,0.0001,,
1578.9247,55,338.38,393216,7128,48,2940,-0.0005173945857677609,11202.486669921875,0.02337646484375,0.4930559992790222,0.0055079088,-1.945006963610649,0.2,0.394418329000473,4420.751953125,0.0001,,
,,,400000,,,2950,0.0012644746049772948,107080.778515625,0.0197998046875,0.646738588809967,0.005868705,-1.9446660071611404,0.2,0.39440613985061646,41193.16796875,0.0001,364.17,3283.1650390625
2224.5745,48,336.38,401408,8240,49,,,,,,,,,,,,,
1967.5428,48,333.38,409600,8380,50,2960,0.001624684693524614,162673.215625,0.0822021484375,0.7022043764591217,0.017603412,-1.9446240305900573,0.2,0.39440298080444336,74941.4921875,0.0001,,
1933.2684,49,331.38,417792,8520,51,2970,0.0001730161427985877,13749.7373046875,0.02508544921875,0.09906232357025146,0.006164998,-1.944604042172432,0.2,0.3944048285484314,5726.88623046875,0.0001,,
1254.6229,49,320.0,425984,8660,52,2980,0.0002913512347731739,9380.360815429687,0.02501220703125,0.5199949145317078,0.0071694357,-1.944597914814949,0.2,0.394397109746933,3203.5771484375,0.0001,,
495.68655,49,318.0,434176,8804,53,2990,-0.00011517940147314221,6971.949645996094,0.0169677734375,0.544163316488266,0.0033184967,-1.9444311320781709,0.2,0.39436715841293335,2524.117919921875,0.0001,,
372.1682,49,313.0,442368,8946,54,3000,-0.0008999064040835947,5895.754821777344,0.0403076171875,0.3528117537498474,0.007360108,-1.9442059099674225,0.2,0.394362211227417,2206.818359375,0.0001,,
388.58206,49,316.0,450560,9086,55,3010,-6.953660049475729e-05,2893.384716796875,0.02047119140625,0.27369922399520874,0.0068688076,-1.9441459000110626,0.2,0.3943477272987366,922.1917114257812,0.0001,,
362.4323,49,315.0,458752,9224,56,3020,-0.0018218507640995086,8035.404577636718,0.00706787109375,0.5408056676387787,0.0025777821,-1.94395569562912,0.2,0.39433664083480835,2746.476318359375,0.0001,,
504.03668,49,322.0,466944,9365,57,3030,0.0013842852058587596,7315.383752441407,0.01575927734375,0.2699440121650696,0.00667243,-1.9439075261354446,0.2,0.3943207561969757,2837.05615234375,0.0001,,
687.7821,49,330.0,475136,9515,58,3040,0.0006687808665446938,12815.757250976563,0.02275390625,0.5444058179855347,0.0034257672,-1.9436875015497208,0.2,0.3942948579788208,5255.87939453125,0.0001,,
659.8748,49,330.0,483328,9673,59,3050,0.0017650542955379932,11594.312280273438,0.0562255859375,0.5578783750534058,0.009804686,-1.9435433089733123,0.2,0.39429569244384766,4332.5146484375,0.0001,,
1162.3593,50,340.0,491520,9819,60,3060,0.00039445762522518637,5793.78994140625,0.02471923828125,0.4316180944442749,0.004100305,-1.9435385167598724,0.2,0.3942772150039673,2038.1363525390625,0.0001,,
988.64404,50,335.0,499712,9974,61,3070,0.0004410195630043745,79997.70126953124,0.01654052734375,0.6401174664497375,0.0055263606,-1.943350797891617,0.2,0.3942694365978241,33454.79296875,0.0001,,
1225.8894,50,336.0,507904,10126,62,3080,-0.000845974643016234,10807.91942138672,0.00921630859375,-0.0699988603591919,0.0042153946,-1.9432723581790925,0.2,0.3942502737045288,3929.768798828125,0.0001,,
1360.3118,50,337.0,516096,10273,63,3090,-0.0007476427999790758,33374.2267578125,0.02867431640625,0.7077207863330841,0.005974078,-1.9430419117212296,0.2,0.3942359685897827,11539.55078125,0.0001,,
1111.8198,50,337.0,524288,10421,64,3100,-0.0014658056170446798,17423.98435058594,0.04346923828125,0.5788935422897339,0.007915016,-1.942939853668213,0.2,0.3942253887653351,6152.4267578125,0.0001,,
1288.7004,50,345.0,532480,10568,65,3110,-0.0002532918646465987,24384.388330078124,0.0177001953125,0.4141507148742676,0.0044937474,-1.9428468972444535,0.2,0.39421868324279785,9230.49609375,0.0001,,
1151.0146,50,344.0,540672,10713,66,3120,0.0011458804947324097,15166.385961914062,0.07928466796875,0.607123613357544,0.011199238,-1.9427831292152404,0.2,0.39420798420906067,6142.908203125,0.0001,,
1007.51385,50,341.0,548864,10860,67,3130,0.0009739387664012611,15431.492431640625,0.01689453125,0.3951704502105713,0.0029660517,-1.9426745146512985,0.2,0.3941996693611145,6653.57373046875,0.0001,,
1040.3684,50,338.0,557056,11009,68,3140,0.0006411919661331922,11458.481518554687,0.01171875,0.2917723059654236,0.0024798233,-1.9426442056894302,0.2,0.3942117691040039,4087.62744140625,0.0001,,
1545.958,50,340.19,565248,11162,69,3150,0.0008071518677752465,16048.678759765626,0.01353759765625,0.5455698072910309,0.0036632854,-1.9426746100187302,0.2,0.3941861391067505,6182.8955078125,0.0001,,
2561.248,50,338.02,573440,11311,70,3160,0.0007227163470815868,92359.645703125,0.039599609375,0.7090769410133362,0.0070216153,-1.942331662774086,0.2,0.39416301250457764,41872.91796875,0.0001,,
3567.4717,50,349.9,581632,11461,71,3170,0.0005648334161378443,247580.135546875,0.03206787109375,0.6817018687725067,0.0058733467,-1.942197895050049,0.2,0.3941583037376404,110518.5625,0.0001,,
5292.084,50,355.44,589824,11612,72,3180,0.0038712608686182646,74393.6251953125,0.05067138671875,0.6794065833091736,0.008910676,-1.9421459466218949,0.2,0.394142746925354,28419.28125,0.0001,,
6428.741,50,352.62,598016,11765,73,3190,0.003430612647207454,315420.04375,0.04769287109375,0.6323643326759338,0.0069837333,-1.9419528871774674,0.2,0.39412856101989746,153091.09375,0.0001,,
7041.1904,50,370.35,606208,11915,74,3200,0.003171035007108003,318354.41484375,0.059765625,0.6366993188858032,0.011456277,-1.9418794929981231,0.2,0.39412569999694824,158392.40625,0.0001,,
6230.8994,50,363.74,614400,12064,75,3210,0.0007686078373808414,194730.05625,0.01781005859375,0.6485092043876648,0.0038748912,-1.9418663650751113,0.2,0.39412569999694824,87121.984375,0.0001,,
6501.598,50,376.81,622592,12215,76,3220,0.00039888554019853475,85982.9078125,0.0320556640625,0.6349512040615082,0.007193394,-1.941864088177681,0.2,0.39412400126457214,35922.1796875,0.0001,,
6563.8457,50,371.8,630784,12379,77,3230,2.4458125699311496e-05,242684.608203125,0.03248291015625,0.609611451625824,0.0063144825,-1.9418559461832046,0.2,0.3941250443458557,115321.96875,0.0001,,
6266.4526,50,361.78,638976,12535,78,3240,0.0014572796353604645,357860.88359375,0.0649169921875,0.6301102340221405,0.009704136,-1.9418585836887359,0.2,0.39412111043930054,170913.6875,0.0001,,
7209.1655,50,367.55,647168,12693,79,3250,0.0005202588741667569,233102.656640625,0.02286376953125,0.5910064578056335,0.0039380025,-1.9418189465999602,0.2,0.39412084221839905,102429.2578125,0.0001,,
7538.5156,51,375.3,655360,12840,80,3260,0.0008445872663287446,625284.55625,0.03585205078125,0.45475733280181885,0.0060244827,-1.941832000017166,0.2,0.3941231369972229,280411.5,0.0001,,
5897.2964,51,373.23,663552,12979,81,3270,-0.0005841085396241397,160983.591015625,0.024658203125,0.5563392043113708,0.004137121,-1.941864827275276,0.2,0.39412814378738403,77890.9375,0.0001,,
6099.225,51,366.0,671744,13126,82,3280,0.00038028022390790284,155812.173046875,0.02523193359375,0.5836029350757599,0.0055474984,-1.941921317577362,0.2,0.39413219690322876,70339.3984375,0.0001,,
4281.1553,51,359.61,679936,13284,83,3290,5.0052930600941184e-05,201731.9015625,0.00765380859375,0.5941793620586395,0.0023784237,-1.9419337421655656,0.2,0.3941285312175751,97309.5390625,0.0001,,
4182.084,51,356.3,688128,13438,84,3300,0.0008299674722366035,85959.8109375,0.0232666015625,0.6210617423057556,0.0050406298,-1.9418673485517501,0.2,0.394121378660202,36709.66015625,0.0001,,
5909.2964,51,369.88,696320,13585,85,3310,0.003131618321640417,248798.1015625,0.0662353515625,0.6592930853366852,0.011318689,-1.9417885899543763,0.2,0.39411109685897827,119201.0703125,0.0001,,
4406.63,51,361.19,704512,13725,86,3320,0.0005567990650888532,294405.2828125,0.03397216796875,0.6683066189289093,0.008673988,-1.9417075783014297,0.2,0.3941080570220947,136313.8125,0.0001,,
5046.5405,51,360.67,712704,13873,87,3330,-0.0005466935865115375,26061.785498046876,0.00311279296875,0.4431542158126831,0.0024475665,-1.9416676819324494,0.2,0.3940964341163635,9161.1923828125,0.0001,,
3987.1963,51,359.54,720896,14008,88,3340,0.0017503450275398792,164230.9390625,0.049169921875,0.7097541689872742,0.0069825244,-1.9415262728929519,0.2,0.39409175515174866,69606.4140625,0.0001,,
2346.6316,51,346.57,729088,14143,89,3350,-0.00047963683027774096,67469.95625,0.0123779296875,0.6449571251869202,0.003574486,-1.9415345013141632,0.2,0.39409226179122925,24604.0390625,0.0001,,
2124.0583,51,346.57,737280,14281,90,3360,-0.0008144142339006066,28737.775390625,0.0030029296875,-0.09567344188690186,0.0020942856,-1.9415238678455353,0.2,0.3940903842449188,9540.310546875,0.0001,,
1752.3314,51,343.57,745472,14424,91,3370,0.001099264493677765,16706.984423828126,0.05816650390625,0.03914409875869751,0.0042077424,-1.941486942768097,0.2,0.3940815329551697,6420.9296875,0.0001,,
1253.6328,51,342.0,753664,14565,92,3380,0.0004898412327747792,60183.662109375,0.0106201171875,0.6891044080257416,0.0020937528,-1.941378155350685,0.2,0.3940774202346802,26525.70703125,0.0001,,
1538.1813,51,347.0,761856,14710,93,3390,0.00011073175119236112,54899.104296875,0.01431884765625,0.6078310608863831,0.004931382,-1.9413774192333222,0.2,0.39407432079315186,20971.595703125,0.0001,,
1706.8849,51,352.0,770048,14854,94,3400,0.0007082035415805876,43100.4771484375,0.0210205078125,0.5039204061031342,0.005721607,-1.9413526505231857,0.2,0.39407649636268616,18147.61328125,0.0001,,
1688.2039,51,349.81,778240,14995,95,3410,6.488085491582752e-05,26217.714599609375,0.013623046875,0.4174506664276123,0.004315931,-1.941368243098259,0.2,0.3940703868865967,10172.654296875,0.0001,,
2089.3594,51,355.81,786432,15142,96,3420,0.00017976598464883864,15154.202221679687,0.01458740234375,0.5537695288658142,0.0031900052,-1.9412960708141327,0.2,0.3940657377243042,5341.142578125,0.0001,,
1841.7329,51,348.81,794624,15281,97,3430,0.0007883475802373141,154326.0734375,0.0149658203125,0.7265895903110504,0.003336776,-1.9412724524736404,0.2,0.39406299591064453,71550.3125,0.0001,,
