rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
-402.56064,411,1703936,4144,294.61,52,0.7599215656518936,0.001,0.2,0.115692138671875,1740,-3.366696771234274,0.0004911935038762749,0.5630751848220825,0.011084739,3069.2295446395874,534.2583618164062,,
-595.3017,411,1736704,4224,300.31,53,0.7178589403629303,0.001,0.2,0.1263427734375,1750,-3.359255884587765,0.002796377570848563,0.5617761015892029,0.011283623,4588.658987045288,1090.240966796875,,
-571.4902,411,1769472,4303,300.41,54,0.6812966167926788,0.001,0.2,0.146942138671875,1760,-3.354330902546644,0.002996134759450797,0.5618583559989929,0.013038942,3963.2818397521974,955.0217895507812,,
-472.22626,411,1802240,4382,297.42,55,0.7430756688117981,0.001,0.2,0.1193572998046875,1770,-3.356804274022579,0.0015043725084979086,0.5624479055404663,0.010991561,4020.5504524230955,454.24688720703125,,
-515.10236,411,1835008,4461,298.41,56,0.7414734065532684,0.001,0.2,0.1184967041015625,1780,-3.3525166533887387,0.0017710341042402433,0.5603459477424622,0.012034453,4739.107718276978,838.9361572265625,,
-471.14716,411,1867776,4539,298.81,57,0.8001954257488251,0.001,0.2,0.11082763671875,1790,-3.3423947215080263,0.0011485419041491695,0.5599565505981445,0.010407524,3446.678778457642,1361.17431640625,,
-552.3978,411,1900544,4618,297.99,58,0.7063555717468262,0.001,0.2,0.1202056884765625,1800,-3.336535556614399,0.0006645084729825612,0.5584820508956909,0.011392329,4724.433875274658,1127.3681640625,,
-426.40363,411,1933312,4697,300.62,59,0.7405412197113037,0.001,0.2,0.113720703125,1810,-3.327558733522892,0.0022312871493340935,0.5574482679367065,0.011209819,4480.580365753174,854.47705078125,,
-336.54642,411,1966080,4775,300.87,60,0.7713973373174667,0.001,0.2,0.1119293212890625,1820,-3.3188138611614706,0.0004508537629590137,0.556302547454834,0.010206148,3719.6164922714233,690.1729125976562,,
-569.8399,411,1998848,4854,299.95,61,0.7480167746543884,0.001,0.2,0.1448577880859375,1830,-3.3158530570566653,0.0034401412951410746,0.5568269491195679,0.013736766,5141.367363739014,689.1347045898438,,
-654.7411,411,2031616,4933,294.62,62,0.8112670034170151,0.001,0.2,0.095965576171875,1840,-3.3115778133273124,0.0007651314614122384,0.5547720193862915,0.009426135,3147.103448867798,539.858642578125,,
