time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
11,301.0,360448,1367,263,64.62215,-5.357677436992526,0.009179756,0.5290902554988861,100,145.14569091796875,1077.218314129114,0.2,0.001,0.088714599609375,0.9192394018173218,-0.0027776822497799004
12,301.0,393216,1500,262,94.78126,-5.325977943837643,0.007883507,0.5502829849720001,110,272.356201171875,1147.6656169950961,0.2,0.001,0.090692138671875,0.9120326042175293,-0.0013446728686176356
13,301.0,425984,1631,261,32.72388,-5.293879766762257,0.007757958,0.6228268444538116,120,154.35572814941406,854.8328020036221,0.2,0.001,0.0920928955078125,0.9079159498214722,-0.0016915911463911471
14,301.0,458752,1762,260,82.639305,-5.270295131206512,0.008303974,0.8274909406900406,130,146.6031036376953,299.33523669242857,0.2,0.001,0.1150238037109375,0.9034116268157959,-0.0023939393040564028
15,301.0,491520,1894,259,156.37527,-5.255704777874053,0.009442201,0.6797581613063812,140,284.38433837890625,891.6955137193203,0.2,0.001,0.1032806396484375,0.9059106111526489,-0.0014885672668697226
16,301.0,524288,2025,258,209.38887,-5.259672829695046,0.009439452,0.5725381970405579,150,191.6484375,1111.5241985023022,0.2,0.001,0.121612548828125,0.9028174877166748,-0.002088965453185665
17,301.0,557056,2157,258,243.398,-5.218052291125059,0.009434231,0.5568245947360992,160,118.8365478515625,511.61763127446176,0.2,0.001,0.1225555419921875,0.8917495608329773,-0.0012492280193328043
18,301.0,589824,2291,257,173.23207,-5.180204062350095,0.008381005,0.3486796021461487,170,400.23944091796875,1392.233011776209,0.2,0.001,0.1333465576171875,0.8816206455230713,-0.0001620060686036595
19,301.0,622592,2426,256,238.35812,-5.156515929847956,0.010840884,0.6134078204631805,180,155.3921356201172,677.488965511322,0.2,0.001,0.1435272216796875,0.881207287311554,-0.0010397387657576473
20,301.0,655360,2560,255,283.1025,-5.140084415301681,0.014239222,0.46420878171920776,190,122.2026596069336,1118.1322653353213,0.2,0.001,0.1620361328125,0.875532329082489,0.0016616591102319943
21,301.0,688128,2695,255,276.8057,-5.102412211149931,0.01150367,0.33488351106643677,200,122.54008483886719,1089.2959419429303,0.2,0.001,0.1637451171875,0.8621655702590942,0.0038058731090131913
22,301.0,720896,2830,254,277.33386,-5.031158677302301,0.014188603,0.4186860918998718,210,141.80770874023438,837.4142478704453,0.2,0.001,0.1667572021484375,0.8518706560134888,0.0018823150908247044
23,301.0,753664,2965,254,253.7735,-5.000486304983497,0.013153091,0.2739405632019043,220,168.3472137451172,1766.6477593004704,0.2,0.001,0.1749664306640625,0.8484604358673096,0.004718284086175117
24,301.0,786432,3100,253,284.07642,-4.985786284320056,0.014491297,0.3797202706336975,230,158.17254638671875,1171.3841168999672,0.2,0.001,0.1950897216796875,0.8476235270500183,0.006992996863709777
25,301.0,819200,3237,253,292.8125,-4.978526616469026,0.017777082,0.25867730379104614,240,179.0745849609375,1443.6743152737617,0.2,0.001,0.2107330322265625,0.8435731530189514,0.006427067375625484
26,301.0,851968,3374,252,311.14526,-4.954985861293972,0.014283844,0.42583197355270386,250,179.34512329101562,938.3800525426865,0.2,0.001,0.192767333984375,0.8335026502609253,0.005192817536499206
27,301.0,884736,3512,251,349.6298,-4.909030981175602,0.016206728,0.32232969999313354,260,2133.68408203125,1598.6594596266746,0.2,0.001,0.1833648681640625,0.8312070965766907,0.006055213372565049
28,301.0,917504,3649,251,341.22443,-4.8729713156819345,0.014045548,0.35014230012893677,270,477.6426086425781,1805.0728505969048,0.2,0.001,0.1790283203125,0.822281002998352,0.004455075748410309
29,301.0,950272,3787,250,377.43176,-4.850353026762605,0.012100662,0.5618731379508972,280,233.75390625,697.0225657701492,0.2,0.001,0.1890777587890625,0.8194299340248108,0.004896514233769267
30,301.0,983040,3925,250,443.56958,-4.828819764778018,0.018369455,0.40659624338150024,290,262.21142578125,1270.232992374897,0.2,0.001,0.18787841796875,0.8148157000541687,0.005320390684346421
31,301.0,1015808,4064,249,364.8308,-4.787393042817712,0.0282052,0.18074965476989746,300,465.4673767089844,3426.371022629738,0.2,0.001,0.2431610107421875,0.8092931509017944,0.009423229021695078
