time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
901120,268,1077.13,55,10055.077,3352,5640.0244140625,0.2,0.006516018,0.05372314453125,-5.803573694720399e-05,3010,0.38969480991363525,-1.897489181905985,0.0003,18940.30952911377,0.6066992580890656,,
917504,268,1103.71,56,10522.508,3413,6061.15380859375,0.2,0.0076809907,0.07369384765625,0.0010489991007489152,3020,0.3895912170410156,-1.896377059444785,0.0003,22656.87717437744,0.44736671447753906,,
933888,268,1159.29,57,11169.938,3472,3887.236083984375,0.2,0.007108055,0.070782470703125,0.0004137989191804081,3030,0.3895280957221985,-1.895581005886197,0.0003,17149.322348022462,0.6067520976066589,,
950272,269,1160.71,58,11309.138,3530,5891.40478515625,0.2,0.0059173685,0.052508544921875,0.0007111312082997756,3040,0.3892502188682556,-1.8940147556364537,0.0003,17009.287944030762,0.7316767275333405,,
966656,269,1173.89,59,11455.229,3590,6553.62548828125,0.2,0.007571277,0.07080078125,-0.0005839406861923635,3050,0.3891404867172241,-1.8916781682521104,0.0003,23087.028903198243,0.4651365280151367,,
983040,269,1183.8,60,11457.964,3650,3712.107421875,0.2,0.007732205,0.068768310546875,0.0012624131184566067,3060,0.38887953758239746,-1.8900714296847583,0.0003,18231.308433532715,0.7035621106624603,,
999424,269,1217.13,61,11953.015,3710,3160.111572265625,0.2,0.007189926,0.066131591796875,0.0005948626800091006,3070,0.38864368200302124,-1.8876756999641657,0.0003,16756.250846862793,0.7626421004533768,,
1015808,269,1196.89,62,11747.482,3769,3934.87890625,0.2,0.0064036897,0.0550048828125,-0.0007269296205777209,3080,0.3885250985622406,-1.8857691206037999,0.0003,17578.35150909424,0.756071999669075,,
1032192,269,1182.04,63,11571.08,3828,8594.8671875,0.2,0.0073217517,0.062445068359375,0.0007487196970032528,3090,0.3883906304836273,-1.8845441374927758,0.0003,28961.526303100585,0.5999298989772797,,
1048576,269,1175.13,64,11480.941,3890,4518.12109375,0.2,0.007855548,0.075958251953125,0.0010715884436649503,3100,0.3885071277618408,-1.8843832783401013,0.0003,20032.99814453125,0.6503416895866394,,
1064960,269,1189.94,65,11450.224,3951,4846.7490234375,0.2,0.008216014,0.075701904296875,-5.521882048924454e-05,3110,0.3883857727050781,-1.884531094878912,0.0003,21401.544752502443,0.6702921390533447,,
1081344,269,1174.52,66,11260.723,4012,11371.404296875,0.2,0.007706414,0.06328125,0.000284010177347227,3120,0.3882905840873718,-1.8833926107734442,0.0003,37221.01705627442,0.6798195242881775,,
1097728,269,1137.89,67,10981.388,4069,4385.9775390625,0.2,0.0071131177,0.06064453125,0.000332237208931474,3130,0.3883889317512512,-1.8833633508533238,0.0003,18707.166101074217,0.5820247828960419,,
1114112,269,1076.69,68,10142.355,4128,4421.5048828125,0.2,0.00686824,0.067742919921875,-0.0011071030188759324,3140,0.38831424713134766,-1.8834760632365941,0.0003,20557.496907043456,0.5130091607570648,,
1130496,269,1122.29,69,10706.155,4188,4413.4521484375,0.2,0.00788773,0.071270751953125,-9.42989736358868e-05,3150,0.3881456255912781,-1.882177919521928,0.0003,22939.16784362793,0.639029860496521,,
1146880,269,1156.88,70,11083.179,4248,5537.69970703125,0.2,0.006033226,0.05262451171875,-0.0002712163754040375,3160,0.38807106018066406,-1.8809664376080035,0.0003,18912.410263061523,0.6017636656761169,,
1163264,270,1130.17,71,10842.17,4307,5204.1171875,0.2,0.0065941866,0.06689453125,0.0007485836009436753,3170,0.38807258009910583,-1.8806351847946643,0.0003,20989.46816253662,0.6523597240447998,,
1179648,270,1107.09,72,10809.554,4367,5438.775390625,0.2,0.0075106276,0.069598388671875,-0.0007282329359441064,3180,0.3879086673259735,-1.8798386923968793,0.0003,24689.63426513672,0.4643484354019165,,
1196032,270,1141.23,73,11318.142,4425,6543.8251953125,0.2,0.008042106,0.075018310546875,-0.0007412922292132862,3190,0.38786205649375916,-1.8785853151232004,0.0003,21244.89967956543,0.6812943518161774,,
1212416,270,1166.65,74,11564.662,4484,3871.567138671875,0.2,0.0077426424,0.069219970703125,-0.0004902163273072802,3200,0.3877744972705841,-1.8779763262718916,0.0003,17209.773699951173,0.7227893769741058,,
1228800,270,1195.1,75,11921.255,4544,5903.005859375,0.2,0.006668063,0.06422119140625,0.000469041669384751,3210,0.38767609000205994,-1.877002366632223,0.0003,17720.98228149414,0.6513553857803345,,
1245184,270,1236.96,76,12541.798,4605,3528.778564453125,0.2,0.007697234,0.085546875,0.0003201558269211091,3220,0.3875334858894348,-1.8757800072431565,0.0003,14386.623406982422,0.6247663199901581,,
1261568,270,1235.16,77,12533.671,4665,3921.2265625,0.2,0.0073395437,0.06563720703125,-0.0013213607198849786,3230,0.3874591290950775,-1.8746076337993145,0.0003,18954.29073944092,0.6930215656757355,,
1277952,270,1238.61,78,12501.611,4723,4436.3271484375,0.2,0.007671076,0.07432861328125,-0.0003943620824429672,3240,0.38738736510276794,-1.8737475514411925,0.0003,19135.617674255373,0.6430881023406982,,
1294336,270,1284.7,79,13139.336,4783,3622.012451171875,0.2,0.006016573,0.055084228515625,0.0005412905629782472,3250,0.38742366433143616,-1.8735853869467973,0.0003,20313.631675720215,0.6185061633586884,,
1310720,270,1283.49,80,12965.144,4843,3137.87744140625,0.2,0.00768518,0.0794189453125,0.0002428930838505039,3260,0.38731640577316284,-1.873274714872241,0.0003,17249.88576660156,0.5351325869560242,,
1327104,270,1236.33,81,12525.509,4901,4408.2568359375,0.2,0.0067036403,0.063861083984375,0.0016506771666172427,3270,0.38735145330429077,-1.8728440370410682,0.0003,22426.310903930666,0.43040531873703003,,
1343488,270,1203.21,82,12055.844,4961,5941.9208984375,0.2,0.0075436966,0.069036865234375,-0.0006854720806586557,3280,0.3872937858104706,-1.8727556496858597,0.0003,22950.043508911134,0.44980108737945557,,
1359872,270,1233.19,83,12295.69,5022,4959.509765625,0.2,0.0068236687,0.05474853515625,0.0009005321984659531,3290,0.38724905252456665,-1.8722675874829293,0.0003,20413.639460754395,0.5452345311641693,,
1376256,270,1239.52,84,12270.978,5083,4171.29443359375,0.2,0.005677342,0.04720458984375,-0.0004704596094597946,3300,0.3872228264808655,-1.871889266744256,0.0003,16833.803994750975,0.5537417232990265,,
1392640,270,1209.97,85,12006.731,5144,4629.27001953125,0.2,0.006897516,0.06495361328125,-0.0003589292733522598,3310,0.3871115744113922,-1.8711717329919337,0.0003,18607.48606414795,0.6699588000774384,,
1409024,270,1198.69,86,11797.008,5205,3314.927001953125,0.2,0.00758312,0.0772216796875,0.0002847279050911311,3320,0.38723671436309814,-1.8711678426712752,0.0003,21831.43851928711,0.596886932849884,,
1425408,270,1220.65,87,12085.631,5266,3559.3134765625,0.2,0.007396796,0.06781005859375,-0.0011484221169666853,3330,0.38703155517578125,-1.8708256274461745,0.0003,16790.053495788576,0.682119220495224,,
1441792,270,1240.45,88,11825.682,5327,5070.17041015625,0.2,0.006432128,0.05665283203125,-0.0010138629404536914,3340,0.38695597648620605,-1.869142735004425,0.0003,19324.282719421386,0.6909702718257904,,
1458176,270,1275.81,89,11730.486,5388,144087.875,0.2,0.008473199,0.08790283203125,-0.0011420932289183839,3350,0.3869580328464508,-1.868809961527586,0.0003,298407.50833740237,0.44350409507751465,,
1474560,270,1329.78,90,12314.017,5447,171427.46875,0.2,0.008166987,0.071990966796875,0.0012143751664552838,3360,0.3869849741458893,-1.8689015608280897,0.0003,373148.5093902588,0.546324223279953,,
1490944,270,1267.12,91,11631.392,5506,4663.9150390625,0.2,0.0067202793,0.053802490234375,0.0007743940427644702,3370,0.38697540760040283,-1.8690451171249152,0.0003,21200.396585083006,0.7586298882961273,,
1507328,270,1255.79,92,10833.63,5566,6599.2109375,0.2,0.0069267107,0.0654296875,0.00035918854882766027,3380,0.3869898319244385,-1.8690212301909923,0.0003,26458.969329833984,0.4747765064239502,,
