rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
7220.859,1995,720896,1010.78,361,22,0.004520336,2680,0.0001,54148.10290527344,-0.00011210372322238982,20862.96875,0.2,0.47722768783569336,0.3941327631473541,-1.9427666395902634,0.0201141357421875,,
7558.2715,2085,753664,1024.25,361,23,0.0043976414,2690,0.0001,53118.540795898436,-0.0005209281036513858,22032.69921875,0.2,0.4967489242553711,0.3941206932067871,-1.9425745993852614,0.0226715087890625,,
7514.237,2175,786432,1019.76,361,24,0.004014903,2700,0.0001,49517.30666503906,0.00021081643353682011,19559.806640625,0.2,0.47505128383636475,0.3941115736961365,-1.94246965944767,0.0225372314453125,,
7744.3594,2268,819200,1025.22,361,25,0.0031794566,2710,0.0001,56297.4220703125,-0.0002576848724856973,22201.353515625,0.2,0.43868935108184814,0.39412829279899597,-1.9424736514687537,0.010675048828125,,
7468.666,2358,851968,989.72,361,26,0.0044409595,2720,0.0001,53403.75830078125,8.80107909324579e-05,20106.42578125,0.2,0.4559711813926697,0.39410901069641113,-1.9425058878958226,0.0211700439453125,,
7884.0654,2448,884736,1021.08,361,27,0.0041580116,2730,0.0001,52425.8376953125,-0.00025077563332160936,21391.109375,0.2,0.48314887285232544,0.39407849311828613,-1.942251843214035,0.019683837890625,,
8077.92,2540,917504,1024.4,361,28,0.004353974,2740,0.0001,51894.67783203125,0.00023064058550517074,19813.37890625,0.2,0.4549328088760376,0.3940562903881073,-1.941978881508112,0.02149658203125,,
8268.064,2631,950272,1036.63,361,29,0.0049694674,2750,0.0001,56041.0599609375,-0.0003230112823075615,23139.43359375,0.2,0.4793376922607422,0.39403843879699707,-1.9417734876275063,0.0234405517578125,,
9189.746,2726,983040,1092.79,360,30,0.0039295624,2760,0.0001,55105.08000488281,-0.00011325967570883222,25072.37890625,0.2,0.530165284872055,0.39402562379837036,-1.9416459679603577,0.0173065185546875,,
8842.544,2817,1015808,1039.27,360,31,0.0033273706,2770,0.0001,49904.85874023438,0.0004912883050565142,22495.931640625,0.2,0.5964950323104858,0.3940364420413971,-1.941631295531988,0.0140045166015625,,
8794.014,2909,1048576,1029.32,360,32,0.004568717,2780,0.0001,60550.37802734375,-0.00038235689717112107,24229.341796875,0.2,0.4644699692726135,0.3940301835536957,-1.9416755117475986,0.02169189453125,,
7827.6406,3001,1081344,959.9,360,33,0.0046041743,2790,0.0001,55010.833203125,-0.0006198108443641104,24342.7109375,0.2,0.5058711767196655,0.39401155710220337,-1.9415511988103389,0.0231109619140625,,
8493.173,3093,1114112,991.37,360,34,0.0042878157,2800,0.0001,60380.11188964844,-0.00015290047231246716,25180.87109375,0.2,0.4420173168182373,0.3939802348613739,-1.9412974067032338,0.0266510009765625,,
8590.542,3188,1146880,995.87,359,35,0.004451487,2810,0.0001,54079.442553710935,-0.0002516714426747058,24540.07421875,0.2,0.5421718657016754,0.3939703106880188,-1.9410944759845734,0.019927978515625,,
8964.354,3281,1179648,1009.92,359,36,0.0036040803,2820,0.0001,56710.897290039065,-0.0003235995893192012,22785.36328125,0.2,0.5134658217430115,0.3939167559146881,-1.9408114835619927,0.0149261474609375,,
8736.513,3371,1212416,992.11,359,37,0.0037089614,2830,0.0001,54330.1263671875,-0.00018582952907308936,19286.955078125,0.2,0.4882011413574219,0.3938937187194824,-1.9403663285076618,0.0191192626953125,,
8839.987,3462,1245184,1005.25,359,38,0.0041589923,2840,0.0001,59800.23483886719,-0.0004532813582045492,25774.392578125,0.2,0.4731820225715637,0.3938538134098053,-1.9400501362979412,0.0223480224609375,,
8813.06,3555,1277952,1011.32,359,39,0.0049479743,2850,0.0001,54169.798022460935,-0.00011665340934996493,22319.5390625,0.2,0.5168777108192444,0.39382755756378174,-1.9397069118916987,0.0312103271484375,,
9186.659,3649,1310720,1035.92,359,40,0.004830841,2860,0.0001,54452.324951171875,0.00018296950511285104,22310.443359375,0.2,0.4822383522987366,0.39379483461380005,-1.9394310265779495,0.020770263671875,,
9457.271,3742,1343488,1041.48,359,41,0.004114654,2870,0.0001,52792.90419921875,-0.0004360464714409318,19704.9921875,0.2,0.5463210344314575,0.39378154277801514,-1.9391911990940571,0.02069091796875,,
9824.555,3835,1376256,1094.13,358,42,0.0035796831,2880,0.0001,50794.54934082031,0.0003075988694035914,19757.697265625,0.2,0.5967514216899872,0.39376017451286316,-1.9390423864126205,0.0142120361328125,,
9959.988,3931,1409024,1099.53,358,43,0.0047895093,2890,0.0001,50513.82734375,-6.24709136900492e-05,19342.37109375,0.2,0.5401463210582733,0.3937012255191803,-1.9386541828513146,0.0243499755859375,,
10350.08,4025,1441792,1131.75,358,44,0.00423975,2900,0.0001,52292.45244140625,-0.0006046615555533208,19692.83984375,0.2,0.6182998418807983,0.3936946392059326,-1.9382619597017765,0.017901611328125,,
10808.854,4119,1474560,1157.74,357,45,0.004303572,2910,0.0001,45668.441625976564,-0.0004277470929082483,16415.666015625,0.2,0.6713976860046387,0.3936939239501953,-1.938231321424246,0.023077392578125,,
11376.503,4213,1507328,1186.74,357,46,0.003887962,2920,0.0001,50126.304467773436,0.00014382805093191565,20226.025390625,0.2,0.5397903919219971,0.3937075138092041,-1.9382841736078262,0.0156097412109375,,
11084.437,4307,1540096,1170.99,357,47,0.0037997116,2930,0.0001,51603.03469238281,-0.0002010457632422913,18773.173828125,0.2,0.5844056010246277,0.3937086760997772,-1.9383614778518676,0.016845703125,,
11222.196,4401,1572864,1178.51,357,48,0.0033935644,2940,0.0001,48457.62053222656,-0.00019534958264557644,18555.34765625,0.2,0.5699025690555573,0.3936869204044342,-1.9382634297013284,0.012921142578125,,
,,1600000,,,,0.004234874,2950,0.0001,49140.68046875,-0.0004037998638523277,19074.546875,0.2,0.6206358075141907,0.3936566412448883,-1.9380032666027547,0.0252532958984375,7610.111328125,1310.72
10835.3125,4928,1605632,1178.12,325,49,,,,,,,,,,,,,
11041.12,5023,1638400,1212.53,326,50,0.0040317248,2960,0.0001,125311.70231933593,-0.0003216607656213455,54564.0859375,0.2,0.5239705741405487,0.39363235235214233,-1.9377067930996419,0.0167327880859375,,
10439.906,5118,1671168,1132.3,326,51,0.0043426096,2970,0.0001,47292.113500976564,0.00030349465523613615,19322.244140625,0.2,0.6283164322376251,0.3935990333557129,-1.9374093599617481,0.0192138671875,,
9521.555,5215,1703936,1149.81,326,52,0.0044674594,2980,0.0001,53024.33217773437,-0.00043826947585330346,21821.06640625,0.2,0.5675790905952454,0.3935529589653015,-1.9369889043271542,0.0270751953125,,
7947.1826,5313,1736704,1156.09,326,53,0.004495167,2990,0.0001,310481.173828125,0.0010705604872782715,215783.40625,0.2,0.3785277009010315,0.3935602903366089,-1.9367215633392334,0.020306396484375,,
7348.5723,5418,1769472,1113.04,326,54,0.0051903054,3000,0.0001,838257.5326171875,0.0019636066528619265,290471.46875,0.2,0.35569441318511963,0.3935610055923462,-1.9368072710931301,0.0241485595703125,,
8881.173,5523,1802240,1193.7,326,55,0.005577805,3010,0.0001,50954.95891113281,-0.00034946036830660885,20654.75,0.2,0.6175662875175476,0.39356860518455505,-1.9368558697402478,0.032647705078125,,
8788.528,5624,1835008,1217.1,326,56,0.0039797034,3020,0.0001,48971.74345703125,-0.0002036043384578079,20122.615234375,0.2,0.6550643146038055,0.39354413747787476,-1.9367621585726738,0.0157745361328125,,
10129.878,5723,1867776,1217.79,326,57,0.0035633366,3030,0.0001,44221.26383056641,-0.000177696360333357,18484.615234375,0.2,0.6537545621395111,0.3935123085975647,-1.936453317850828,0.015264892578125,,
9697.691,5815,1900544,1236.13,326,58,0.004334149,3040,0.0001,382073.54213867185,-0.00042905522714136167,231924.484375,0.2,0.5475012362003326,0.3935038447380066,-1.9362044788897037,0.0228973388671875,,
9532.794,5909,1933312,1213.62,327,59,0.0031091534,3050,0.0001,126194.1979736328,0.0004277946238289587,84169.234375,0.2,0.5909889936447144,0.3935086131095886,-1.9361955843865872,0.010760498046875,,
9806.912,6006,1966080,1211.68,327,60,0.0039725075,3060,0.0001,56113.60737304688,0.00015606195884174668,22631.431640625,0.2,0.7095818519592285,0.3934781551361084,-1.9360925294458866,0.015655517578125,,
10387.244,6101,1998848,1185.64,327,61,0.004453983,3070,0.0001,47881.46130371094,2.609263683552854e-05,16531.6171875,0.2,0.6807597577571869,0.39348217844963074,-1.9359112098813056,0.021942138671875,,
10201.105,6192,2031616,1159.76,328,62,0.005341557,3080,0.0001,167776.29975585936,-0.0006572335405508056,94640.515625,0.2,0.5705448985099792,0.3934932351112366,-1.935959565639496,0.0282623291015625,,
