time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/learning_rate
11,640,-70.22102,563,360448,301.0,52.83486557006836,100,-5.67759287506342,-0.0031344342984084505,0.0009562748,107.52876811027527,0.2,0.0,0.001129448413848877,1.0004820823669434,1e-06
12,698,38.06356,562,393216,301.0,57.9146614074707,110,-5.6776416644454,-0.00575077558241901,0.0025878358,117.7090482711792,0.2,0.00108642578125,0.0011466741561889648,1.0004551410675049,1e-06
13,756,-11.846047,562,425984,301.0,656.5650024414062,120,-5.677532142400741,-0.00026687982317525895,2.5089286e-05,1278.327712869644,0.2,0.0,8.165836334228516e-05,1.0004385709762573,1e-06
14,814,63.1525,562,458752,301.0,205.42587280273438,130,-5.677496777474881,-0.002980011770341662,0.0028171428,709.8437260627746,0.2,0.0013824462890625,0.0002638101577758789,1.0004206895828247,1e-06
15,873,61.304577,562,491520,301.0,118.10722351074219,140,-5.677429130673408,2.6007688211393544e-05,2.3662087e-06,1011.974147939682,0.2,0.0,0.0002111196517944336,1.0004217624664307,1e-06
16,931,19.44467,562,524288,301.0,368.3319396972656,150,-5.677432386577129,0.00014991289208410308,9.937488e-06,989.2565444946289,0.2,0.0,0.00022727251052856445,1.0004198551177979,1e-06
17,989,93.33486,562,557056,301.0,69.58228302001953,160,-5.677458573877812,-0.0006875441353258793,8.543936e-05,153.3213143825531,0.2,0.0,0.0013547539710998535,1.000437617301941,1e-06
18,1048,-8.809367,562,589824,301.0,551.3076782226562,170,-5.6774981513619425,5.1563668421295006e-05,6.8795343e-06,1847.351990222931,0.2,0.0,0.00010323524475097656,1.000436544418335,1e-06
19,1106,101.41346,562,622592,301.0,82.62962341308594,180,-5.677498824894428,-0.006769712363529834,0.006014337,165.6496840953827,0.2,0.0179473876953125,0.0014415383338928223,1.0003911256790161,1e-06
20,1164,74.90908,562,655360,301.0,146.65060424804688,190,-5.677289156615734,1.3153099098417443e-05,1.1734701e-06,1557.7809928417205,0.2,0.0,0.00023937225341796875,1.0003858804702759,1e-06
21,1223,60.86257,562,688128,301.0,219.95382690429688,200,-5.67729082852602,-2.6924337180389558e-05,1.5192418e-06,1299.7292625904083,0.2,0.0,0.00031191110610961914,1.00038480758667,1e-06
22,1281,30.516699,562,720896,301.0,248.3221435546875,210,-5.677291955053806,-0.00026981419468938837,7.015205e-05,1019.9227538108826,0.2,0.0,0.0003044605255126953,1.0003840923309326,1e-06
23,1339,77.70744,562,753664,301.0,87.0814437866211,220,-5.67729449570179,-0.0014003381045768037,0.0010410973,733.6392431735992,0.2,0.0,0.0005370378494262695,1.00038743019104,1e-06
24,1397,63.855694,562,786432,301.0,815.6138916015625,230,-5.677292013168335,-0.0004481999663767056,0.0001144416,1018.9966052055358,0.2,0.0,0.0002887248992919922,1.0003865957260132,1e-06
25,1456,56.08085,562,819200,301.0,1010.09619140625,240,-5.677264411747456,-0.0004857764824919286,0.0001951155,1028.8221645832061,0.2,0.0,0.0002884864807128906,1.0003702640533447,1e-06
26,1514,33.80619,562,851968,301.0,537.6448364257812,250,-5.6772208422422406,-0.000548052994417958,0.00030189243,1024.3110091209412,0.2,0.0,0.00023502111434936523,1.0003688335418701,1e-06
27,1572,65.69705,562,884736,301.0,544.3116455078125,260,-5.677167646586895,-0.001734968452456087,0.0018111443,490.2070429325104,0.2,0.0001495361328125,0.0005940794944763184,1.00033438205719,1e-06
28,1630,28.791231,562,917504,301.0,715.1792602539062,270,-5.67709686011076,-0.0006077035319322022,0.00044533645,1067.1070712566375,0.2,0.0,0.00014257431030273438,1.0003399848937988,1e-06
29,1689,-12.012184,562,950272,301.0,347.3843688964844,280,-5.677054359018802,-0.0009797459144465393,0.0014960413,842.2580556869507,0.2,5.18798828125e-05,0.00017386674880981445,1.0003035068511963,1e-06
30,1747,0.32202426,562,983040,301.0,143.12351989746094,290,-5.6769664362072945,-0.0003204679876944283,9.114641e-05,291.6568452835083,0.2,0.0,0.0006358623504638672,1.0003074407577515,1e-06
31,1805,0.010221672,562,1015808,301.0,509.86651611328125,300,-5.676934266090393,-0.00033902831473824334,0.00021881756,913.5362510681152,0.2,0.0,0.0002751946449279785,1.0002834796905518,1e-06
