time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/clip_fraction,train/std,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1605632,16984.336,49,214,1086.3,7489,,,,,,,,,,,,,
1638400,15426.89,50,214,1111.82,7634,0.6372013688087463,322154.25,0.062969970703125,0.39384523034095764,0.2,0.0073650274,598685.5045593262,-1.9399053006432951,2960,0.0001,0.0009794057880753825,,
1671168,16329.071,51,214,1121.95,7775,0.7333251237869263,148523.8125,0.0632476806640625,0.3938506245613098,0.2,0.007333013,584563.9887512207,-1.9399167514406144,2970,0.0001,0.002797143794578005,,
1703936,15795.195,52,215,1109.71,7916,0.6860783696174622,43120.23046875,0.0430084228515625,0.3938131332397461,0.2,0.0054684766,252082.58766174316,-1.9397713644430041,2980,0.0001,-0.00011258564622949053,,
1736704,17332.246,53,215,1136.29,8062,0.6126280128955841,901476.625,0.0524444580078125,0.3937965929508209,0.2,0.0069193942,799567.854260254,-1.9394988207146526,2990,0.0001,-0.0011481841979730234,,
1769472,16822.0,54,215,1063.87,8202,0.7537486404180527,68048.671875,0.0401397705078125,0.39375200867652893,0.2,0.005816471,327712.10115356446,-1.9391975402832031,3000,0.0001,0.0007030865168417222,,
1802240,16570.26,55,215,1034.94,8344,0.675731748342514,67204.265625,0.0499298095703125,0.3937222361564636,0.2,0.0064738835,141379.97122802734,-1.9388184463605285,3010,0.0001,0.0005348959499315242,,
1835008,18699.58,56,216,1043.5,8486,0.6306691467761993,49674.62890625,0.0593994140625,0.3937017619609833,0.2,0.0064604455,143326.74462890625,-1.9385682540014386,3020,0.0001,0.001506291995610809,,
1867776,18676.088,57,216,1078.24,8631,0.6839252412319183,47451.7421875,0.039141845703125,0.39367952942848206,0.2,0.0059164884,130783.68727111816,-1.9383756244555115,3030,0.0001,0.0004598482876644994,,
1900544,18539.195,58,216,1112.4,8773,0.6814206838607788,446825.90625,0.060101318359375,0.39366161823272705,0.2,0.0073282057,338877.44841308595,-1.9381703338585794,3040,0.0001,0.00045987691273694507,,
1933312,18499.316,59,216,1127.63,8916,0.7051245868206024,46644.59765625,0.036798095703125,0.3936072289943695,0.2,0.005291832,115359.83453063965,-1.9378158644773067,3050,0.0001,0.00010328392390874796,,
1966080,18541.715,60,217,1102.85,9059,0.5916011035442352,160453.65625,0.0369903564453125,0.3936017155647278,0.2,0.005723848,221302.54975280762,-1.937510249763727,3060,0.0001,0.0005853217088770179,,
1998848,18538.44,61,217,1077.57,9206,0.7203215956687927,44296.2265625,0.050518798828125,0.39360710978507996,0.2,0.005788649,142693.95305786133,-1.9375022869557141,3070,0.0001,0.0009696571239146579,,
2031616,19100.344,62,217,1086.95,9349,0.6736778914928436,53905.07421875,0.036505126953125,0.3935786485671997,0.2,0.005468905,137294.42160339357,-1.9373941122554243,3080,0.0001,0.0005355964382943057,,
