time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
141,301.0,15,1303,-38.545258,184320,0.0,0.047648111979166664,0.8822194337844849,0.00024275381122909796,140,411.2203369140625,0.003653137,490.51676210562385,0.001,-5.172479620948434,0.2,,
141,301.0,16,1391,-58.447742,196608,0.0,0.078271484375,0.8676031827926636,-0.0008159487964197373,150,242.10894775390625,0.008837533,1216.229258187612,0.001,-5.140964443112413,0.2,,
141,301.0,17,1479,-71.35861,208896,-1.1920928955078125e-07,0.0552490234375,0.8746424913406372,0.0008965448835321391,160,1438.3502197265625,0.003847101,1208.6858751614889,0.001,-5.0888756968081,0.2,,
141,301.0,18,1567,-69.96121,221184,0.0,0.07400716145833333,0.8691153526306152,-0.0006250894879485713,170,237.47898864746094,0.0071946816,411.6290439804395,0.001,-5.108775527154406,0.2,,
141,301.0,19,1655,-58.595493,233472,0.0,0.063037109375,0.8617150783538818,-0.0005969390224587793,180,157.63624572753906,0.006327391,460.92197722593943,0.001,-5.084911662712694,0.2,,
141,301.0,20,1742,-35.12279,245760,2.384185791015625e-07,0.05428873697916667,0.863958477973938,0.0016254338930593803,190,1408.3822021484375,0.003588415,2083.1603062788645,0.001,-5.08276036841174,0.2,,
141,301.0,21,1829,-35.116302,258048,0.0,0.06900227864583333,0.8424537181854248,-0.0008035489806691961,200,119.78977966308594,0.007177269,531.584328019619,0.001,-5.0071860379228985,0.2,,
140,301.0,22,1917,-74.25447,270336,0.0,0.0589599609375,0.8473953008651733,-8.40658348655173e-05,210,287.46649169921875,0.0058099236,652.105198097229,0.001,-4.969957616676887,0.2,,
140,301.0,23,2004,-137.09338,282624,0.0,0.0818115234375,0.8425787091255188,0.0002445071074665369,220,390.7970275878906,0.004907683,1675.5706960439682,0.001,-4.941115026548505,0.2,,
140,301.0,24,2092,-186.16641,294912,0.0,0.0603271484375,0.8205713033676147,0.0011865562378564694,230,590.1155395507812,0.005914708,1933.2438814878465,0.001,-4.9196259144693615,0.2,,
140,301.0,25,2179,-197.51634,307200,5.960464477539063e-08,0.0528564453125,0.8131335973739624,0.0010619952849083348,240,676.0222778320312,0.0066729453,1876.587900765737,0.001,-4.863253642867009,0.2,,
140,301.0,26,2267,-208.92717,319488,0.0,0.060286458333333334,0.8009182810783386,0.0016040832286914033,250,378.39532470703125,0.0056912913,1775.272072839737,0.001,-4.812249176452557,0.2,,
140,301.0,27,2354,-183.43832,331776,0.0,0.057698567708333336,0.786299467086792,0.0007460436912272902,260,454.7241516113281,0.005636673,856.8874997695287,0.001,-4.738264612977703,0.2,,
140,301.0,28,2442,-161.88214,344064,-1.1920928955078125e-07,0.0682373046875,0.7788609266281128,-0.00019967937502466762,270,1656.770751953125,0.0065554767,1663.501988554001,0.001,-4.668739255766074,0.2,,
140,301.0,29,2530,-138.44307,356352,0.0,0.07230631510416667,0.7762005925178528,0.0010787090027103356,280,8249.0986328125,0.0051724785,2632.768399365743,0.001,-4.628540636971593,0.2,,
140,301.0,30,2617,-125.87924,368640,0.0,0.03720703125,0.7696859836578369,0.001018540195946116,290,251.0387725830078,0.0060033924,844.4382571379343,0.001,-4.63874996950229,0.2,,
140,301.0,31,2709,-146.95363,380928,5.960464477539063e-08,0.053629557291666664,0.7668136954307556,0.0007300703371583949,300,307.9414978027344,0.0047682733,3372.2801539500556,0.001,-4.5721801041315,0.2,,
140,301.0,32,2806,-231.76527,393216,0.0,0.05673014322916667,0.7668172121047974,0.0008362124038588566,310,469.9919128417969,0.0061813924,833.2190120299657,0.001,-4.569023471822342,0.2,,
140,301.0,33,2894,-249.95526,405504,-1.1920928955078125e-07,0.06678873697916667,0.7700186967849731,-7.522145703357334e-06,320,430.13916015625,0.006707974,1013.1810005187988,0.001,-4.592406105374296,0.2,,
140,301.0,34,2983,-267.8097,417792,-1.1920928955078125e-07,0.053564453125,0.7635942101478577,-0.00031787636786854517,330,403.1925964355469,0.0052683875,1650.9230816761653,0.001,-4.568922064950069,0.2,,
139,301.0,35,3074,-264.10248,430080,0.0,0.04803873697916667,0.7552119493484497,0.0007597743014533383,340,480.80816650390625,0.005590781,942.2168000459671,0.001,-4.583570379888018,0.2,,
139,301.0,36,3171,-269.18265,442368,-1.1920928955078125e-07,0.05093587239583333,0.7454371452331543,-6.459762237985464e-05,350,366.0350036621094,0.0031176638,961.9819462219874,0.001,-4.489157614608605,0.2,,
139,301.0,37,3264,-258.77417,454656,0.0,0.05234375,0.7517150044441223,0.0010222668281736939,360,489.35595703125,0.0046242657,907.5823786815007,0.001,-4.482076563065251,0.2,,
138,301.0,38,3368,-252.13806,466944,0.0,0.0494384765625,0.7529731392860413,0.00046496712554168577,370,406.7750244140625,0.006340336,831.4789706548055,0.001,-4.523589787259698,0.2,,
