rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance
-118.80393,458752,301.0,861,532,14,0.0,0.2,1067.9879205703735,-5.637717480957508,6.88935e-05,0.9905611872673035,130,-6.85373053784133e-05,0.0001,479.45782470703125,0.5126634240150452
-152.00626,491520,301.0,922,532,15,0.0,0.2,1093.1218035697937,-5.637685675919056,0.00037965085,0.9905426502227783,140,-0.0001656022468523588,0.0001,940.1351928710938,0.5253161489963531
-149.06079,524288,301.0,982,533,16,0.0,0.2,1201.252592277527,-5.637655439972877,0.00058847165,0.9905673265457153,150,-0.00020166216236248147,0.0001,533.9703979492188,0.5331067740917206
-139.46883,557056,301.0,1043,533,17,0.0,0.2,501.94522552490236,-5.637787213921547,0.00015222165,0.9906152486801147,160,-0.00011049339100281941,0.0001,225.66807556152344,0.7391313016414642
-124.03184,589824,301.0,1104,533,18,0.0,0.2,476.6135304450989,-5.637924933433533,0.00030386844,0.9906183481216431,170,-0.0002952332255517831,0.0001,229.4430389404297,0.7704562991857529
-77.67266,622592,301.0,1165,534,19,2.74658203125e-05,0.2,1042.4662918090821,-5.637775985896587,0.0014199292,0.9905202984809875,180,-0.0006811166836996563,0.0001,668.7438354492188,0.6032077968120575
-45.232086,655360,301.0,1227,533,20,6.103515625e-06,0.2,685.2274267196656,-5.6376492321491245,0.0011454467,0.9905491471290588,190,-0.00034276471378689164,0.0001,257.39093017578125,0.6924060583114624
-6.1877527,688128,301.0,1289,533,21,2.13623046875e-05,0.2,679.8031438827514,-5.637809059023857,0.001287401,0.9906272888183594,200,-0.000632192778721219,0.0001,927.9136962890625,0.6975716352462769
-7.6557155,720896,301.0,1353,532,22,0.0,0.2,875.9951057434082,-5.6383434072136875,0.00084910495,0.9908175468444824,210,-0.00028287524055485845,0.0001,204.96871948242188,0.6411164402961731
-29.388195,753664,301.0,1417,531,23,0.0,0.2,1192.7545763015746,-5.638882777094841,0.0002972168,0.9908778667449951,220,-0.00012181301035525393,0.0001,434.8486633300781,0.5639001727104187
-12.652151,786432,301.0,1479,531,24,0.0014739990234375,0.2,657.6892564773559,-5.639067009091377,0.0028960006,0.9909213781356812,230,-0.0006548703036969528,0.0001,284.7017822265625,0.7188245356082916
67.810745,819200,301.0,1542,531,25,0.014697265625,0.2,352.85976819992067,-5.6392291486263275,0.0039465376,0.9908857941627502,240,-0.0015960713220920298,0.0001,170.23483276367188,0.8258526176214218
71.396385,851968,301.0,1605,530,26,0.0017547607421875,0.2,911.1426508903503,-5.63909525424242,0.002748623,0.9909054040908813,250,-0.0010088266260936507,0.0001,924.4208374023438,0.6438276767730713
95.477875,884736,301.0,1668,530,27,0.0037353515625,0.2,938.4986121177674,-5.63924944549799,0.0035374528,0.9909241199493408,260,-0.0010211364095084718,0.0001,237.12762451171875,0.6313077211380005
123.36757,917504,301.0,1729,530,28,0.00423583984375,0.2,954.776486492157,-5.639111767709255,0.0034135478,0.9907923340797424,270,-0.0005869909193279455,0.0001,371.1756286621094,0.635932981967926
21.88741,950272,301.0,1791,530,29,0.0011138916015625,0.2,1766.038969230652,-5.638705307245255,0.0024513574,0.9907777905464172,280,-0.0009257956668079715,0.0001,367.70843505859375,0.47630423307418823
78.409195,983040,301.0,1853,530,30,0.0153228759765625,0.2,366.56408576965333,-5.6383660897612575,0.0035941699,0.9905580878257751,290,-0.0014817891729762777,0.0001,172.73765563964844,0.8259558528661728
90.53726,1015808,301.0,1915,530,31,0.0107940673828125,0.2,1171.229648208618,-5.637865237891674,0.003931661,0.9905951023101807,300,-0.0011506263052069698,0.0001,189.75247192382812,0.6018495559692383
