rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
1069.92,6228.91,357,1557,557056,17,0.0001,0.04503173828125,-1.942568601667881,45764.47921142578,0.0003722918627317995,0.2,16312.83984375,0.5203529298305511,2630,0.006073592,0.3941103219985962,,
1048.51,6293.089,357,1650,589824,18,0.0001,0.0225372314453125,-1.9424389220774174,46775.49938964844,0.0005876162998902146,0.2,16366.3974609375,0.4329047203063965,2640,0.0047227396,0.3940986394882202,,
1027.61,6282.236,356,1745,622592,19,0.0001,0.020074462890625,-1.942264300584793,45981.01103515625,0.00010677143291104585,0.2,16947.91796875,0.45574265718460083,2650,0.00452659,0.39407068490982056,,
1023.01,6436.259,356,1840,655360,20,0.0001,0.0202545166015625,-1.9419482730329036,47723.557580566405,-0.0005865971586899831,0.2,17788.275390625,0.44016414880752563,2660,0.004348182,0.3940371870994568,,
1003.26,6262.08,355,1933,688128,21,0.0001,0.022705078125,-1.9417490541934967,45404.37155761719,-7.687193574383855e-05,0.2,18120.1484375,0.4689817428588867,2670,0.0046712295,0.3940393924713135,,
1005.12,6340.023,355,2027,720896,22,0.0001,0.0177642822265625,-1.9415472745895386,43797.15213623047,-8.145114552462473e-05,0.2,17487.666015625,0.4608525037765503,2680,0.003782156,0.39398136734962463,,
1002.47,6512.4243,355,2122,753664,23,0.0001,0.0204925537109375,-1.9410522714257241,48549.535864257814,-0.0005179553700145334,0.2,19725.076171875,0.5069696605205536,2690,0.0044436078,0.39394819736480713,,
1034.51,6933.906,354,2215,786432,24,0.0001,0.022650146484375,-1.9407100930809975,49762.845043945315,-0.00038124908023746685,0.2,18508.68359375,0.4388236999511719,2700,0.0045298906,0.39391380548477173,,
1052.49,7268.1675,354,2312,819200,25,0.0001,0.025628662109375,-1.9405266121029854,42568.5083984375,0.00011892015900230035,0.2,14911.2275390625,0.4848088026046753,2710,0.0052326163,0.39391613006591797,,
1059.39,7379.5757,353,2411,851968,26,0.0001,0.020147705078125,-1.94023302718997,40162.072766113284,4.198275419184938e-05,0.2,15378.9072265625,0.5549545586109161,2720,0.0047278246,0.3938472867012024,,
1023.27,7262.0674,352,2511,884736,27,0.0001,0.0197235107421875,-1.9397985965013504,46773.25953369141,2.9133269708836452e-05,0.2,17909.5859375,0.535739928483963,2730,0.0046088407,0.39384138584136963,,
988.6,7309.7095,349,2621,917504,28,0.0001,0.02091064453125,-1.9397643595933913,44557.41865234375,-0.00020156782047706657,0.2,17341.388671875,0.6046430170536041,2740,0.0039856858,0.39383506774902344,,
914.22,6587.7173,349,2717,950272,29,0.0001,0.0255218505859375,-1.9396756283938885,46999.24650878906,-0.0008603170557762496,0.2,17374.025390625,0.5619717836380005,2750,0.0056223404,0.3938226103782654,,
920.33,6822.716,348,2824,983040,30,0.0001,0.04248046875,-1.9393747620284558,50652.55812988281,0.000745987629488809,0.2,22532.619140625,0.6081575453281403,2760,0.006703417,0.39378097653388977,,
893.7,6916.5186,347,2927,1015808,31,0.0001,0.0192230224609375,-1.9390731751918793,50427.255615234375,0.000125607629888691,0.2,21786.595703125,0.524526447057724,2770,0.0038019926,0.3937620520591736,,
951.24,8024.7676,346,3025,1048576,32,0.0001,0.03521728515625,-1.9387628175318241,55370.532006835936,-0.00011953724679187871,0.2,23786.92578125,0.478493869304657,2780,0.0056501105,0.39371824264526367,,
947.04,7860.4043,346,3120,1081344,33,0.0001,0.0189056396484375,-1.9383020266890525,53961.75747070312,0.00013638734599226155,0.2,23159.78125,0.4871702790260315,2790,0.0038588317,0.39367252588272095,,
958.19,7866.5977,346,3215,1114112,34,0.0001,0.019451904296875,-1.9380850702524186,50352.186206054685,0.0008835043510771357,0.2,20011.8671875,0.5650400519371033,2800,0.0038736204,0.39368289709091187,,
932.4,7370.333,346,3310,1146880,35,0.0001,0.0208709716796875,-1.9380498446524144,50643.64514160156,0.0005192896431253757,0.2,19303.638671875,0.5465212762355804,2810,0.003920224,0.39366045594215393,,
948.08,7327.786,346,3404,1179648,36,0.0001,0.02352294921875,-1.937805326282978,50863.64504394531,0.0007050551968859509,0.2,19840.837890625,0.5496940612792969,2820,0.004773787,0.39363381266593933,,
941.64,7566.4893,346,3500,1212416,37,0.0001,0.0176055908203125,-1.9375837370753288,51495.05993652344,-0.0005393961953814141,0.2,19384.8203125,0.570917010307312,2830,0.004148077,0.39361879229545593,,
969.58,7987.9214,346,3596,1245184,38,0.0001,0.0148895263671875,-1.9374688871204853,50338.0154296875,-7.232195493998007e-05,0.2,21027.04296875,0.5344188511371613,2840,0.0040869773,0.3936067223548889,,
904.72,7910.8906,346,3691,1277952,39,0.0001,0.02183837890625,-1.9372996762394905,51432.097436523436,0.0003204658001777716,0.2,22209.130859375,0.5359320938587189,2850,0.00448694,0.3935876488685608,,
873.51,7552.842,346,3787,1310720,40,0.0001,0.0146148681640625,-1.9371161408722402,57466.51711425781,8.842593306326307e-05,0.2,20515.2109375,0.5238936543464661,2860,0.0032934956,0.39357030391693115,,
855.17,7021.442,345,3886,1343488,41,0.0001,0.01949462890625,-1.9368569299578666,54199.26794433594,2.831335150403902e-05,0.2,21093.888671875,0.5601677596569061,2870,0.0041742846,0.393535852432251,,
876.73,7279.1133,345,3985,1376256,42,0.0001,0.01424560546875,-1.9364829681813718,55659.91950683594,-0.0003723904796061106,0.2,21020.59765625,0.44622063636779785,2880,0.0036164648,0.393496572971344,,
901.56,7497.8306,345,4077,1409024,43,0.0001,0.0186798095703125,-1.936230480670929,56122.438232421875,0.00014181718870531768,0.2,24382.55859375,0.5057457685470581,2890,0.0041801594,0.39348891377449036,,
895.34,7581.6636,345,4171,1441792,44,0.0001,0.0077484130859375,-1.9361446104943751,55972.15720214844,-3.989032120443881e-06,0.2,23030.95703125,0.5616348385810852,2900,0.0026760544,0.3934767544269562,,
886.0,7528.634,345,4268,1474560,45,0.0001,0.0159393310546875,-1.9361045703291893,53320.3939453125,-0.0003837999545794446,0.2,22558.873046875,0.5556043982505798,2910,0.003600445,0.3934779763221741,,
870.81,7327.0195,344,4370,1507328,46,0.0001,0.01011962890625,-1.9361118212342263,54255.033447265625,-0.0002837361374986358,0.2,21188.060546875,0.533761739730835,2920,0.0029876265,0.39347854256629944,,
890.73,7185.1333,343,4477,1540096,47,0.0001,0.021600341796875,-1.9358900539577006,51168.79086914063,0.0005252913681033534,0.2,20496.80859375,0.5477504432201385,2930,0.0040277108,0.3934327960014343,,
888.39,7225.61,343,4583,1572864,48,0.0001,0.019171142578125,-1.9355483315885067,47300.001220703125,0.0003253792950999923,0.2,17921.94140625,0.6569062173366547,2940,0.0037859632,0.39340940117836,,
,,,,1600000,,0.0001,0.0174163818359375,-1.9353106185793876,52689.8125,-0.0002792035171296448,0.2,22674.404296875,0.5594392418861389,2950,0.0037948964,0.3933860659599304,1199.46,4427.02197265625
968.43,7992.1504,311,5160,1605632,49,,,,,,,,,,,,,
927.98,7515.6333,311,5253,1638400,50,0.0001,0.0177032470703125,-1.9351056069135666,52242.977807617186,-0.000494814412377309,0.2,21322.93359375,0.6249909400939941,2960,0.0037069328,0.39337611198425293,,
940.96,7236.7007,312,5354,1671168,51,0.0001,0.0188446044921875,-1.9349359720945358,56929.7763671875,0.0002636200842971448,0.2,24079.37890625,0.5164875686168671,2970,0.003841891,0.3933545649051666,,
871.96,7005.08,312,5452,1703936,52,0.0001,0.0233062744140625,-1.9347490549087525,51882.51704101563,-5.588595231529325e-05,0.2,21434.830078125,0.5832256376743317,2980,0.004934316,0.39333993196487427,,
925.55,7724.3623,312,5551,1736704,53,0.0001,0.016461181640625,-1.9345544531941414,51074.83833007813,0.0003550263063516468,0.2,19732.205078125,0.6206489503383636,2990,0.0040009376,0.39331644773483276,,
956.87,8215.282,313,5644,1769472,54,0.0001,0.0264373779296875,-1.9343941703438758,51942.409497070315,-0.00026698825240600854,0.2,19876.36328125,0.6882906556129456,3000,0.0048380373,0.39331233501434326,,
941.5,8190.0005,314,5736,1802240,55,0.0001,0.0229888916015625,-1.934334946423769,50738.89855957031,-1.6685365699231626e-05,0.2,17003.203125,0.678892970085144,3010,0.0036053504,0.3933073878288269,,
928.79,8296.34,314,5831,1835008,56,0.0001,0.013482666015625,-1.9342229552567005,57144.42858886719,-8.086206071311608e-06,0.2,22901.083984375,0.5539823770523071,3020,0.0037558991,0.39329013228416443,,
908.17,8273.279,315,5927,1867776,57,0.0001,0.018341064453125,-1.9340653456747532,55149.42978515625,-1.9545220129657537e-05,0.2,26616.712890625,0.5752461552619934,3030,0.0040439838,0.39327359199523926,,
931.52,8203.521,315,6032,1900544,58,0.0001,0.011285400390625,-1.9339307896792888,53255.63994140625,0.00022342623415170238,0.2,19854.96875,0.7301530838012695,3040,0.002853532,0.39326468110084534,,
962.47,8010.875,315,6135,1933312,59,0.0001,0.018505859375,-1.9337510205805302,50307.07263183594,0.00048069203621707856,0.2,18756.416015625,0.7459657788276672,3050,0.003997445,0.39323318004608154,,
966.2,8147.3833,315,6232,1966080,60,0.0001,0.0212860107421875,-1.9335845917463304,47435.33857421875,-0.00022480289917439222,0.2,17854.25390625,0.8279531747102737,3060,0.0042145094,0.39324042201042175,,
952.41,8256.601,315,6327,1998848,61,0.0001,0.024005126953125,-1.9336314633488656,55956.76650390625,-0.0002764910095720552,0.2,22323.224609375,0.6857525408267975,3070,0.004519158,0.3932373523712158,,
951.42,8357.743,316,6422,2031616,62,0.0001,0.017926025390625,-1.9335637450218202,49864.112084960936,9.70829772995785e-05,0.2,21640.505859375,0.7131365835666656,3080,0.0039218646,0.3932327628135681,,
