time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
63,-222.00656,2064384,6795,298.14,303,0.277813720703125,0.028643513,1850,0.005042482864746489,0.2,0.001,2823.0994889497756,721.8765869140625,-3.4842661236412824,0.5792227983474731,0.6830687522888184,,
64,-0.05116791,2097152,6903,300.89,303,0.296295166015625,0.03275888,1860,0.004233368841460106,0.2,0.001,2511.0719416975976,555.3294067382812,-3.4759949137456716,0.5774638056755066,0.7254195809364319,,
65,-33.469826,2129920,7011,298.47,303,0.2827423095703125,0.030593589,1870,0.005409308724301809,0.2,0.001,3120.1513334393503,438.3639831542969,-3.440423376020044,0.5727071762084961,0.718910813331604,,
66,382.316,2162688,7119,300.79,303,0.3006500244140625,0.032372393,1880,0.006474460462140996,0.2,0.001,3642.3239879131315,999.5144653320312,-3.4221134504303334,0.5696879625320435,0.7147509157657623,,
67,131.46538,2195456,7227,298.29,303,0.2773406982421875,0.029342879,1890,0.005555107760574174,0.2,0.001,4711.4543448448185,712.7080078125,-3.387070454843342,0.5634503960609436,0.7043254375457764,,
68,-95.96355,2228224,7335,301.0,303,0.3017333984375,0.031269297,1900,0.005738848007285924,0.2,0.001,3163.491288101673,2488.94873046875,-3.355711488518864,0.5599117875099182,0.7023010551929474,,
69,134.45303,2260992,7443,298.84,303,0.27984619140625,0.032341897,1910,0.005317230170840048,0.2,0.001,3395.4421297192575,495.12237548828125,-3.348607106972486,0.5600784420967102,0.7390546202659607,,
70,122.71602,2293760,7551,298.58,303,0.2912506103515625,0.029883984,1920,0.006978110218278743,0.2,0.001,3792.412892985344,584.0361328125,-3.3520182440057398,0.5603758096694946,0.7237730026245117,,
71,41.137814,2326528,7660,301.0,303,0.2993865966796875,0.032110743,1930,0.0068833137210276615,0.2,0.001,3315.9945751667024,457.6478271484375,-3.3348438681103287,0.5575346350669861,0.7029860317707062,,
72,-36.01995,2359296,7768,300.39,303,0.3161041259765625,0.03334433,1940,0.008191125026041846,0.2,0.001,3118.578790938854,3922.120361328125,-3.3338066762313248,0.5575292110443115,0.7175183892250061,,
73,48.642223,2392064,7876,295.77,303,0.290899658203125,0.03109977,1950,0.0051606363572318514,0.2,0.001,2763.8161158800126,485.7668151855469,-3.326374192815274,0.5575104355812073,0.7464251518249512,,
74,7.5545874,2424832,7984,299.73,303,0.303533935546875,0.032019466,1960,0.008657979681538563,0.2,0.001,3275.7854516029356,516.5978393554688,-3.3189058396033944,0.5556804537773132,0.7052589058876038,,
75,-8.962006,2457600,8093,299.2,303,0.3020416259765625,0.03282197,1970,0.007453777685987007,0.2,0.001,4000.195050287247,606.8114624023438,-3.306838658452034,0.5546780824661255,0.6715304553508759,,
76,68.59363,2490368,8201,296.96,303,0.28560791015625,0.030333407,1980,0.005602805063881533,0.2,0.001,3724.2329173803328,408.6141357421875,-3.2947584692388774,0.550949215888977,0.6844441592693329,,
77,118.16531,2523136,8309,299.46,303,0.3045166015625,0.032701336,1990,0.008570676195813576,0.2,0.001,4618.690866351128,664.40576171875,-3.2807458981871607,0.551715612411499,0.6970306932926178,,
78,193.82748,2555904,8417,295.44,303,0.297186279296875,0.03180501,2000,0.00600869204981791,0.2,0.001,3459.9807492494583,622.1408081054688,-3.2848099125549197,0.5504786968231201,0.7220294177532196,,
79,84.59224,2588672,8525,297.67,303,0.2814178466796875,0.029173214,2010,0.004653010155175252,0.2,0.001,3632.537753343582,446.74420166015625,-3.263656879682094,0.5474452972412109,0.7241763174533844,,
80,-17.173767,2621440,8634,293.59,303,0.2760467529296875,0.027831182,2020,0.004551012116644415,0.2,0.001,3379.2145340800284,676.1736450195312,-3.2522475400939586,0.5467418432235718,0.7688965499401093,,
81,88.41835,2654208,8742,297.64,303,0.274017333984375,0.027364995,2030,0.006539862560020993,0.2,0.001,3998.875321125984,456.7908630371094,-3.250598553754389,0.5470927357673645,0.7619563937187195,,
82,25.604046,2686976,8851,297.53,303,0.26129150390625,0.028085992,2040,0.0039014840961044683,0.2,0.001,3749.1728744983675,456.7919921875,-3.247059664037079,0.5460354089736938,0.7741917371749878,,
83,-37.162083,2719744,8959,298.0,303,0.2693572998046875,0.028649742,2050,0.0061682545980374925,0.2,0.001,3292.6951469540595,556.5807495117188,-3.2231180423870684,0.5423543453216553,0.7556963711977005,,
