rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
463.74,2568.1638,884736,2408,367,27,0.0230743408203125,0.0001,0.701429933309555,35352.258905029295,0.3926294147968292,-0.00010810114681589767,0.004092386,0.2,2730,-1.9274403538554907,11667.2431640625,,
442.74,2214.7615,917504,2492,368,28,0.041302490234375,0.0001,0.651277631521225,39619.58452148437,0.3925256133079529,0.0010193812262514258,0.005217121,0.2,2740,-1.926528096757829,10416.751953125,,
447.0,2250.87,950272,2576,368,29,0.0173736572265625,0.0001,0.7084949612617493,33688.83877258301,0.3924735188484192,-5.458840478240745e-05,0.003400322,0.2,2750,-1.9257328702136873,11652.1728515625,,
422.51,1743.1959,983040,2659,369,30,0.0228179931640625,0.0001,0.6889556050300598,30329.300036621094,0.39247947931289673,-0.0002003059908929572,0.0045655724,0.2,2760,-1.9254684306681156,11160.1728515625,,
413.94,1453.8414,1015808,2747,369,31,0.030633544921875,0.0001,0.72942054271698,31056.50559539795,0.392402321100235,-3.632369225670118e-05,0.004656992,0.2,2770,-1.9251258630305528,12049.615234375,,
425.36,1590.6763,1048576,2834,369,32,0.039959716796875,0.0001,0.7314525544643402,31761.021252441406,0.39236587285995483,-0.0012865960453382285,0.0052566407,0.2,2780,-1.9245298948138951,9868.6171875,,
448.11,2023.0522,1081344,2924,369,33,0.031451416015625,0.0001,0.6917569935321808,32397.123092651367,0.3923654854297638,-0.0004531716843303002,0.0049313176,0.2,2790,-1.9243514904752375,11436.169921875,,
440.85,2024.1166,1114112,3009,370,34,0.0384979248046875,0.0001,0.7317153513431549,30594.90867919922,0.3923342227935791,-0.0008518210635884316,0.0048392,0.2,2800,-1.924215984530747,13654.701171875,,
416.57,1646.9825,1146880,3093,370,35,0.0266204833984375,0.0001,0.7806045413017273,29486.077641296386,0.39228951930999756,-0.000593552911777806,0.0045797196,0.2,2810,-1.9238432668149472,11083.4326171875,,
432.02,1749.1971,1179648,3175,371,36,0.0304168701171875,0.0001,0.7051986157894135,36128.943322753905,0.3922792375087738,-7.943236450955738e-05,0.0049937395,0.2,2820,-1.9235323211178184,13205.6982421875,,
412.48,1454.8558,1212416,3256,372,37,0.0160919189453125,0.0001,0.7282101511955261,32302.71784210205,0.3922470808029175,0.00016026157445594435,0.003314571,0.2,2830,-1.923322013951838,11382.625,,
392.85,1184.4862,1245184,3337,373,38,0.025848388671875,0.0001,0.756342351436615,28764.632485961913,0.39221054315567017,1.3010962356929668e-05,0.0042343764,0.2,2840,-1.9229981577023865,11728.1845703125,,
407.1,1371.3356,1277952,3419,373,39,0.026055908203125,0.0001,0.8054632395505905,22699.493159484864,0.39214229583740234,0.0003849853776046075,0.003777647,0.2,2850,-1.9224645080044866,7420.99951171875,,
405.55,1345.5878,1310720,3501,374,40,0.012652587890625,0.0001,0.7857434898614883,24748.956091308595,0.39212989807128906,-0.0006198608311024145,0.00315519,0.2,2860,-1.9220367865636945,10706.4208984375,,
404.49,1184.4536,1343488,3581,375,41,0.0309478759765625,0.0001,0.7827871292829514,22945.81651763916,0.39210808277130127,0.00031763553197379225,0.0045399456,0.2,2870,-1.9218815080821514,7204.4853515625,,
392.01,1123.9515,1376256,3663,375,42,0.011724853515625,0.0001,0.800313800573349,23537.037623596192,0.39204663038253784,0.00014847590973658952,0.0031155793,0.2,2880,-1.9214636955410243,7742.880859375,,
397.35,1263.4938,1409024,3745,376,43,0.020947265625,0.0001,0.7790786474943161,26789.739630126955,0.3920363783836365,0.0005318141090356221,0.004042064,0.2,2890,-1.9210524272173644,16563.59765625,,
399.55,1148.2557,1441792,3832,376,44,0.017877197265625,0.0001,0.8111202716827393,26453.557765197755,0.3920285701751709,-0.0006151664349090425,0.0042381026,0.2,2900,-1.9210202667862177,10113.3779296875,,
408.28,1636.9749,1474560,3917,376,45,0.027850341796875,0.0001,0.7576605975627899,28470.513014221193,0.39199572801589966,-5.386715092754457e-05,0.0041221185,0.2,2910,-1.9207669731229544,10785.6171875,,
395.24,1089.254,1507328,3999,376,46,0.0204010009765625,0.0001,0.803246945142746,25398.053485107423,0.39196982979774475,-3.514736845318111e-05,0.0037076704,0.2,2920,-1.920486586354673,12535.0546875,,
