time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
205,1277952,583.94,2715.6807,6211,39,0.017589774,2230,-2.213585440069437,0.7533408105373383,892.7322387695312,0.0024966158791357882,0.4202824831008911,0.1969207763671875,5388.082732009888,0.2,0.001,,
205,1310720,585.08,3022.8523,6370,40,0.023781192,2240,-2.1994294486939907,0.719484955072403,973.0950317382812,0.004033662029178231,0.41986793279647827,0.2443939208984375,6611.871671676636,0.2,0.001,,
205,1343488,597.36,2776.651,6529,41,0.018514715,2250,-2.1960721030831336,0.718979686498642,1703.0198974609375,0.002025333681376651,0.4195096790790558,0.2006256103515625,6325.78028831482,0.2,0.001,,
205,1376256,585.48,2877.8105,6688,42,0.018898496,2260,-2.1928123116493223,0.7097819447517395,1027.8843994140625,0.001516228211039561,0.41904401779174805,0.19869384765625,5763.491603660584,0.2,0.001,,
205,1409024,580.87,2970.4229,6847,43,0.017908484,2270,-2.1839329659938813,0.6880406439304352,989.1038818359375,0.0007285025447345105,0.4178137183189392,0.196246337890625,6507.956806945801,0.2,0.001,,
205,1441792,582.19,3202.9856,7006,44,0.019083925,2280,-2.1716214761137964,0.7069993019104004,694.9295654296875,0.0014048820798052476,0.4166382849216461,0.20189208984375,6600.525215148926,0.2,0.001,,
205,1474560,588.66,3084.0356,7165,45,0.019689789,2290,-2.1638240911066533,0.7043203413486481,672.0828857421875,0.0025974695017794147,0.41615206003189087,0.2124969482421875,6097.0179641723635,0.2,0.001,,
205,1507328,597.15,3109.8586,7324,46,0.017869135,2300,-2.161535507440567,0.7288365364074707,996.9883422851562,0.001990491104879766,0.4161517024040222,0.198773193359375,6003.245816040039,0.2,0.001,,
205,1540096,597.9,3027.2031,7484,47,0.020173285,2310,-2.155403261631727,0.6985563337802887,576.8867797851562,0.004706079020979814,0.4148523211479187,0.2195587158203125,6278.887387847901,0.2,0.001,,
205,1572864,588.82,2825.035,7643,48,0.020406164,2320,-2.1435016550123693,0.7266350984573364,669.1528930664062,0.0016360341804102063,0.41386228799819946,0.2151275634765625,5498.64744606018,0.2,0.001,,
,1600000,,,,,0.02212584,2330,-2.136151780188084,0.7479087114334106,569.0868530273438,0.003802934817940695,0.413656622171402,0.2260101318359375,6041.763410377503,0.2,0.001,3044.082275390625,446.26
199,1605632,591.46,3253.6235,8066,49,,,,,,,,,,,,,
