time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
1015808,31,293.56,145,6983,998.02924,-0.0007452765163975528,-2.4471498718019573,20351.939453125,27437.518444538116,1e-05,0.44777387380599976,2760,0.003175302,0.6561482846736908,0.0101776123046875,0.2,,
1048576,32,293.99,145,7218,1051.5056,-0.0007456245980847597,-2.446332281595096,9208.744140625,24475.536874723435,1e-05,0.44766759872436523,2770,0.0039025745,0.6965986490249634,0.0143524169921875,0.2,,
1081344,33,292.01,145,7448,952.9307,-0.0007007652521110686,-2.4455977079924196,14049.310546875,27170.52831478119,1e-05,0.4476158022880554,2780,0.003498793,0.6657565534114838,0.015447998046875,0.2,,
1114112,34,296.71,145,7682,1054.3241,-0.0007391907844066737,-2.4451948434580117,20656.453125,25230.018641281127,1e-05,0.4475744962692261,2790,0.003944513,0.6782896816730499,0.0205657958984375,0.2,,
1146880,35,300.02,144,7912,1404.4775,-0.00021219705190560488,-2.4447714381385595,8923.302734375,26752.841552352904,1e-05,0.4475246071815491,2800,0.0033340354,0.6565005779266357,0.0108154296875,0.2,,
1179648,36,298.84,144,8140,1083.0927,-0.00041811091525687514,-2.4444461862556635,4680.75634765625,26357.32383527756,1e-05,0.44749969244003296,2810,0.0033039749,0.7187147438526154,0.0088897705078125,0.2,,
1212416,37,298.56,144,8369,1131.0991,-0.0008696233556065635,-2.4443511571735144,15445.1845703125,21942.081155872344,1e-05,0.44748032093048096,2820,0.002890058,0.742902010679245,0.0101470947265625,0.2,,
1245184,38,293.16,144,8603,1047.6022,-0.00044684953747946564,-2.4441690855659544,3545.103759765625,25997.165870666504,1e-05,0.44747209548950195,2830,0.0030985104,0.7137671709060669,0.0105499267578125,0.2,,
1277952,39,291.13,144,8828,1031.1954,-0.0008762193506072436,-2.4441330634523184,12998.7578125,28157.800175094606,1e-05,0.4474838376045227,2840,0.0044327863,0.6859076917171478,0.0200958251953125,0.2,,
1310720,40,298.64,144,9051,1091.1002,-0.0004476636402614531,-2.4441013582982123,7894.9892578125,26617.938438510893,1e-05,0.44746124744415283,2850,0.0034297816,0.7130824327468872,0.01005859375,0.2,,
1343488,41,292.68,144,9275,1210.0233,-0.0004554421414013632,-2.4438458738382907,10820.5537109375,25307.893729114534,1e-05,0.44743019342422485,2860,0.0031823388,0.7072020471096039,0.011419677734375,0.2,,
1376256,42,296.66,144,9501,1150.0405,0.00017469911927037174,-2.443460368551314,20023.234375,28501.751516914366,1e-05,0.447368323802948,2870,0.0033617262,0.7016212642192841,0.01103515625,0.2,,
1409024,43,297.05,144,9726,1019.365,-0.00019186021006589726,-2.4428069822955876,8176.021484375,24509.958710765837,1e-05,0.44728001952171326,2880,0.0038964076,0.7189078629016876,0.0151947021484375,0.2,,
1441792,44,295.46,144,9952,1017.72205,-0.0008173629461225573,-2.442099213646725,14110.9619140625,24257.94138765335,1e-05,0.447205126285553,2890,0.003276384,0.6975268721580505,0.0108001708984375,0.2,,
1474560,45,297.57,144,10175,1301.3806,-0.0005125123103653095,-2.4416841082274914,7671.92578125,24761.129108572008,1e-05,0.4471915662288666,2900,0.0037425277,0.6752555072307587,0.0155792236328125,0.2,,
1507328,46,292.31,144,10397,1180.6233,0.00017231452025043837,-2.4414158205967396,6885.1552734375,25632.692875671386,1e-05,0.44714272022247314,2910,0.003803016,0.7253514230251312,0.017401123046875,0.2,,
1540096,47,295.52,145,10620,1181.846,0.00020037477122514247,-2.440971241379157,19374.66796875,29745.85103778839,1e-05,0.4471089243888855,2920,0.0035072397,0.6703166961669922,0.0118560791015625,0.2,,
1572864,48,296.23,145,10842,1028.7704,-1.4783812366658821e-05,-2.440530050219968,6950.55322265625,26487.398225879668,1e-05,0.44705042243003845,2930,0.0039122347,0.6992976069450378,0.018756103515625,0.2,,
1600000,,,,,,-0.0006843192851874846,-2.4401993579696866,5922.4638671875,25017.061621665955,1e-05,0.4470360279083252,2940,0.004187952,0.7017999887466431,0.01630859375,0.2,745.203369140625,265.9
1605632,49,298.32,143,11208,1184.062,,,,,,,,,,,,,
1638400,50,299.75,143,11431,1424.1177,-0.0004580905558213999,-2.439742106804624,12676.5625,24007.98657236099,1e-05,0.44694870710372925,2950,0.004035646,0.7181713581085205,0.015643310546875,0.2,,
1671168,51,296.81,143,11654,1279.0143,0.0003910650118086778,-2.4392066445201634,10076.8388671875,28095.238828086854,1e-05,0.4469284415245056,2960,0.0026840456,0.6959514617919922,0.007135009765625,0.2,,
1703936,52,297.08,143,11877,1296.4814,0.00023675246734455868,-2.4390326296910643,11435.4599609375,25767.509503364563,1e-05,0.44690456986427307,2970,0.003590039,0.7157675921916962,0.0144378662109375,0.2,,
