time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
5266,32,1048576,199,585.43,1993.4313,0.5860350728034973,1540,0.2,0.2062042236328125,0.001,0.018645514,-0.00020643308835133212,5908.997663784027,0.5855140089988708,-3.522249550744891,1794.9818115234375,,
5432,33,1081344,199,588.94,1800.9131,0.5825726985931396,1550,0.2,0.19825439453125,0.001,0.017507724,-0.00021481252770172432,5443.356621932983,0.550558865070343,-3.5073524940758944,885.2688598632812,,
5598,34,1114112,198,592.95,1706.859,0.5794205069541931,1560,0.2,0.198333740234375,0.001,0.01839114,-6.36592012597248e-06,3771.7871061325072,0.5713208019733429,-3.4822014503180982,711.0813598632812,,
5766,35,1146880,198,586.34,1846.7056,0.5762149691581726,1570,0.2,0.2205291748046875,0.001,0.020483103,0.0015835878151847283,5070.047878837586,0.5804866254329681,-3.4617918893694877,858.7491455078125,,
5933,36,1179648,198,576.34,1844.8132,0.5730096101760864,1580,0.2,0.21099853515625,0.001,0.019383833,0.002639395261212485,4426.947675132751,0.6079840362071991,-3.4419474728405475,701.4564208984375,,
6098,37,1212416,198,590.99,2158.68,0.5715467929840088,1590,0.2,0.201611328125,0.001,0.017825924,0.0013334464325453154,5143.344490242004,0.6169961988925934,-3.426330467686057,662.3143920898438,,
6262,38,1245184,198,596.04,1887.4493,0.5673419237136841,1600,0.2,0.197265625,0.001,0.017544094,0.0008202237762816367,4561.888215446472,0.6419751048088074,-3.405936096608639,1334.1104736328125,,
6426,39,1277952,198,596.04,1908.8239,0.5625135898590088,1610,0.2,0.1998870849609375,0.001,0.017719712,0.0011601858224821627,4313.582768154144,0.6280996203422546,-3.372901003435254,477.3169860839844,,
6591,40,1310720,198,590.93,2130.883,0.5563581585884094,1620,0.2,0.2270751953125,0.001,0.021967337,0.0009429178684513317,4948.917474842072,0.6707881093025208,-3.3324013970792294,797.031005859375,,
6757,41,1343488,198,590.63,2186.2935,0.5527777671813965,1630,0.2,0.2070892333984375,0.001,0.01941735,0.0017221227155459929,4144.597553634643,0.7112752497196198,-3.2987360436469317,917.1012573242188,,
6924,42,1376256,198,595.96,2127.9507,0.551207423210144,1640,0.2,0.2216033935546875,0.001,0.020494575,0.0009844214786426165,4829.076119232178,0.7015517950057983,-3.283440464362502,724.2809448242188,,
7090,43,1409024,198,580.82,1911.202,0.548430323600769,1650,0.2,0.2177978515625,0.001,0.020211685,0.0012856271107011708,4324.978886032104,0.6756969392299652,-3.2654349084943535,1466.4739990234375,,
7255,44,1441792,198,585.86,1925.162,0.5459045171737671,1660,0.2,0.221575927734375,0.001,0.020586103,0.0010087736227433197,4567.956458759308,0.6992693543434143,-3.247024990990758,754.1703491210938,,
7419,45,1474560,198,601.0,1792.7965,0.5413325428962708,1670,0.2,0.2318267822265625,0.001,0.0218297,0.0010969879620461142,3960.8393754005433,0.7007459700107574,-3.2208517376333474,2100.927001953125,,
