rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1063.15,884736,335,8149.0845,27,2638,12609.9140625,-1.9351416876539589,0.0001,0.43009454011917114,0.39333659410476685,0.0049725566,2730,0.03116455078125,36860.745794677736,0.2,0.0006125149498984684,,
1025.67,917504,335,7839.6846,28,2737,13942.9130859375,-1.9340869402512908,0.0001,0.4014677405357361,0.39323845505714417,0.00611542,2740,0.042413330078125,40753.43367919922,0.2,0.00086403598288598,,
1021.66,950272,335,7749.8267,29,2834,19087.21875,-1.933151218481362,0.0001,0.4375564455986023,0.3931514620780945,0.004667513,2750,0.033984375,43317.73515625,0.2,0.0005148663258296438,,
986.78,983040,335,7024.3438,30,2932,15074.123046875,-1.932510675303638,0.0001,0.4946914315223694,0.39311572909355164,0.0049144486,2760,0.0353668212890625,40641.38141479492,0.2,0.0008251368664787151,,
948.27,1015808,335,6923.1855,31,3030,17193.640625,-1.9325194330886006,0.0001,0.3206363916397095,0.3931484818458557,0.0050589778,2770,0.033270263671875,170640.4269104004,0.2,-0.0003428193092986476,,
953.98,1048576,335,6925.9985,32,3128,15463.25390625,-1.9324153078719974,0.0001,0.5564105808734894,0.39309626817703247,0.0061837286,2780,0.0432159423828125,44656.315313720705,0.2,-0.00011009702720912173,,
993.99,1081344,335,7914.067,33,3226,14633.9912109375,-1.9320470126345755,0.0001,0.44591373205184937,0.3930876553058624,0.005339058,2790,0.0336151123046875,40746.17666320801,0.2,-0.000798201972793322,,
1031.26,1114112,335,7976.1235,34,3325,17401.4453125,-1.9319779347628354,0.0001,0.5057767927646637,0.3930715024471283,0.0049992045,2800,0.0284454345703125,43285.2357421875,0.2,-0.0007017980082309805,,
1037.7,1146880,334,8306.129,35,3425,15681.0732421875,-1.931553189083934,0.0001,0.5006572902202606,0.3930075764656067,0.0060170935,2810,0.0408050537109375,39444.905926513675,0.2,-4.000642729806714e-06,,
1075.0,1179648,334,8595.123,36,3524,12555.005859375,-1.9309626476839186,0.0001,0.48097479343414307,0.39295655488967896,0.0051169656,2820,0.032135009765625,39009.72331848145,0.2,-0.00020739065548696088,,
1084.67,1212416,334,8565.059,37,3625,14530.6142578125,-1.930666720494628,0.0001,0.5658906400203705,0.39295804500579834,0.0048514428,2830,0.0330291748046875,38030.03430480957,0.2,0.0005611250617221231,,
1068.59,1245184,333,8563.184,38,3731,14690.5439453125,-1.9305584602057935,0.0001,0.49513643980026245,0.3929404616355896,0.005651446,2840,0.040966796875,41165.5311920166,0.2,-0.0005640182269416982,,
1053.67,1277952,333,8462.84,39,3835,11657.0791015625,-1.9300204733386637,0.0001,0.509947270154953,0.3928617835044861,0.00552555,2850,0.0338623046875,36861.88633728027,0.2,-0.00010770013832370751,,
1044.2,1310720,332,8909.595,40,3937,14328.8427734375,-1.9290953371673822,0.0001,0.5382069647312164,0.39275622367858887,0.005496549,2860,0.0398284912109375,38431.222979736325,0.2,-0.0010687114961910992,,
1058.56,1343488,332,9390.679,41,4037,12522.271484375,-1.9282654931768775,0.0001,0.569162130355835,0.3927113711833954,0.0052626226,2870,0.034344482421875,38729.2127532959,0.2,0.000449637708516093,,
1062.17,1376256,332,9473.619,42,4135,11814.828125,-1.9278953317552805,0.0001,0.5596868693828583,0.39269620180130005,0.0047642617,2880,0.0254364013671875,42411.18452148438,0.2,-0.0005078423902887153,,
1076.35,1409024,332,9294.505,43,4234,10533.294921875,-1.927902753278613,0.0001,0.5767014622688293,0.39272183179855347,0.0052071484,2890,0.0299835205078125,35530.63929748535,0.2,7.505481044063344e-05,,
1106.6,1441792,332,9443.561,44,4334,11770.4931640625,-1.9280116593465209,0.0001,0.5853833854198456,0.39270973205566406,0.0054767085,2900,0.036395263671875,36050.20874633789,0.2,0.0004589380614561378,,
1144.85,1474560,332,9659.768,45,4439,14172.396484375,-1.9278806371614337,0.0001,0.5284790992736816,0.39269697666168213,0.0054813274,2910,0.042596435546875,34697.20161132813,0.2,0.0006664993601589231,,
1180.73,1507328,331,10026.734,46,4544,10598.677734375,-1.9276743061840533,0.0001,0.5862569510936737,0.3926713466644287,0.006289502,2920,0.04110107421875,34268.395318603514,0.2,-1.8073876344715244e-05,,
1159.25,1540096,331,9797.893,47,4647,10452.9755859375,-1.927094325236976,0.0001,0.6837963163852692,0.39257270097732544,0.004839444,2930,0.02952880859375,30454.358959960937,0.2,-0.0002842385849362472,,
1161.68,1572864,331,9999.94,48,4748,13019.9560546875,-1.9263889528810978,0.0001,0.5322384536266327,0.3925432562828064,0.0050005494,2940,0.0324615478515625,36734.18940429688,0.2,-3.4387343475827946e-06,,
,1600000,,,,,10207.4130859375,-1.925904112122953,0.0001,0.6270939111709595,0.3924705684185028,0.005369189,2950,0.0429046630859375,32797.719995117186,0.2,-0.00016757985613367055,1197.33,1547.1871337890625
