time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
557056,2051,17,471.79,2054.493,271,-0.0006740152544807643,0.7108961045742035,21019.322265625,0.0001,53357.41799316406,0.012591552734375,2630,0.3943136930465698,-1.9446973629295825,0.0038813208,0.2,,
589824,2172,18,452.94,1940.6311,271,-0.0007328856514504878,0.7299920916557312,18318.08203125,0.0001,49070.87216796875,0.0216033935546875,2640,0.3943079710006714,-1.944557535648346,0.004481823,0.2,,
622592,2292,19,430.84,1803.5435,271,-0.00027211295055167283,0.668339341878891,24010.361328125,0.0001,54051.730297851565,0.0091888427734375,2650,0.39429083466529846,-1.9444600164890289,0.0036793384,0.2,,
655360,2410,20,423.06,1833.9858,271,-0.0006887754498166032,0.6741701662540436,20313.34375,0.0001,54548.2810546875,0.022705078125,2660,0.3942689299583435,-1.944275724887848,0.004724747,0.2,,
688128,2531,21,449.47,2277.5088,271,-0.0007859928638936254,0.6189105808734894,28407.603515625,0.0001,64875.63474121094,0.015899658203125,2670,0.39423668384552,-1.9439763560891152,0.0037650962,0.2,,
720896,2652,22,458.06,2430.68,271,-0.0005352178930479567,0.6841801404953003,23573.951171875,0.0001,54405.46242675781,0.009271240234375,2680,0.39422979950904846,-1.9437718503177166,0.0034412637,0.2,,
753664,2771,23,435.11,2247.1016,271,-2.9755887589999473e-05,0.681299090385437,28465.939453125,0.0001,55463.46618652344,0.0206878662109375,2690,0.3942165970802307,-1.9436712808907033,0.003774398,0.2,,
786432,2890,24,461.99,2517.4485,272,-0.0009019924400490709,0.6853137314319611,23542.759765625,0.0001,54218.40524902344,0.007391357421875,2700,0.394217312335968,-1.9436137445271016,0.0031213039,0.2,,
819200,3006,25,450.43,2393.334,272,-0.0009443904777072021,0.6955114305019379,22308.205078125,0.0001,52087.662426757815,0.0083251953125,2710,0.39422672986984253,-1.9436731241643428,0.003200387,0.2,,
851968,3125,26,452.12,2327.2454,272,-0.0012625415529328166,0.703874409198761,21879.826171875,0.0001,53437.07412109375,0.01761474609375,2720,0.3941994905471802,-1.9436080224812031,0.0045739715,0.2,,
884736,3244,27,452.69,2584.8525,272,-0.0008554047381039709,0.6881133019924164,22780.07421875,0.0001,54931.05336914062,0.0158294677734375,2730,0.3941878378391266,-1.9433757595717907,0.003798145,0.2,,
917504,3363,28,460.62,2573.6907,272,-0.0002442487595544662,0.6256071329116821,24597.580078125,0.0001,62899.90981445312,0.0120208740234375,2740,0.39417368173599243,-1.943249188363552,0.0036516427,0.2,,
950272,3479,29,430.08,2734.755,273,-3.4164186217822134e-06,0.6008475422859192,27850.171875,0.0001,62752.51352539063,0.0201080322265625,2750,0.3941535949707031,-1.943076055496931,0.004256385,0.2,,
983040,3594,30,411.69,2177.123,273,-0.0005924399229115807,0.5948824882507324,28768.521484375,0.0001,67459.16044921875,0.006927490234375,2760,0.39414966106414795,-1.9429380029439927,0.0034087994,0.2,,
1015808,3710,31,430.85,2501.729,273,-0.0001475278040743433,0.5749538540840149,30607.359375,0.0001,71896.87612304688,0.018414306640625,2770,0.3941218852996826,-1.9428020991384982,0.0036092089,0.2,,
1048576,3826,32,441.32,2754.2837,274,-0.00026367008103989065,0.5764259397983551,30025.96875,0.0001,67403.97761230469,0.0106781005859375,2780,0.3941190838813782,-1.9426240429282189,0.0028585512,0.2,,
1081344,3941,33,442.87,2761.6897,274,-0.00023054354205669368,0.5624774992465973,30276.58984375,0.0001,67552.93295898437,0.0285369873046875,2790,0.394106388092041,-1.942558653652668,0.0040700454,0.2,,
1114112,4060,34,431.21,2625.6416,274,-0.0001763319487508852,0.5429172217845917,25333.994140625,0.0001,67937.25129394532,0.0115631103515625,2800,0.39411425590515137,-1.9425144426524639,0.0029096054,0.2,,
1146880,4178,35,430.36,2844.6519,274,0.00038883330053067765,0.5911745429039001,28697.02734375,0.0001,67980.47145996094,0.009014892578125,2810,0.3941054344177246,-1.9425154149532318,0.0028488603,0.2,,
1179648,4296,36,425.05,2416.7095,274,-7.945960678625851e-05,0.5634717345237732,29244.748046875,0.0001,69748.68515625,0.009228515625,2820,0.3941035568714142,-1.9424504853785038,0.0030370874,0.2,,
1212416,4415,37,408.46,2213.782,274,0.0004209578983136453,0.6151092946529388,29471.796875,0.0001,63146.16706542969,0.015576171875,2830,0.3940974175930023,-1.9424123533070088,0.0035075257,0.2,,
1245184,4533,38,396.63,2237.07,274,-0.0002692982609005412,0.5884087979793549,28717.677734375,0.0001,68853.06704101563,0.008978271484375,2840,0.39407798647880554,-1.9422895930707456,0.00329259,0.2,,
1277952,4649,39,410.4,2214.715,274,-0.0002048237838607747,0.6045977473258972,25753.017578125,0.0001,62392.34287109375,0.00274658203125,2850,0.394073486328125,-1.9421505160629748,0.002106707,0.2,,
1310720,4765,40,426.43,2301.4343,275,-0.000914078069399693,0.6302428543567657,27924.341796875,0.0001,63027.10888671875,0.0108795166015625,2860,0.3940577507019043,-1.9420566275715827,0.003616358,0.2,,
1343488,4882,41,435.7,2551.4448,275,-0.0003035285233636387,0.6010540723800659,26054.03515625,0.0001,62219.910400390625,0.003753662109375,2870,0.3940560221672058,-1.9419428303837776,0.0021639578,0.2,,
1376256,4999,42,446.04,2567.2295,275,-3.9754091994836925e-05,0.5884288847446442,29901.47265625,0.0001,67948.42456054688,0.005426025390625,2880,0.3940519094467163,-1.9419118016958237,0.0021627261,0.2,,
1409024,5115,43,401.04,2339.705,275,-0.0008603035741543863,0.6478730142116547,25699.0078125,0.0001,59144.751953125,0.01015625,2890,0.39404135942459106,-1.9418413475155831,0.0036367315,0.2,,
1441792,5230,44,418.62,2442.3354,275,-0.0005653423719195416,0.6495601534843445,24419.146484375,0.0001,59021.274682617186,0.0079498291015625,2900,0.3940412104129791,-1.9417812019586562,0.0031973235,0.2,,
1474560,5348,45,420.98,1929.172,275,-0.0003842720267130062,0.676411360502243,25955.90234375,0.0001,55922.5921875,0.013067626953125,2910,0.39402300119400024,-1.941697821766138,0.0037362066,0.2,,
1507328,5467,46,446.08,2196.5012,275,0.000191236735554412,0.6283502280712128,26264.4609375,0.0001,58605.3751953125,0.018426513671875,2920,0.39400675892829895,-1.9415155187249185,0.003326684,0.2,,
1540096,5585,47,417.03,1941.0613,275,-0.00031212829726428025,0.6821983754634857,18873.046875,0.0001,51424.59626464844,0.0046905517578125,2930,0.3939913511276245,-1.941365336626768,0.0020934138,0.2,,
1572864,5703,48,427.17,2197.7632,275,-0.0003544313171005342,0.6930263936519623,20858.287109375,0.0001,54975.49921875,0.0085235595703125,2940,0.39400261640548706,-1.9413305290043354,0.002966382,0.2,,
1600000,,,,,,5.120292626088485e-05,0.712297260761261,20840.1171875,0.0001,50856.46694335937,0.0077484130859375,2950,0.3939959704875946,-1.9413645006716251,0.0028313445,0.2,366.03,-1272.19287109375
1605632,5976,49,404.33,1642.749,268,,,,,,,,,,,,,
1638400,6095,50,403.8,1745.2769,268,0.00042429154673300217,0.6644194424152374,21519.939453125,0.0001,54420.99658203125,0.0097412109375,2960,0.3939749002456665,-1.941226925700903,0.0025990542,0.2,,
1671168,6218,51,442.94,2647.7393,268,-0.00021226379758445545,0.6255485713481903,20849.998046875,0.0001,55657.08305664062,0.0059844970703125,2970,0.3939669132232666,-1.941055017709732,0.0022341898,0.2,,
1703936,6339,52,432.27,2596.109,268,-0.00040405386389466005,0.7071020305156708,21046.4375,0.0001,45805.958813476565,0.0064239501953125,2980,0.3939700424671173,-1.9410255059599877,0.0029854807,0.2,,
1736704,6456,53,413.92,2101.2664,268,-0.0004642509564291686,0.703622967004776,21612.40625,0.0001,52803.11633300781,0.0056365966796875,2990,0.39394819736480713,-1.9409473814070224,0.0023257209,0.2,,
1769472,6575,54,453.49,2429.9885,269,7.144935807446018e-06,0.6765808463096619,24840.681640625,0.0001,53417.917309570315,0.0087921142578125,3000,0.3939516544342041,-1.9408254586160183,0.0023187473,0.2,,
1802240,6694,55,429.69,2541.7942,269,-0.00042762324628711215,0.7096818089485168,21981.421875,0.0001,51938.94621582031,0.012628173828125,3010,0.3939698338508606,-1.9409392572939397,0.0034995852,0.2,,
1835008,6814,56,419.64,2049.8486,269,-0.0006490674782980932,0.644189715385437,28060.888671875,0.0001,57705.994873046875,0.007470703125,3020,0.3939640522003174,-1.9410180315375327,0.0032798874,0.2,,
1867776,6930,57,389.44,1921.4213,269,1.0320103319827467e-05,0.6975732147693634,21315.95703125,0.0001,56801.56984863281,0.00687255859375,3030,0.39395469427108765,-1.9409389786422253,0.0028415965,0.2,,
1900544,7048,58,432.83,2287.5945,269,-0.0007247851477586664,0.6702986061573029,23321.591796875,0.0001,57672.02646484375,0.0112548828125,3040,0.39396098256111145,-1.9409066058695317,0.003903116,0.2,,
1933312,7167,59,428.94,2325.645,269,-6.227451412996743e-05,0.6451700329780579,22826.5625,0.0001,55631.002270507815,0.00758056640625,3050,0.39396464824676514,-1.9409752562642097,0.003036407,0.2,,
1966080,7290,60,429.39,2306.3337,269,9.316117284470238e-05,0.6902564167976379,20082.16796875,0.0001,54799.972265625,0.0088287353515625,3060,0.39396601915359497,-1.941004666686058,0.0026034042,0.2,,
1998848,7409,61,391.32,1948.2941,269,-0.0002592617631307803,0.6892759501934052,25743.826171875,0.0001,53360.400219726565,0.00889892578125,3070,0.39395731687545776,-1.940961664915085,0.0025975276,0.2,,
2031616,7527,62,436.48,2414.6526,269,0.0003071061546506826,0.6545270681381226,19858.587890625,0.0001,56627.0,0.00272216796875,3080,0.39394623041152954,-1.940852405130863,0.0021534776,0.2,,
