rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss
2472.0,786.93,917504,28,179,5107,2740,-1.868119432288222,0.7717965245246887,436.8609924316406,16529.430241954327,0.0653778076171875,0.0001,0.38686347007751465,0.0067548864,0.2,-0.00023423062016263428
1538.0,724.19,950272,29,179,5300,2750,-1.866062750457786,0.7157732844352722,2122.870849609375,11271.796858787537,0.0560272216796875,0.0001,0.3867317736148834,0.0060279053,0.2,-0.0004551809993927236
1665.0,784.51,983040,30,179,5486,2760,-1.8638284609187394,0.7745954990386963,1055.08935546875,13381.247328567504,0.054827880859375,0.0001,0.38642001152038574,0.00545662,0.2,0.00026960578625221385
1939.0,857.05,1015808,31,179,5668,2770,-1.8617793688550592,0.40304017066955566,1993.958984375,79177.9302650094,0.07413330078125,0.0001,0.38628825545310974,0.0076796534,0.2,-0.0004390412440216096
1191.0,800.96,1048576,32,179,5844,2780,-1.860209901514463,0.6701682507991791,8833.08984375,14873.223716962337,0.0559326171875,0.0001,0.3862106204032898,0.006031977,0.2,-0.0009010297083250407
1348.0,795.27,1081344,33,179,6023,2790,-1.856881131604314,0.7614505141973495,3911.23583984375,7012.854496711492,0.052545166015625,0.0001,0.38562941551208496,0.006049145,0.2,-0.0015033865927080114
1181.0,737.84,1114112,34,179,6211,2800,-1.8519948292756454,0.7505901753902435,2055.813720703125,8494.9858014822,0.059039306640625,0.0001,0.38525310158729553,0.006638041,0.2,-0.001765907720323412
1902.0,778.1,1146880,35,179,6400,2810,-1.8495764828287065,0.6690514087677002,2882.618408203125,21165.07756688595,0.0615203857421875,0.0001,0.3851712942123413,0.006657515,0.2,-0.0005675555951938805
1841.0,779.06,1179648,36,178,6599,2820,-1.847437174525112,0.7020043134689331,8666.9765625,10478.458267641068,0.058648681640625,0.0001,0.3848561644554138,0.0069775837,0.2,-0.0004442915560730398
1741.0,795.73,1212416,37,178,6793,2830,-1.8437763116089627,0.7863611727952957,1092.3304443359375,12880.68836286068,0.0578582763671875,0.0001,0.3843686580657959,0.006290032,0.2,-0.0017729567847254656
1503.0,794.35,1245184,38,178,6984,2840,-1.840477348351851,0.7538699209690094,10881.142578125,12829.85569858551,0.0565460205078125,0.0001,0.3842802941799164,0.005746155,0.2,-0.0006394471115754641
1450.0,830.97,1277952,39,177,7197,2850,-1.8391783060040325,0.8326373398303986,1591.9886474609375,11554.322702050209,0.0493255615234375,0.0001,0.3841855525970459,0.0053810766,0.2,-0.0011559305784203389
1397.0,867.35,1310720,40,177,7400,2860,-1.8373907804256304,0.39454472064971924,5254.20703125,217819.84672880173,0.0566192626953125,0.0001,0.38394322991371155,0.0064515444,0.2,-0.0003502601462059829
1592.0,935.3,1343488,41,177,7580,2870,-1.8356782285496593,0.6416118144989014,3185.65576171875,20376.552444124223,0.0517974853515625,0.0001,0.38382625579833984,0.0057613575,0.2,-0.0008057192207274966
1413.0,840.55,1376256,42,177,7775,2880,-1.833346235821955,0.7847302407026291,778.3733520507812,10160.688600575924,0.0537353515625,0.0001,0.38346341252326965,0.0068939924,0.2,-0.0010795077945203956
1190.0,783.78,1409024,43,176,7971,2890,-1.8304976793006063,0.7119725048542023,8289.9150390625,17703.323647880556,0.069403076171875,0.0001,0.38331517577171326,0.0070548113,0.2,-0.0005152346018803655
1627.0,820.04,1441792,44,175,8199,2900,-1.8303548995405436,0.6456202864646912,6278.2939453125,12888.908939230441,0.049395751953125,0.0001,0.3835126757621765,0.006660942,0.2,0.0008217016337766836
2128.0,812.0,1474560,45,175,8392,2910,-1.8305473222397268,0.598054438829422,1642.9779052734375,38309.012830841544,0.05167236328125,0.0001,0.383230984210968,0.006294042,0.2,-0.0005701815359316243
