rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1184.97,819200,346,7135.2026,25,2366,18007.142578125,-1.9419731877744197,0.0001,0.6817495822906494,0.3940567374229431,0.0039828857,2710,0.0160247802734375,44001.23497314453,0.2,-0.00037365695243352093,,
1180.13,851968,345,7592.39,26,2467,265921.375,-1.9418819926679134,0.0001,0.39916980266571045,0.3940522372722626,0.0047468394,2720,0.0220611572265625,241953.80146484374,0.2,0.0003508781941491179,,
1146.2,884736,345,7541.824,27,2563,16963.736328125,-1.94169120490551,0.0001,0.6664249300956726,0.3940088748931885,0.0049302275,2730,0.0246429443359375,48322.33217773437,0.2,-0.0011779115942772479,,
1165.89,917504,344,7843.986,28,2663,16015.9296875,-1.9413261212408544,0.0001,0.6529385447502136,0.39398860931396484,0.0047617084,2740,0.0206451416015625,45055.932678222656,0.2,-0.0005921853633481077,,
1130.4,950272,344,8212.927,29,2757,19986.39453125,-1.9410589993000031,0.0001,0.7936760634183884,0.39395377039909363,0.0035428444,2750,0.014208984375,46347.51962890625,0.2,6.953027841518633e-05,,
1086.81,983040,344,8029.6714,30,2852,21199.998046875,-1.9406799860298634,0.0001,0.5129458010196686,0.39391806721687317,0.0044038948,2760,0.02054443359375,52318.11909179688,0.2,-0.0003146197741443757,,
1015.38,1015808,344,7480.6265,31,2946,20339.365234375,-1.9401781588792801,0.0001,0.5300042927265167,0.3938567042350769,0.003755893,2770,0.01519775390625,51373.76982421875,0.2,-0.0008983800464193337,,
993.63,1048576,344,7684.5254,32,3042,18052.146484375,-1.939586202800274,0.0001,0.4162958860397339,0.3938048779964447,0.0044808644,2780,0.0223785400390625,53114.044653320314,0.2,-0.00021623088978230953,,
1048.68,1081344,344,8607.725,33,3140,20653.61328125,-1.9391427740454674,0.0001,0.5399359166622162,0.3937724828720093,0.0036677034,2790,0.0150634765625,51320.33837890625,0.2,-0.00045379767543636264,,
1064.54,1114112,344,8983.439,34,3237,18754.73828125,-1.938816460967064,0.0001,0.6652261912822723,0.39373779296875,0.003647265,2800,0.0133331298828125,46660.02320556641,0.2,0.00028039441822329535,,
1134.01,1146880,343,9495.611,35,3335,19074.29296875,-1.9385073743760586,0.0001,0.7193747162818909,0.3937113285064697,0.0034770095,2810,0.013800048828125,48026.2880859375,0.2,-0.00014008602665853686,,
1176.01,1179648,343,10047.055,36,3430,18962.9765625,-1.9383576028048992,0.0001,0.5798118412494659,0.3937140703201294,0.0038997913,2820,0.01646728515625,51135.19028320313,0.2,7.59081231080927e-05,,
1213.98,1212416,343,10470.295,37,3526,15532.7880859375,-1.9383016377687454,0.0001,0.6099918484687805,0.3936964273452759,0.0036265072,2830,0.0138946533203125,44551.498852539065,0.2,-0.00019676246956805697,,
1177.99,1245184,343,10293.373,38,3621,18716.626953125,-1.9379749566316604,0.0001,0.6609393954277039,0.39364728331565857,0.0033168658,2840,0.0124420166015625,42791.295581054685,0.2,-0.0002869428084522951,,
1167.32,1277952,343,10199.918,39,3715,20651.6953125,-1.9374773539602757,0.0001,0.6290325820446014,0.3936080038547516,0.003946754,2850,0.0165069580078125,54333.16337890625,0.2,-3.4348504414083436e-05,,
1124.18,1310720,343,10029.337,40,3812,20561.05859375,-1.9369304955005646,0.0001,0.566532701253891,0.39354395866394043,0.004686616,2860,0.0241058349609375,50804.78845214844,0.2,-4.1681267612148075e-05,,
1164.09,1343488,343,10668.082,41,3908,20940.80078125,-1.9364378973841667,0.0001,0.5967444777488708,0.393519788980484,0.0050695664,2870,0.025787353515625,53175.91899414062,0.2,0.00017216500855283813,,
1154.85,1376256,343,10919.642,42,4007,18614.265625,-1.9362479269504547,0.0001,0.629097193479538,0.39351004362106323,0.004656568,2880,0.0233367919921875,46691.77004394531,0.2,0.0006260066897084471,,
1093.44,1409024,343,10296.923,43,4107,19521.5703125,-1.9362299934029579,0.0001,0.6412338018417358,0.3935120105743408,0.004513389,2890,0.0184051513671875,46585.89461669922,0.2,-0.0008734450158954133,,
1078.67,1441792,342,10022.932,44,4210,23734.390625,-1.936216152459383,0.0001,0.4697583317756653,0.39351004362106323,0.0055474425,2900,0.030609130859375,63157.469946289064,0.2,0.0003742036482435651,,
1073.93,1474560,341,10051.203,45,4315,19249.22265625,-1.9360941790044308,0.0001,0.5372126996517181,0.39348548650741577,0.0047204914,2910,0.027593994140625,49050.62683105469,0.2,8.848328943713568e-05,,
1104.61,1507328,341,10289.847,46,4419,19479.470703125,-1.9358948931097983,0.0001,0.6350562870502472,0.39347440004348755,0.0041263383,2920,0.0198822021484375,49411.7181274414,0.2,0.00020745271758642047,,
1167.45,1540096,339,11139.184,47,4529,21092.599609375,-1.935873457044363,0.0001,0.6121322512626648,0.39348509907722473,0.0046334425,2930,0.021917724609375,52723.070068359375,0.2,0.00021067366615170612,,
1190.17,1572864,338,11312.207,48,4641,16951.416015625,-1.9359246157109737,0.0001,0.6348035335540771,0.3934814929962158,0.0038339293,2940,0.018658447265625,46405.48637695312,0.2,0.000291844479215797,,
,1600000,,,,,18590.88671875,-1.9357872240245342,0.0001,0.6344661116600037,0.3934571146965027,0.0040935576,2950,0.0183258056640625,50502.05217285156,0.2,-0.00040437177740386686,1403.72,7833.0537109375
1192.44,1605632,304,11034.46,49,5267,,,,,,,,,,,,,
1209.59,1638400,304,10966.912,50,5374,25233.443359375,-1.9354681067168713,0.0001,0.5063860714435577,0.39342018961906433,0.0038467469,2960,0.0195037841796875,57656.328930664065,0.2,-0.0001446034941182006,,
1158.52,1671168,305,10221.261,51,5478,49745.0546875,-1.9352998197078706,0.0001,0.5072644650936127,0.39343374967575073,0.004168493,2970,0.0173797607421875,135392.49069824218,0.2,0.0001612641994142905,,
1114.92,1703936,305,9705.73,52,5582,19584.708984375,-1.935333588719368,0.0001,0.5692286193370819,0.3934139013290405,0.0031606792,2980,0.013970947265625,55931.899194335936,0.2,-0.00035711945383809507,,
1090.56,1736704,305,10026.301,53,5687,22371.931640625,-1.935099720954895,0.0001,0.5884256064891815,0.39339274168014526,0.0040001385,2990,0.0152740478515625,55505.74958496094,0.2,-0.00015313619223888963,,
1092.45,1769472,305,10033.168,54,5793,20011.1328125,-1.934835447371006,0.0001,0.5298360288143158,0.39335429668426514,0.003133967,3000,0.0113555908203125,51419.91022949219,0.2,-0.00021499800495803357,,
1146.24,1802240,305,9823.72,55,5901,17358.14453125,-1.9344931736588478,0.0001,0.6115227341651917,0.3933236002922058,0.003527139,3010,0.017236328125,47529.55561523438,0.2,-0.00015741790703032165,,
1202.14,1835008,305,9498.846,56,6009,79885.421875,-1.9343422822654248,0.0001,0.43017029762268066,0.39333486557006836,0.0046640625,3020,0.0247833251953125,211517.92819824218,0.2,0.0012041323687299154,,
1268.48,1867776,305,9710.87,57,6119,58498.46484375,-1.934449525922537,0.0001,0.44782233238220215,0.393340528011322,0.004510052,3030,0.02265625,155553.65197753906,0.2,0.0010678811289835722,,
1325.62,1900544,305,10044.89,58,6227,84126.96875,-1.9342244409024716,0.0001,0.5864595770835876,0.3932892382144928,0.0044803256,3040,0.021905517578125,190273.42880859374,0.2,-0.0008089363225735724,,
1325.19,1933312,305,9946.62,59,6332,18279.4453125,-1.9338372223079205,0.0001,0.7557778358459473,0.3932688236236572,0.0034582396,3050,0.01668701171875,47760.27962646484,0.2,0.0008093623851891607,,
1362.17,1966080,305,10705.825,60,6438,127302.234375,-1.9336981534957887,0.0001,0.5827943384647369,0.3932637572288513,0.0030564934,3060,0.014093017578125,171739.51806640625,0.2,0.00027502016455400736,,
1366.81,1998848,305,11739.517,61,6547,17507.06640625,-1.9334705583751202,0.0001,0.5832808911800385,0.3932138979434967,0.0041678967,3070,0.0201263427734375,45280.38663330078,0.2,0.000561801900039427,,
1337.04,2031616,305,11511.483,62,6655,16893.25,-1.9329819604754448,0.0001,0.771520808339119,0.39317071437835693,0.0055871736,3080,0.032171630859375,47138.83383789063,0.2,0.00014634944309364074,,
