rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/std,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
313.0,172032,59,21,66.821175,2909,0.34068018198013306,4325.625552749634,2670,0.2,0.0001,0.39404112100601196,0.0056005353,0.001127191964769736,0.04310302734375,1161.0858154296875,-1.9384236510843038,,
313.0,180224,59,22,81.2294,3040,0.11363857984542847,2765.4208982467653,2680,0.2,0.0001,0.3939974308013916,0.0098219905,0.0002754554159764666,0.07528076171875,426.3249816894531,-1.9381671819835902,,
314.0,188416,59,23,51.95811,3170,-0.039136409759521484,619.6393311500549,2690,0.2,0.0001,0.39339902997016907,0.0077004065,-0.0008366929265321233,0.06436767578125,234.69483947753906,-1.9352021675556899,,
309.0,196608,59,24,-5.776184,3304,0.1894569993019104,2373.969633102417,2700,0.2,0.0001,0.3931717872619629,0.00674985,-0.00041688814671942965,0.05714111328125,408.9472961425781,-1.931245857477188,,
310.0,204800,59,25,38.764904,3435,0.38766664266586304,2842.5328554153443,2710,0.2,0.0001,0.39311790466308594,0.007252474,-0.0013465918716974556,0.072509765625,401.7364196777344,-1.9298824612051249,,
313.0,212992,59,26,118.41528,3565,0.08370834589004517,1966.0072158813477,2720,0.2,0.0001,0.39331158995628357,0.0060274284,0.00010669739203876816,0.0457763671875,476.6064758300781,-1.9302216593176127,,
314.0,221184,59,27,161.00725,3701,0.25802862644195557,2605.425809288025,2730,0.2,0.0001,0.3929951786994934,0.016284801,0.0008641715976409614,0.0973876953125,401.9349365234375,-1.929698397964239,,
314.0,229376,59,28,187.30376,3838,0.3664860129356384,2617.009885406494,2740,0.2,0.0001,0.3927925229072571,0.01438172,0.0012115672550862655,0.1140380859375,661.7091674804688,-1.9271134987473488,,
312.0,237568,59,29,151.11942,3974,0.3121502995491028,2319.7693954467773,2750,0.2,0.0001,0.39253002405166626,0.008273524,0.0015451242361450568,0.06767578125,461.1957092285156,-1.9249249435961246,,
311.0,245760,59,30,123.030914,4107,0.04846411943435669,572.2846032142639,2760,0.2,0.0001,0.3919566869735718,0.007941642,-0.00019893400531145744,0.08927001953125,178.38441467285156,-1.9197273679077624,,
308.0,253952,59,31,33.50741,4240,0.32724279165267944,1229.6551747322083,2770,0.2,0.0001,0.3918563723564148,0.008785792,0.0010763548554677982,0.10244140625,385.4538879394531,-1.9166286114603281,,
309.0,262144,59,32,94.45714,4374,-0.2613246440887451,1048.5565559387207,2780,0.2,0.0001,0.39185336232185364,0.0044243643,-6.555350410053506e-05,0.040234375,573.980224609375,-1.9167574770748614,,
310.0,270336,59,33,141.03682,4507,0.35593467950820923,3472.5048023223876,2790,0.2,0.0001,0.3916413486003876,0.007876353,0.0016382670335588045,0.0907958984375,658.1015014648438,-1.9156187567859888,,
307.0,278528,60,34,105.84599,4639,0.0325283408164978,757.7465826988221,2800,0.2,0.0001,0.3900913596153259,0.009079154,-0.0007505083587602713,0.06865234375,183.98464965820312,-1.906476429477334,,
308.0,286720,60,35,41.826385,4773,0.17109787464141846,827.3199837684631,2810,0.2,0.0001,0.3897535800933838,0.007701044,-0.00016181622340809553,0.07984619140625,284.9752197265625,-1.8963616650551558,,
309.0,294912,60,36,29.973509,4907,0.05248671770095825,1675.4747787475585,2820,0.2,0.0001,0.38934800028800964,0.009772759,0.0017501669863122515,0.11202392578125,496.8243408203125,-1.8935209937393664,,
310.0,303104,60,37,61.411137,5041,0.17411381006240845,2408.6019891738893,2830,0.2,0.0001,0.3896138370037079,0.031020056,0.007909985756850802,0.20177001953125,425.72149658203125,-1.8921881273388863,,
313.0,311296,60,38,176.80656,5176,0.4010171890258789,1918.7883388519288,2840,0.2,0.0001,0.3897448480129242,0.005969514,-0.002250882153748535,0.04302978515625,477.3585510253906,-1.8947834033519029,,
314.0,319488,60,39,297.841,5314,0.20645415782928467,2501.9673767089844,2850,0.2,0.0001,0.3895534873008728,0.011074198,0.003118221421027556,0.0735595703125,481.547607421875,-1.8943004198372364,,
315.0,327680,60,40,269.594,5451,0.5433889627456665,3791.703045082092,2860,0.2,0.0001,0.389378160238266,0.013105091,0.0027726272222935223,0.142236328125,833.4555053710938,-1.8921316400170327,,
313.0,335872,60,41,234.40578,5590,0.3145062327384949,1921.6274311065674,2870,0.2,0.0001,0.3892022967338562,0.006093332,-0.0022364336320606524,0.0507568359375,758.4138793945312,-1.8901846181601285,,
309.0,344064,60,42,172.06082,5730,0.191372811794281,1594.5583852767945,2880,0.2,0.0001,0.3888031840324402,0.006571712,-0.001083357707830146,0.0589111328125,388.2974853515625,-1.8872626557946206,,
308.0,352256,59,43,108.96526,5870,0.5572760999202728,1147.5912401199341,2890,0.2,0.0001,0.3886908292770386,0.009442352,0.0011827482005173807,0.1071044921875,217.5882568359375,-1.8848080430179834,,
310.0,360448,59,44,232.79102,6009,0.3559686541557312,2251.715145492554,2900,0.2,0.0001,0.38873201608657837,0.0067800106,6.801689451094717e-05,0.04990234375,938.8606567382812,-1.8843865524977446,,
312.0,368640,59,45,232.47037,6152,0.3892216086387634,3767.5534950256347,2910,0.2,0.0001,0.3886297941207886,0.010357831,-0.0012270521692698821,0.080908203125,698.8482666015625,-1.8841122440993785,,
316.0,376832,59,46,374.71597,6298,-0.0788736343383789,3478.4416292190554,2920,0.2,0.0001,0.38864052295684814,0.007835874,0.0006461117998696863,0.068408203125,742.3292236328125,-1.8834628082811833,,
317.0,385024,59,47,455.0538,6441,0.36203378438949585,5265.67027053833,2930,0.2,0.0001,0.38865670561790466,0.006747794,0.0004009598538686987,0.048583984375,790.3463745117188,-1.8835030812770128,,
318.0,393216,59,48,534.6665,6583,0.15850389003753662,3265.8527057647707,2940,0.2,0.0001,0.38856804370880127,0.005252718,-0.001098325963539537,0.05400390625,1077.6722412109375,-1.8833133544772864,,
,400000,,,,,0.44786375761032104,4537.308717727661,2950,0.2,0.0001,0.3883892893791199,0.010464193,0.0028466958829085343,0.097607421875,1139.376220703125,-1.8821004822850227,-22.161087036132812,323.0
318.0,401408,54,49,602.672,7380,,,,,,,,,,,,,
325.0,409600,54,50,1493.0322,7530,0.35439491271972656,5477.779127502441,2960,0.2,0.0001,0.38840019702911377,0.004653353,-0.0006034266589267645,0.02783203125,1158.9237060546875,-1.881067579984665,,
327.0,417792,54,51,1570.2167,7673,0.20773917436599731,38816.26669921875,2970,0.2,0.0001,0.3883470892906189,0.009115094,0.008802428815397435,0.12952880859375,9409.2744140625,-1.8809836991131306,,
329.0,425984,54,52,1443.8113,7875,0.1510235071182251,7084.190321350097,2980,0.2,0.0001,0.3883607089519501,0.0053564934,-0.0013402028038399295,0.0314453125,1757.9595947265625,-1.8807445626705885,,
334.0,434176,53,53,1572.5281,8097,0.15421903133392334,5755.8387111663815,2990,0.2,0.0001,0.38845953345298767,0.0064055948,0.00040981135534821076,0.04642333984375,1394.2215576171875,-1.8812758922576904,,
324.0,442368,53,54,537.7213,8316,0.5085992515087128,5764.707089233399,3000,0.2,0.0001,0.3884410262107849,0.005660574,-0.0020036280795466153,0.04549560546875,1420.0615234375,-1.8817145176231862,,
324.0,450560,53,55,426.36313,8457,0.22583061456680298,3538.758533477783,3010,0.2,0.0001,0.38829147815704346,0.004391009,-0.0027207929335418156,0.0346435546875,660.8270874023438,-1.8809324346482754,,
322.0,458752,53,56,515.18536,8590,0.29115456342697144,2992.2535486221313,3020,0.2,0.0001,0.3880471885204315,0.0055009937,-0.00020000451622763648,0.0377685546875,387.44232177734375,-1.879035633429885,,
318.0,466944,53,57,511.67078,8730,0.42061251401901245,5678.4848007202145,3030,0.2,0.0001,0.3879622220993042,0.0053607244,0.0002362655461183749,0.03570556640625,1932.379150390625,-1.8772574737668037,,
322.0,475136,53,58,709.0761,8874,0.6393451988697052,12964.597206115723,3040,0.2,0.0001,0.3879843056201935,0.0061002215,0.0007745121256448328,0.05081787109375,5834.45849609375,-1.8768357574939727,,
324.0,483328,53,59,826.58325,9020,0.15346252918243408,5072.6379470825195,3050,0.2,0.0001,0.38785818219184875,0.008383962,0.00010343932735850103,0.06396484375,1728.04150390625,-1.876338619366288,,
318.0,491520,53,60,673.5592,9162,0.24163329601287842,3142.62157535553,3060,0.2,0.0001,0.38720405101776123,0.010713082,0.0025746692932443692,0.061279296875,1844.278564453125,-1.8728374548256397,,
316.0,499712,53,61,608.4516,9305,-0.33627378940582275,1591.0865047454834,3070,0.2,0.0001,0.3866935968399048,0.004820956,-8.012863254407421e-05,0.04759521484375,532.3081665039062,-1.8663604322820901,,
317.0,507904,53,62,716.8311,9451,0.3831178545951843,3410.6639699935913,3080,0.2,0.0001,0.38667112588882446,0.0071635917,0.0013705676174140535,0.061669921875,453.003173828125,-1.8636837959289552,,
