rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1050.94,491520,15,276,1780,4895.954,0.0008587983929828624,0.3934032917022705,0.0510406494140625,0.4671141505241394,0.2,0.0001,6966.3583984375,0.006164421,23729.04350566864,2610,-1.9349260258022696,,
1074.41,524288,16,276,1897,5454.643,-3.307718361611478e-06,0.39329493045806885,0.0511566162109375,0.4688020944595337,0.2,0.0001,12484.84765625,0.0062569813,25301.04568634033,2620,-1.9345017922110856,,
1122.44,557056,17,276,2014,5960.2876,0.00026739120858110255,0.3932224214076996,0.0466156005859375,0.4092024564743042,0.2,0.0001,5545.7900390625,0.0059253536,27361.531296920777,2630,-1.9335278241429479,,
1102.42,589824,18,276,2130,5945.5874,0.0006386027980624931,0.39325618743896484,0.0681732177734375,0.33922481536865234,0.2,0.0001,7677.57568359375,0.007215437,26718.203381919862,2640,-1.9331656889989972,,
1120.14,622592,19,275,2256,6326.7236,-0.0014663264008049736,0.39323535561561584,0.0499298095703125,0.4100401997566223,0.2,0.0001,5286.41455078125,0.00616272,24013.944359588622,2650,-1.93326860293746,,
1144.3,655360,20,275,2375,6634.8643,-3.8342691368598025e-05,0.3932002782821655,0.0589599609375,0.4095044732093811,0.2,0.0001,6446.0556640625,0.0069248723,27762.781511688234,2660,-1.9330466745886952,,
1147.14,688128,21,275,2496,6819.364,-7.3067541961790996e-06,0.3929986357688904,0.05440673828125,0.4263232946395874,0.2,0.0001,6277.625,0.006566929,22406.66088104248,2670,-1.9319181732833386,,
1179.69,720896,22,275,2616,7402.368,0.0009210453028572374,0.39289578795433044,0.0565765380859375,0.39603734016418457,0.2,0.0001,7246.25732421875,0.006730802,23784.346617889405,2680,-1.9302855514455586,,
1175.97,753664,23,275,2738,7462.1987,0.0005364205904697883,0.3926190733909607,0.0646331787109375,0.4624508023262024,0.2,0.0001,5566.56689453125,0.0069717504,22815.799539375304,2690,-1.9285500658210366,,
1174.62,786432,24,274,2865,7879.8545,0.0004643637181288796,0.3924325406551361,0.0594696044921875,0.47970449924468994,0.2,0.0001,6456.93359375,0.0066389423,23772.133558654787,2700,-1.926073065167293,,
1179.23,819200,25,274,2988,7951.4346,0.0002942272499240062,0.39227694272994995,0.0609832763671875,0.488350510597229,0.2,0.0001,6711.83154296875,0.0067457194,23398.463229751585,2710,-1.9244333374779672,,
1190.9,851968,26,273,3109,8255.778,-4.425733504831442e-05,0.39208632707595825,0.056219482421875,0.41788333654403687,0.2,0.0001,4054.634521484375,0.0064698206,22230.21150665283,2720,-1.9226700120605529,,
1200.61,884736,27,273,3229,8700.106,-0.00015873832035140367,0.39198827743530273,0.0479949951171875,0.4554942846298218,0.2,0.0001,7812.01123046875,0.0057806764,23616.67847251892,2730,-1.9210812720004469,,
1212.51,917504,28,273,3354,8897.133,-0.0005939183973168837,0.39190274477005005,0.0435028076171875,0.5046412348747253,0.2,0.0001,6500.62255859375,0.005855877,25674.16225337982,2740,-1.9201523705385626,,
1205.05,950272,29,272,3482,9395.747,3.2475572788825956e-05,0.39180654287338257,0.0586181640625,0.4850177764892578,0.2,0.0001,6285.91259765625,0.0066213952,25259.02396335602,2750,-1.9190968345850705,,
1187.59,983040,30,272,3605,9293.905,0.0009551730465318542,0.39161399006843567,0.0586456298828125,0.4920409917831421,0.2,0.0001,7211.40771484375,0.0064677405,26139.18221511841,2760,-1.9176927246153355,,
1159.96,1015808,31,272,3732,9158.737,-0.0009366946076625026,0.39147982001304626,0.042303466796875,0.41283077001571655,0.2,0.0001,6515.20654296875,0.0056643574,25111.96888999939,2770,-1.9160452701151371,,
1115.34,1048576,32,272,3854,8624.731,-0.00016408910250902408,0.3914126753807068,0.0513458251953125,0.46884334087371826,0.2,0.0001,6353.5478515625,0.0065551307,27956.979573440552,2780,-1.9150658262427895,,
1129.06,1081344,33,272,3972,8627.309,0.0007784433793858625,0.39134615659713745,0.05711669921875,0.4088098406791687,0.2,0.0001,7320.052734375,0.0067088464,30179.201530838014,2790,-1.9143576151225716,,
1140.1,1114112,34,272,4085,8831.199,0.001541324647496367,0.3913429081439972,0.050018310546875,0.5316164791584015,0.2,0.0001,6324.009765625,0.0060766153,26435.494484710693,2800,-1.9139934944920243,,
1170.9,1146880,35,273,4199,9252.513,0.0005905200358029105,0.3911193013191223,0.0452178955078125,0.508636087179184,0.2,0.0001,7233.99169921875,0.005777832,28804.15691871643,2810,-1.9129140366334467,,
1178.7,1179648,36,273,4313,9729.436,-3.6739046390721344e-05,0.3911082148551941,0.055267333984375,0.5165064334869385,0.2,0.0001,4883.9482421875,0.0062592616,26633.141943740844,2820,-1.911596176913008,,
1152.37,1212416,37,273,4430,9953.105,0.00024207024052884661,0.3910590410232544,0.04998779296875,0.5789839625358582,0.2,0.0001,7642.693359375,0.006152831,26464.609219741822,2830,-1.911308524850756,,
1172.15,1245184,38,273,4547,10389.869,0.0006311543014817289,0.39099717140197754,0.049285888671875,0.5445627272129059,0.2,0.0001,5571.77880859375,0.005684321,26537.498533821105,2840,-1.9107083723414688,,
1162.89,1277952,39,273,4672,10622.87,0.0006611398663153523,0.3908977806568146,0.0508819580078125,0.6013408899307251,0.2,0.0001,7288.625,0.00629737,25019.814910697936,2850,-1.9098799138329923,,
1165.56,1310720,40,273,4793,10639.287,0.0007129867016374192,0.39079564809799194,0.05057373046875,0.5666242241859436,0.2,0.0001,12485.9921875,0.0060257292,26925.202773284913,2860,-1.908811463555321,,
1175.25,1343488,41,273,4908,10680.574,-0.0004974413475792971,0.39072760939598083,0.0519744873046875,0.5929189622402191,0.2,0.0001,5852.8193359375,0.006813365,24850.643894577028,2870,-1.907997926697135,,
1124.4,1376256,42,274,5021,9849.489,0.00037086822012497576,0.3904849886894226,0.0543609619140625,0.5480752289295197,0.2,0.0001,10213.904296875,0.0062797545,28985.414617919923,2880,-1.9064341421239077,,
1089.87,1409024,43,274,5137,9602.048,0.0003245500267439638,0.3903390169143677,0.057818603515625,0.5125574171543121,0.2,0.0001,4269.853515625,0.0062040733,29195.844194793703,2890,-1.904357294458896,,
1126.34,1441792,44,274,5255,9970.712,0.0011885453985087224,0.39022332429885864,0.0521270751953125,0.5517729818820953,0.2,0.0001,7232.52587890625,0.0060402015,28839.066485214233,2900,-1.9031062814872712,,
1148.33,1474560,45,274,5372,10105.485,0.0007012777801719494,0.39013203978538513,0.056817626953125,0.5811603367328644,0.2,0.0001,5190.26806640625,0.006710194,24261.171285438537,2910,-1.9020633613225073,,
1138.29,1507328,46,274,5485,10236.219,0.000717468051607284,0.39006125926971436,0.0647674560546875,0.5936638712882996,0.2,0.0001,9243.5986328125,0.0070795747,26344.978619003297,2920,-1.9011243824847042,,
1122.68,1540096,47,275,5598,10058.363,0.0016004529574274785,0.38991793990135193,0.0546142578125,0.46365922689437866,0.2,0.0001,11852.08203125,0.0067252666,32685.625088500976,2930,-1.900105412537232,,
1072.99,1572864,48,275,5714,9817.565,0.00040346157156818664,0.38968974351882935,0.06044921875,0.49381041526794434,0.2,0.0001,10751.107421875,0.0070031653,31625.73688812256,2940,-1.8982210965361446,,
,1600000,,,,,-0.000180410794018826,0.3896336555480957,0.0513153076171875,0.5353025794029236,0.2,0.0001,6919.49365234375,0.0062628044,30284.828414154053,2950,-1.8967751675285398,1199.12,1344.0904541015625
1064.94,1605632,49,258,6203,9077.204,,,,,,,,,,,,,
1090.58,1638400,50,259,6322,8772.781,0.0003628663855124614,0.3895344138145447,0.0568511962890625,0.5179285705089569,0.2,0.0001,7164.5419921875,0.0067483173,25936.444637680055,2960,-1.8960517440922557,,
1133.51,1671168,51,259,6439,9071.804,0.0006058507595298579,0.38944509625434875,0.0495758056640625,0.6073716580867767,0.2,0.0001,7415.75146484375,0.005841561,25902.095715141295,2970,-1.8950383640825748,,
1147.01,1703936,52,259,6556,9324.188,0.0005614482179225888,0.3893372416496277,0.0451812744140625,0.596681147813797,0.2,0.0001,5994.68212890625,0.005796793,27154.90653076172,2980,-1.89412010028027,,
1139.82,1736704,53,260,6675,10056.174,0.00012660662596317707,0.3891686499118805,0.0500457763671875,0.5529486238956451,0.2,0.0001,7292.76708984375,0.0055925464,27342.517233657836,2990,-1.8926683138124645,,
1122.64,1769472,54,260,6790,10204.478,0.00013108320054016075,0.3891333341598511,0.05782470703125,0.6109135746955872,0.2,0.0001,6075.94091796875,0.006590206,25430.121953773498,3000,-1.891595283569768,,
1147.93,1802240,55,260,6913,10910.343,0.00015186343780442256,0.3890572786331177,0.0665252685546875,0.5285071730613708,0.2,0.0001,16504.626953125,0.0069520287,27417.674563217162,3010,-1.8908471703529357,,
1134.95,1835008,56,260,7039,10872.872,0.0003467041431576945,0.38893336057662964,0.058404541015625,0.639965295791626,0.2,0.0001,6806.359375,0.0065094447,26639.16919593811,3020,-1.88987831864506,,
1176.05,1867776,57,260,7164,11053.565,0.00039743021234244224,0.3887980282306671,0.051434326171875,0.6222908794879913,0.2,0.0001,5759.5458984375,0.006479513,29018.434369277955,3030,-1.8884554302319885,,
1184.42,1900544,58,260,7283,10538.954,0.0015016959036074696,0.38872045278549194,0.0680938720703125,0.5629538595676422,0.2,0.0001,10136.73828125,0.0071384953,59202.41940898895,3040,-1.8873676103539765,,
1212.99,1933312,59,261,7399,10798.543,0.0014025057120306884,0.38875919580459595,0.0507080078125,0.4700654149055481,0.2,0.0001,151007.671875,0.0058558118,76160.13667869568,3050,-1.8870958307757975,,
1194.92,1966080,60,261,7517,10934.201,0.0003978096483479021,0.3885158598423004,0.0634765625,0.5847472846508026,0.2,0.0001,10660.109375,0.006890388,26660.628330230713,3060,-1.886146394815296,,
1153.6,1998848,61,261,7633,10890.992,-1.543326743558282e-05,0.38833433389663696,0.0597808837890625,0.6222042739391327,0.2,0.0001,6115.97021484375,0.006423909,27780.495516967774,3070,-1.8839267006609588,,
1153.09,2031616,62,261,7755,10485.147,-0.00039613170938537225,0.38823825120925903,0.0567413330078125,0.5119308829307556,0.2,0.0001,6352.7646484375,0.006687459,63085.022072982785,3080,-1.8824800935573875,,
