time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
276,301.0,758.271,540672,1958,66,11998.147332763672,650,0.0023894713,0.01634521484375,0.9607832431793213,3235.317626953125,-0.0013796911429380999,0.2,0.001,0.2273353934288025,-5.514609798789024,,
276,301.0,757.75446,548864,1986,67,14458.87326965332,660,0.005114813,0.0442626953125,0.9602510929107666,4729.9140625,0.0006448100830311887,0.2,0.001,0.2446228265762329,-5.5115860313177105,,
276,301.0,759.00494,557056,2013,68,11605.213568115234,670,0.0035491437,0.03681640625,0.9596549272537231,3866.949462890625,0.0006858828106487636,0.2,0.001,0.24156683683395386,-5.5096025437116625,,
276,301.0,775.8615,565248,2041,69,9533.207487487793,680,0.002790568,0.02135009765625,0.9586731195449829,3310.962890625,0.00026396117973490616,0.2,0.001,0.3558139204978943,-5.506759768724441,,
277,301.0,754.3187,573440,2069,70,9729.789782714844,690,0.007263651,0.08817138671875,0.9570973515510559,4396.78662109375,-0.00047431469756702426,0.2,0.001,0.24136388301849365,-5.501311153173447,,
277,301.0,776.9241,581632,2097,71,10169.913858032227,700,0.0069620577,0.0727783203125,0.9556978940963745,3569.200439453125,0.00102280897408491,0.2,0.001,0.1850217580795288,-5.494736543297767,,
277,301.0,823.20764,589824,2124,72,11292.208796691895,710,0.0026202558,0.0243896484375,0.9552605152130127,5497.0068359375,-0.0006171747379994485,0.2,0.001,0.17897987365722656,-5.4906974077224735,,
277,301.0,888.3303,598016,2152,73,18295.596392822266,720,0.004517449,0.03311767578125,0.9543884992599487,8772.0703125,0.001712286937254248,0.2,0.001,0.1619490385055542,-5.4887087225914,,
278,301.0,914.1113,606208,2179,74,16022.10205078125,730,0.003427912,0.021826171875,0.9537250995635986,6332.84814453125,-0.0011771354875236284,0.2,0.001,0.17760205268859863,-5.485302597284317,,
278,301.0,930.64984,614400,2207,75,15471.373776245116,740,0.004365624,0.045068359375,0.9523282051086426,6314.5693359375,-0.0019458464055787772,0.2,0.001,0.21769607067108154,-5.480966180562973,,
