rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1004.89,6512.121,263,36,2241,589824,-1.8793909574858845,0.09842529296875,0.2,2820,0.5539891719818115,0.008806035,0.0003,-5.303627040120773e-06,0.38782864809036255,3063.357666015625,13029.348732566834,,
990.85,6439.9595,262,37,2305,606208,-1.8769184454344212,0.09693603515625,0.2,2830,0.5805741846561432,0.009127939,0.0003,-0.0002477869422364165,0.3874441385269165,3529.5869140625,13078.257726287842,,
1045.51,6746.3276,262,38,2370,622592,-1.8743895229883492,0.11617431640625,0.2,2840,0.5253084599971771,0.010584122,0.0003,0.0013684761241165688,0.3874293863773346,1781.71142578125,12846.360580444336,,
1015.83,6404.09,262,39,2435,638976,-1.8722856546752156,0.14267578125,0.2,2850,0.6841940581798553,0.012369366,0.0003,0.002039339048860711,0.3871074914932251,5837.7373046875,12413.854171562194,,
1044.66,6685.631,262,40,2499,655360,-1.8702744350768625,0.111016845703125,0.2,2860,0.45741623640060425,0.010437929,0.0003,-0.00022349290957208724,0.38701677322387695,2430.6220703125,15614.778313446044,,
1040.04,6586.5474,261,41,2564,671744,-1.8678043477237225,0.088372802734375,0.2,2870,0.5025011301040649,0.00841672,0.0003,-0.0010262508913001511,0.3866138160228729,2683.537353515625,13175.5605884552,,
1004.04,6299.4077,261,42,2628,688128,-1.8646464045159519,0.102801513671875,0.2,2880,0.6636222004890442,0.009701813,0.0003,-0.0006570607054527499,0.3864595293998718,2152.19921875,13155.075210571289,,
997.5,6421.1465,261,43,2692,704512,-1.860379608348012,0.111505126953125,0.2,2890,0.5193750560283661,0.010106137,0.0003,0.0009657149708800717,0.38574790954589844,5122.49365234375,15389.218447303772,,
951.49,5804.2163,261,44,2756,720896,-1.8533871533349155,0.08861083984375,0.2,2900,0.5568622350692749,0.008731103,0.0003,3.7573183362837883e-06,0.38513273000717163,2331.306640625,14046.206819343566,,
965.09,5934.451,261,45,2820,737280,-1.8500372229143978,0.119097900390625,0.2,2910,0.39756637811660767,0.0114038875,0.0003,0.0022132229053568155,0.38515159487724304,210003.71875,190795.41733055114,,
