time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
2772,1189.2094,307,26,301.0,851968,3685.72900390625,0.043251752853393555,0.8918939232826233,0.0026338267880419153,5473.27874212265,0.2,-5.232491204142571,0.001,0.02935775,0.2908782958984375,250,,
2880,942.1626,307,27,300.25,884736,1076.819091796875,-0.001479029655456543,0.8880497217178345,0.004375064596115408,6535.562414097786,0.2,-5.201834081485868,0.001,0.028576285,0.2888427734375,260,,
2988,1066.4155,307,28,299.72,917504,678.7996215820312,0.10293781757354736,0.8780677318572998,0.001352543838584097,4810.5827608346935,0.2,-5.173212320916354,0.001,0.02815091,0.28699951171875,270,,
3096,946.2988,306,29,299.72,950272,3121.71923828125,0.10130482912063599,0.872999906539917,0.0030120225895188925,5409.963960564137,0.2,-5.132399686612189,0.001,0.031054933,0.3063995361328125,280,,
3205,1258.9006,306,30,301.0,983040,829.1500854492188,0.13168060779571533,0.8683904409408569,0.0022010905097204158,4524.082901096344,0.2,-5.09550790246576,0.001,0.031009523,0.30714111328125,290,,
3314,1209.8832,306,31,301.0,1015808,2218.42626953125,0.059494197368621826,0.8637381792068481,0.004105618407629663,6124.961840367318,0.2,-5.082309911027551,0.001,0.03034148,0.3031768798828125,300,,
3422,1393.1718,306,32,301.0,1048576,3307.183349609375,0.07692420482635498,0.8521068096160889,0.003965751270834516,7253.882883453369,0.2,-5.052843687497079,0.001,0.030132812,0.29754638671875,310,,
3529,1089.145,306,33,301.0,1081344,3686.9326171875,0.12934255599975586,0.8464028835296631,0.003935793394066423,8930.242946481705,0.2,-5.008015799708664,0.001,0.02706864,0.274169921875,320,,
3637,1266.059,306,34,301.0,1114112,504.06182861328125,0.20546650886535645,0.840241014957428,0.0013027389038143156,5673.095353484154,0.2,-4.980492446385324,0.001,0.029058661,0.283953857421875,330,,
3745,1223.8306,306,35,299.12,1146880,706.4090576171875,0.2965567111968994,0.8336900472640991,0.0028654393358010567,6267.584567141533,0.2,-4.945372681878507,0.001,0.030768383,0.29464111328125,340,,
