time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
273,360448,11,371.54,1319,3059.0,-0.00010763778873297269,0.0070005953,41261.84557723999,18323.111328125,0.053851318359375,2570,-1.9367699443362654,0.7915447801351547,0.0001,0.39350414276123047,0.2,,
273,393216,12,358.86,1437,3530.0,0.000769235035386373,0.007384081,42387.31850814819,13356.9765625,0.0638885498046875,2580,-1.936364947631955,0.7887569963932037,0.0001,0.3935120105743408,0.2,,
274,425984,13,387.92,1554,3852.0,0.00029548708821494076,0.006163661,41337.08989028931,17673.548828125,0.0511077880859375,2590,-1.9359920400194823,0.7881729602813721,0.0001,0.3934263586997986,0.2,,
274,458752,14,363.2,1671,3434.0,0.0015404369867610512,0.007530066,41072.24434204101,12874.4384765625,0.0659149169921875,2600,-1.9347812462598086,0.7871360182762146,0.0001,0.39328062534332275,0.2,,
274,491520,15,389.07,1793,4003.0,0.0004965988211552031,0.006205625,44780.51484069824,16168.8984375,0.0509368896484375,2610,-1.9337162434123456,0.7603586316108704,0.0001,0.39322054386138916,0.2,,
274,524288,16,387.24,1913,4034.0,-0.000497708551120013,0.0062339706,36924.67953948975,13798.6728515625,0.0519989013671875,2620,-1.9329435642808677,0.8053098618984222,0.0001,0.3931262493133545,0.2,,
274,557056,17,379.52,2031,3733.0,-0.00017584228953637648,0.006346329,36799.8512260437,11322.5703125,0.0551727294921875,2630,-1.9322515496984125,0.7888967841863632,0.0001,0.3930824100971222,0.2,,
274,589824,18,398.13,2148,4241.0,0.0008316110118357755,0.0048641525,36624.6499420166,13461.693359375,0.03197021484375,2640,-1.9311403814703225,0.817739337682724,0.0001,0.3928956091403961,0.2,,
274,622592,19,406.82,2268,4342.0,0.00042780680842042785,0.005701649,39650.94889678955,12859.3359375,0.0466461181640625,2650,-1.9297399330884217,0.7859552204608917,0.0001,0.3928203582763672,0.2,,
274,655360,20,393.5,2387,4190.0,0.001145664268233304,0.006358114,41582.07722167969,15561.00390625,0.0524017333984375,2660,-1.929014317598194,0.7630532532930374,0.0001,0.39274218678474426,0.2,,
