time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
688128,925.55,7230.723,292,2348,21,0.0065428317,2670,6757.32666015625,25858.08141117096,0.2,0.0519622802734375,-1.921404693182558,0.0001,0.000546545886390959,0.39203906059265137,0.5134963393211365,,
720896,911.84,7088.0337,292,2468,22,0.0068187844,2680,11234.541015625,26046.493676948547,0.2,0.05804443359375,-1.9202261062338948,0.0001,0.0007540680067904759,0.39180853962898254,0.460493266582489,,
753664,935.81,7412.6055,291,2588,23,0.007008897,2690,6890.7109375,27843.458373641966,0.2,0.0619842529296875,-1.9179878320079298,0.0001,0.0008898162372133811,0.39162570238113403,0.47896063327789307,,
786432,924.98,7335.696,290,2707,24,0.0067125247,2700,8299.4658203125,26757.257777786253,0.2,0.0591949462890625,-1.9153603904880583,0.0001,0.0008981345617939951,0.39129090309143066,0.49201345443725586,,
819200,935.35,7483.201,289,2829,25,0.0066760657,2710,9195.697265625,26515.753556632997,0.2,0.0580718994140625,-1.9124594919383526,0.0001,0.0013231747421741601,0.39106690883636475,0.48827964067459106,,
851968,885.76,6796.86,289,2947,26,0.007240017,2720,5287.62255859375,22585.71315879822,0.2,0.0590850830078125,-1.9105379812419414,0.0001,0.00042245344275215757,0.3909428119659424,0.5230073630809784,,
884736,941.54,7692.2925,288,3064,27,0.0071846293,2730,6754.158203125,28817.431880569457,0.2,0.058697509765625,-1.909598700189963,0.0001,0.000268897042133176,0.3908960819244385,0.47028398513793945,,
917504,915.94,7257.8633,288,3179,28,0.0074640014,2740,6253.3837890625,28361.662684249877,0.2,0.063818359375,-1.908719567907974,0.0001,-7.198187722678995e-05,0.3907652497291565,0.43071359395980835,,
950272,942.35,7742.805,288,3296,29,0.0062153595,2750,6537.34765625,27254.068117523195,0.2,0.055517578125,-1.9074823018163443,0.0001,0.0003857456159494177,0.3906615376472473,0.45938748121261597,,
983040,938.63,7380.8823,287,3414,30,0.0065165237,2760,14915.27734375,25188.902891349793,0.2,0.057135009765625,-1.9060832447372378,0.0001,0.0005171095540390525,0.3904733955860138,0.47427207231521606,,
1015808,978.29,7968.3184,287,3531,31,0.007300261,2770,6264.95703125,23808.332399749757,0.2,0.0658050537109375,-1.9046573195140808,0.0001,0.0012289344816963422,0.39039313793182373,0.49187564849853516,,
1048576,1000.99,8113.025,287,3646,32,0.006790239,2780,5631.806640625,22837.284216499327,0.2,0.054754638671875,-1.9038283303845673,0.0001,-3.379516965651419e-05,0.3903166651725769,0.545408308506012,,
1081344,1025.37,8890.983,287,3763,33,0.0058503672,2790,5023.7294921875,23904.147228622438,0.2,0.0485626220703125,-1.9035286447964608,0.0001,0.0006990870257141069,0.39033740758895874,0.585243284702301,,
1114112,1032.43,9013.753,287,3880,34,0.006938056,2800,5408.37255859375,24071.689687728882,0.2,0.056982421875,-1.902962990803644,0.0001,-0.00015242319386743475,0.39018714427948,0.533215194940567,,
1146880,1026.67,9003.323,286,4000,35,0.0070210807,2810,8646.4482421875,23319.45132007599,0.2,0.070318603515625,-1.9006582256872206,0.0001,-0.00014480082445516017,0.3899161219596863,0.5752964615821838,,
1179648,1042.97,9036.259,286,4123,36,0.007195046,2820,9617.3798828125,23399.16765918732,0.2,0.068780517578125,-1.8993361776694655,0.0001,-0.00019852679852192524,0.3899429440498352,0.587064653635025,,
1212416,1012.78,8705.358,285,4239,37,0.007213657,2830,9068.7568359375,24261.79678211212,0.2,0.069512939453125,-1.8989989913068712,0.0001,0.0006374673436766898,0.3898668587207794,0.5104236602783203,,
1245184,1007.24,8664.524,286,4351,38,0.0059958147,2840,8356.474609375,25779.176762390136,0.2,0.053387451171875,-1.898303883895278,0.0001,0.00020359035743240385,0.3898082971572876,0.4825933575630188,,
1277952,961.2,8336.058,286,4464,39,0.006472325,2850,7292.92041015625,25912.272938728333,0.2,0.05281982421875,-1.897849618131295,0.0001,0.0008589726292484556,0.3897513747215271,0.5193982422351837,,
1310720,970.02,8390.733,286,4575,40,0.0067082327,2860,5001.966796875,24000.598893356324,0.2,0.0552093505859375,-1.8963667668402195,0.0001,0.00033552761524333616,0.3894938826560974,0.5347483158111572,,
1343488,971.01,8560.657,286,4686,41,0.00675255,2870,8308.0029296875,25189.09323387146,0.2,0.0605438232421875,-1.8947366252541542,0.0001,0.0007857213551687892,0.38944244384765625,0.496060311794281,,
1376256,992.75,8850.46,286,4797,42,0.007082941,2880,6954.73974609375,25098.96325969696,0.2,0.0608154296875,-1.8935545846354216,0.0001,-0.0007613799720274983,0.3892494738101959,0.5694065392017365,,
