time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
2556,884736,346,1162.04,27,8901.863,0.0170745849609375,0.0041256477,2730,-1.9420452475547791,60343.54038085938,-0.0005046746759035159,0.5285556614398956,0.0001,0.39406609535217285,0.2,25221.375,,
2652,917504,345,1182.41,28,9382.221,0.0229156494140625,0.0047524497,2740,-1.9419546864926815,43734.05776367187,0.00014231587265385316,0.550678551197052,0.0001,0.3940705955028534,0.2,17091.61328125,,
2746,950272,346,1170.33,29,9332.517,0.0122039794921875,0.0037219408,2750,-1.941947977244854,46855.27197265625,0.00014474199124379084,0.5692418217658997,0.0001,0.39406609535217285,0.2,16627.8125,,
2837,983040,346,1140.9,30,9219.69,0.0353973388671875,0.005479739,2760,-1.9418043807148933,50760.782006835936,0.00044533231484820133,0.5005679726600647,0.0001,0.39403846859931946,0.2,23429.966796875,,
2933,1015808,346,1136.64,31,9348.168,0.0185760498046875,0.0041940156,2770,-1.9414464339613915,51986.56479492188,-0.0004465565987629816,0.4955466389656067,0.0001,0.39399445056915283,0.2,20606.56640625,,
3028,1048576,346,1159.58,32,9002.244,0.0182373046875,0.004236618,2780,-1.9410910733044147,43853.453601074216,-0.0003071803752391133,0.5827725231647491,0.0001,0.3939730226993561,0.2,15421.810546875,,
3123,1081344,346,1149.28,33,8907.937,0.0291351318359375,0.0054004956,2790,-1.9409779570996761,221488.32333984374,-0.0004883816582150757,0.41551995277404785,0.0001,0.39397990703582764,0.2,94999.34375,,
3220,1114112,345,1145.58,34,8973.623,0.01734619140625,0.0044711065,2800,-1.940838550031185,48363.30289306641,0.00013043729777564294,0.612511157989502,0.0001,0.39393413066864014,0.2,18356.69140625,,
3318,1146880,345,1141.73,35,9183.743,0.0251251220703125,0.004736916,2810,-1.9404151551425457,50916.49072265625,-0.0009207370421790984,0.5942853093147278,0.0001,0.39390426874160767,0.2,20952.16796875,,
3418,1179648,345,1117.3,36,9578.501,0.027099609375,0.004517559,2820,-1.9401897855103016,44379.706372070315,0.0003512581461109221,0.6377657949924469,0.0001,0.39388683438301086,0.2,16977.9140625,,
3517,1212416,344,1082.23,37,7391.7715,0.02628173828125,0.005093867,2830,-1.9399450831115246,53043.71577148438,2.0664396288339048e-06,0.6421015560626984,0.0001,0.39385026693344116,0.2,19032.513671875,,
3616,1245184,344,1094.06,38,6981.2676,0.0229034423828125,0.004598424,2840,-1.9397429041564465,591390.8263671875,0.001440443831961602,0.3853469491004944,0.0001,0.39386045932769775,0.2,233142.875,,
3712,1277952,344,1079.57,39,6798.245,0.0177642822265625,0.004309499,2850,-1.9397701278328896,138246.2621582031,0.00030428531317738816,0.4037553668022156,0.0001,0.39384061098098755,0.2,50925.62109375,,
3811,1310720,343,1080.0,40,7117.0938,0.021044921875,0.0044794604,2860,-1.9396592184901238,60551.60751953125,-0.00011171477308380418,0.698784202337265,0.0001,0.3938431441783905,0.2,20601.283203125,,
3908,1343488,343,1006.63,41,8208.657,0.0272674560546875,0.0048004487,2870,-1.939695094525814,54031.678466796875,-0.0004982965503586457,0.497367799282074,0.0001,0.3938496708869934,0.2,19139.4609375,,
4008,1376256,343,1025.73,42,7880.206,0.0130279541015625,0.0037885094,2880,-1.939774040132761,374663.7099609375,-0.0004684011008066591,0.5696117579936981,0.0001,0.39386266469955444,0.2,120771.4375,,
4103,1409024,343,1033.27,43,7606.0625,0.017401123046875,0.0042802026,2890,-1.9399228416383267,250826.72373046874,-0.0013640476288856007,0.6521586775779724,0.0001,0.39387309551239014,0.2,111149.5078125,,
4201,1441792,343,1075.17,44,7288.5967,0.023931884765625,0.0051624663,2900,-1.9399003341794014,116270.20817871093,0.0006186226681165862,0.6213657259941101,0.0001,0.3938513994216919,0.2,46137.96484375,,
4298,1474560,343,1124.7,45,8450.864,0.0155120849609375,0.0040284535,2910,-1.9395971432328225,787023.0982421875,-0.0007615669041115325,0.5609042346477509,0.0001,0.3938239812850952,0.2,545334.0,,
4391,1507328,343,1131.45,46,8782.647,0.01966552734375,0.0043521794,2920,-1.9393218889832498,50010.823461914064,0.0006015801962348632,0.6234410107135773,0.0001,0.39378973841667175,0.2,17766.001953125,,
4486,1540096,343,1120.81,47,9660.28,0.024072265625,0.0048057633,2930,-1.9389660380780698,58853.643872070315,-0.0002603267537779175,0.5085504353046417,0.0001,0.39375901222229004,0.2,22979.4453125,,
4582,1572864,343,1115.37,48,9739.124,0.01402587890625,0.003666927,2940,-1.938700769096613,53054.800610351565,0.0004561733643640764,0.5805582702159882,0.0001,0.39373692870140076,0.2,21485.62890625,,
