time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
1600000,,,,,,0.001,4181.60741186142,-3.4841594779863954,0.0002184621984270052,0.5791117548942566,0.2,0.2258270263671875,0.020582417,0.3660094738006592,1710,417.3525085449219,-521.588623046875,352.52
1605632,-435.93048,185,49,8652,570.47,,,,,,,,,,,,,
1638400,-441.78708,185,50,8824,579.66,0.001,2985.2026550531386,-3.465538975596428,0.002089994793641381,0.5751601457595825,0.2,0.241046142578125,0.022488542,0.38853001594543457,1720,551.4202270507812,,
1671168,-607.4288,185,51,8996,594.06,0.001,2307.69764854908,-3.4521856416016816,0.0006010669453189621,0.5738951563835144,0.2,0.2493377685546875,0.02400886,0.3810880184173584,1730,302.52996826171875,,
1703936,-433.66306,185,52,9169,590.33,0.001,1984.6082948684693,-3.452978567406535,0.0016423366149865616,0.5750561952590942,0.2,0.2702789306640625,0.027676873,0.3983610272407532,1740,906.6593017578125,,
1736704,-532.50494,185,53,9342,585.18,0.001,3381.9267740726473,-3.4557478383183478,0.0007233697753690649,0.5744809508323669,0.2,0.22696533203125,0.019945355,0.3167835474014282,1750,425.2489013671875,,
1769472,-580.19257,185,54,9515,594.07,0.001,2805.804662847519,-3.446777191199362,0.0031278571989787453,0.5717712044715881,0.2,0.2616058349609375,0.026123904,0.34366220235824585,1760,775.9295043945312,,
1802240,-766.1598,186,55,9687,600.03,0.001,2402.810816168785,-3.4191556675359607,0.0011629019003521535,0.5673686861991882,0.2,0.2639862060546875,0.026790477,0.35958951711654663,1770,737.4452514648438,,
1835008,-914.4136,186,56,9860,589.53,0.001,2348.2814576625824,-3.3809552444145083,0.0012709642752270155,0.5611956119537354,0.2,0.2710174560546875,0.026449049,0.3649563789367676,1780,749.3010864257812,,
1867776,-978.08624,186,57,10033,585.6,0.001,2664.9689367055894,-3.3615171797573566,0.0042735301224638535,0.5598998069763184,0.2,0.2852386474609375,0.029930213,0.38240307569503784,1790,554.069091796875,,
1900544,-793.6206,186,58,10208,587.02,0.001,2775.2794793367384,-3.3501149037852884,0.0032100628885018525,0.559219241142273,0.2,0.292315673828125,0.028431896,0.2901575565338135,1800,594.084716796875,,
1933312,-620.11426,186,59,10382,576.78,0.001,2960.520755147934,-3.3363731408491732,0.003277484719228596,0.5570306777954102,0.2,0.261395263671875,0.027570736,0.29389387369155884,1810,463.74627685546875,,
1966080,-568.43494,186,60,10556,568.2,0.001,3723.9461587429046,-3.3301950147375465,0.0021219865157945605,0.5558601021766663,0.2,0.251495361328125,0.024694812,0.3358367681503296,1820,729.6495361328125,,
1998848,-581.47034,186,61,10729,580.02,0.001,3193.4777119636537,-3.3070358214899898,0.0006724013423081487,0.5544193387031555,0.2,0.2538848876953125,0.024962554,0.4079124927520752,1830,565.0913696289062,,
2031616,-333.144,186,62,10901,593.11,0.001,3256.675892019272,-3.298966627754271,0.0011578561987334978,0.5521048307418823,0.2,0.2509674072265625,0.02495811,0.3502146601676941,1840,689.4600219726562,,
