time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/explained_variance,train/std,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
191,38,1245184,573.68,6510,613.73206,-0.000595490188425174,-2.456165188550949,0.009417724609375,1e-05,17454.40458946228,7192.32177734375,2830,0.750774621963501,0.44878169894218445,0.00355847,0.2,,
191,39,1277952,571.84,6681,867.88654,-0.0011147495624300064,-2.4556831097230316,0.0065521240234375,1e-05,18884.633377075195,7583.26513671875,2840,0.7501975744962692,0.44874733686447144,0.0028971904,0.2,,
191,40,1310720,584.81,6852,958.2341,-0.0008485636159093701,-2.455325572192669,0.0040435791015625,1e-05,20404.942722702028,7933.8076171875,2850,0.7527335286140442,0.44869935512542725,0.0024994742,0.2,,
191,41,1343488,591.05,7023,802.10486,-0.000632934251370898,-2.4549881938844917,0.003326416015625,1e-05,17437.253326797487,5978.7841796875,2860,0.7687270492315292,0.44867485761642456,0.0019241823,0.2,,
191,42,1376256,591.45,7194,824.10846,-0.0003348981830185949,-2.454774822667241,0.0049713134765625,1e-05,18705.003042984008,8809.8701171875,2870,0.7580647617578506,0.44866037368774414,0.0024808515,0.2,,
191,43,1409024,586.95,7366,718.2319,0.00012818826880902633,-2.4547363897785544,0.0094268798828125,1e-05,15692.938948059082,6133.67724609375,2880,0.7769487202167511,0.44866886734962463,0.0025610519,0.2,,
191,44,1441792,591.62,7537,822.9378,-0.0006456665316363797,-2.454541252553463,0.0017608642578125,1e-05,20579.07403793335,8210.009765625,2890,0.7485605776309967,0.4486162066459656,0.001734728,0.2,,
191,45,1474560,596.97,7709,629.64185,0.0002081616756868243,-2.4542485874146225,0.0046234130859375,1e-05,17469.462841415407,10742.6689453125,2900,0.7548856437206268,0.44860658049583435,0.0025024156,0.2,,
191,46,1507328,596.97,7882,706.81525,0.00021707943246838113,-2.4542179780080913,0.004046630859375,1e-05,17831.525156021118,6080.18701171875,2910,0.7569196075201035,0.4486086964607239,0.0020927824,0.2,,
191,47,1540096,583.53,8053,861.6421,-0.0004120479889934359,-2.454234822653234,0.0055267333984375,1e-05,18920.308738327025,9343.376953125,2920,0.7678464651107788,0.44861042499542236,0.002630269,0.2,,
191,48,1572864,587.09,8225,910.5427,-0.00029452003864207656,-2.4542302038520574,0.00504150390625,1e-05,19129.99235229492,11553.296875,2930,0.7752193212509155,0.44860097765922546,0.0021323382,0.2,,
,,1600000,,,,0.0005760105210356415,-2.4541787754744293,0.01209716796875,1e-05,20686.36512489319,10615.1279296875,2940,0.7568252086639404,0.44859015941619873,0.003133094,0.2,639.053955078125,555.3
184,49,1605632,590.72,8702,825.1463,,,,,,,,,,,,,
184,50,1638400,590.78,8874,760.9191,-0.0007716094953593711,-2.4540767449885608,0.00938720703125,1e-05,16786.769859695436,7033.03125,2950,0.7826050519943237,0.44857797026634216,0.0033823526,0.2,,
184,51,1671168,595.39,9046,590.789,-0.0007176620404152345,-2.453855546750128,0.0053924560546875,1e-05,16764.66064338684,13103.3544921875,2960,0.7458702027797699,0.44855380058288574,0.0025460045,0.2,,
184,52,1703936,601.0,9217,739.61273,-0.0006713413023589965,-2.453441822901368,0.0029327392578125,1e-05,14437.9410572052,7152.40185546875,2970,0.7978824228048325,0.4484805166721344,0.0020977594,0.2,,
184,53,1736704,590.4,9393,1033.3914,-0.00036739785227837276,-2.4531536916270853,0.00577392578125,1e-05,15601.219707489014,8908.3798828125,2980,0.7788848429918289,0.4484882950782776,0.0027093855,0.2,,
183,54,1769472,596.5,9661,1151.8632,-0.0002563188055319188,-2.4531498493626716,0.00447998046875,1e-05,25553.63556518555,9638.1923828125,2990,0.6991254985332489,0.44847559928894043,0.0024363697,0.2,,
182,55,1802240,596.5,9849,1058.8964,-1.509280082245823e-05,-2.452972612529993,0.00220947265625,1e-05,20933.008968734743,10776.314453125,3000,0.7726664394140244,0.4484446346759796,0.0015157331,0.2,,
182,56,1835008,601.0,10060,923.34424,-0.0007164466179347073,-2.452744530700147,0.0145843505859375,1e-05,18149.51988105774,7794.71435546875,3010,0.7518117725849152,0.4484201669692993,0.0036970254,0.2,,
181,57,1867776,589.66,10273,986.06384,-0.0004547204415302986,-2.452374057658017,0.00469970703125,1e-05,18481.397161102293,8192.552734375,3020,0.7745612114667892,0.4483616352081299,0.0023077405,0.2,,
