time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
24,289.4542,1825,301.0,786432,430,592.158066791296,0.0001,0.080291748046875,-5.21491334233433,153.76507568359375,0.5712166428565979,0.2,230,0.0065997085,-0.0026936520157960333,0.8920658826828003,,
25,332.06458,1903,301.0,819200,430,1221.7941199600696,0.0001,0.0957672119140625,-5.193166984803975,3806.43505859375,0.3730961084365845,0.2,240,0.009929044,-0.0014160087195705274,0.8851717710494995,,
26,349.74442,1981,301.0,851968,429,1663.1371554374696,0.0001,0.1018829345703125,-5.151820871978998,1273.046630859375,0.3178229331970215,0.2,250,0.006968203,0.00016367478820029647,0.8769856691360474,,
27,320.5846,2060,301.0,884736,429,1539.820163601637,0.0001,0.1048980712890625,-5.117948357574642,285.429931640625,0.26686280965805054,0.2,260,0.009541262,-0.000268860436108298,0.8699452877044678,,
28,415.38724,2139,301.0,917504,428,389.352991938591,0.0001,0.1147705078125,-5.081920384801924,164.02230834960938,0.6357586979866028,0.2,270,0.008018603,-0.0017217639002410578,0.8627966642379761,,
29,340.9757,2218,301.0,950272,428,2202.4143161296843,0.0001,0.10389404296875,-5.045082553848625,299.8103942871094,0.24195140600204468,0.2,280,0.0069555715,5.438994789983553e-05,0.8532184362411499,,
30,428.61688,2297,301.0,983040,427,705.3104315161705,0.0001,0.1055084228515625,-5.009892784245312,197.63232421875,0.5649353861808777,0.2,290,0.010679872,-0.0012878931952400308,0.8478168249130249,,
31,442.29062,2376,301.0,1015808,427,764.3823060929775,0.0001,0.0735198974609375,-4.98534074537456,216.73414611816406,0.5276879072189331,0.2,300,0.007336588,0.000790805451288179,0.8437997102737427,,
32,451.51352,2456,301.0,1048576,426,1299.0259556055069,0.0001,0.08060302734375,-4.962754767388105,215.5178680419922,0.3229086399078369,0.2,310,0.0076456326,0.0023750976419250947,0.8377538919448853,,
33,453.79517,2535,301.0,1081344,426,1363.1969248414039,0.0001,0.108624267578125,-4.92489520125091,600.78662109375,0.3162791132926941,0.2,320,0.010419557,0.0007905934046902984,0.8298100829124451,,
34,458.2934,2614,301.0,1114112,426,1338.9592201471328,0.0001,0.1052398681640625,-4.897554092481732,262.197021484375,0.3715067505836487,0.2,330,0.00926487,0.002164028276001773,0.8253370523452759,,
35,458.27594,2694,301.0,1146880,425,1413.813808774948,0.0001,0.1217376708984375,-4.873530461452901,323.768798828125,0.3740098476409912,0.2,340,0.009610212,0.0014373412413533515,0.8206806182861328,,
36,474.07645,2775,301.0,1179648,424,1483.7319723248481,0.0001,0.1216278076171875,-4.837211121991277,220.15060424804688,0.3482065200805664,0.2,350,0.008858733,0.0016188529163628119,0.8120231628417969,,
37,528.2305,2856,301.0,1212416,424,1410.346619617939,0.0001,0.092376708984375,-4.80687397364527,601.2015380859375,0.3268095850944519,0.2,360,0.009934352,5.213897297835501e-05,0.8069442510604858,,
38,533.7995,2938,301.0,1245184,423,2012.161826324463,0.0001,0.1091888427734375,-4.784757456742227,539.8446044921875,0.2855856418609619,0.2,370,0.00826752,0.001481872334079526,0.8028814792633057,,
39,449.0966,3018,301.0,1277952,423,2431.2364033818244,0.0001,0.1110931396484375,-4.761257276125252,532.3948974609375,0.2645617723464966,0.2,380,0.008175076,0.001439931866207189,0.7987515926361084,,
40,520.869,3099,301.0,1310720,422,589.3384049892426,0.0001,0.0914703369140625,-4.7370704174041744,267.76983642578125,0.5672885477542877,0.2,390,0.00767074,-7.323323802665982e-05,0.7931644916534424,,
41,592.84705,3179,301.0,1343488,422,1494.5338615894318,0.0001,0.0879791259765625,-4.711269043013454,321.6206970214844,0.35159027576446533,0.2,400,0.009108404,0.00011151894696013188,0.7886104583740234,,
