time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
688128,2643,21,473.88,1960.6516,260,0.0001765985251950042,0.7235841751098633,16965.7421875,0.0001,33759.88465881348,0.02850341796875,2670,0.3934597074985504,-1.93611566349864,0.0047603073,0.2,,
720896,2768,22,473.87,2030.0675,260,-0.00011059877679144847,0.6620825827121735,19379.525390625,0.0001,42935.97537841797,0.0282745361328125,2680,0.39347192645072937,-1.935973790101707,0.004816397,0.2,,
753664,2894,23,481.58,2181.1672,260,9.109033899221686e-05,0.6756590604782104,16848.41796875,0.0001,38888.209939575194,0.0402099609375,2690,0.39341628551483154,-1.9358232144266367,0.0057953047,0.2,,
786432,3018,24,483.39,2499.3198,260,-0.0003153793262754334,0.7148117423057556,11369.4306640625,0.0001,33233.30945892334,0.0428009033203125,2700,0.3933626413345337,-1.9352510116994381,0.005779697,0.2,,
819200,3146,25,466.73,2049.5938,260,-0.0005553397200856125,0.6940397024154663,13023.9287109375,0.0001,37846.98584594727,0.03499755859375,2710,0.3933047652244568,-1.934674996882677,0.0053891274,0.2,,
851968,3271,26,483.09,2123.3389,260,-6.382742285495623e-05,0.6814737319946289,11261.501953125,0.0001,37022.46939544678,0.0320098876953125,2720,0.3932832181453705,-1.9342319425195456,0.0053808186,0.2,,
884736,3396,27,480.93,2222.1672,260,-0.0004470238420253736,0.6848021149635315,15160.0361328125,0.0001,35913.14858398437,0.02142333984375,2730,0.39329251646995544,-1.9341454232111572,0.0044265906,0.2,,
917504,3521,28,466.89,2335.356,260,-0.00038477985381177857,0.7062740921974182,12630.6064453125,0.0001,37502.74959411621,0.0290618896484375,2740,0.3932283818721771,-1.9339239882305264,0.004821214,0.2,,
950272,3645,29,435.82,1828.42,260,4.7190071745717434e-05,0.6854835450649261,13076.58203125,0.0001,33225.79296417236,0.0255950927734375,2750,0.3932289779186249,-1.9335723508149385,0.004425389,0.2,,
983040,3770,30,481.61,2354.3044,260,0.000677981878106948,0.6889251172542572,13267.8564453125,0.0001,37289.495938110354,0.033697509765625,2760,0.3931658864021301,-1.9332930373027921,0.005347845,0.2,,
1015808,3894,31,463.26,2196.058,260,0.0009009558434627252,0.6312834918498993,11326.1044921875,0.0001,40006.80858764648,0.0333038330078125,2770,0.39316821098327637,-1.9329575898125768,0.0048923185,0.2,,
1048576,4018,32,478.94,2720.0015,260,7.543028914369643e-06,0.6708958148956299,9824.7119140625,0.0001,38342.31173706055,0.0225433349609375,2780,0.3931245505809784,-1.9327851520851254,0.0042191246,0.2,,
1081344,4141,33,457.59,2549.835,261,0.0011324809665893554,0.6464883089065552,11058.23046875,0.0001,35474.61809539795,0.039227294921875,2790,0.39310353994369507,-1.9324622770771385,0.0052533457,0.2,,
1114112,4263,34,444.26,2282.1907,261,-0.0005927864282057272,0.6354784965515137,12235.724609375,0.0001,39190.21273193359,0.035528564453125,2800,0.39307016134262085,-1.9322025414556265,0.005444535,0.2,,
1146880,4386,35,454.57,2424.64,261,0.00017310289954366453,0.6383776664733887,14819.76953125,0.0001,44089.334371948244,0.027874755859375,2810,0.3930530548095703,-1.9319214310497046,0.0045177992,0.2,,
1179648,4509,36,449.68,2225.7573,261,0.00081360571894038,0.5947638154029846,13106.5390625,0.0001,43523.182614135745,0.0392303466796875,2820,0.3930289149284363,-1.9317286685109138,0.00576881,0.2,,
1212416,4632,37,442.45,2276.1018,261,0.00039399388424499193,0.5931541621685028,9532.3837890625,0.0001,40355.63967590332,0.0357818603515625,2830,0.39298945665359497,-1.9314284358173608,0.005639561,0.2,,
1245184,4753,38,446.19,2140.578,261,-0.000933201908992487,0.6282128691673279,13832.7119140625,0.0001,41417.66636047363,0.028717041015625,2840,0.39297419786453247,-1.9311363851651548,0.0046417513,0.2,,
1277952,4876,39,468.26,2319.208,262,-0.00012630863907361344,0.6514244079589844,13926.197265625,0.0001,39548.2850982666,0.0266326904296875,2850,0.39296847581863403,-1.9310175135731698,0.004083691,0.2,,
1310720,4997,40,458.94,2376.4932,262,0.0007463680347427725,0.6778192520141602,11308.8486328125,0.0001,35012.9564743042,0.027276611328125,2860,0.3929603099822998,-1.9309664541855454,0.004441929,0.2,,
1343488,5119,41,470.11,2436.1826,262,0.00021308191426214763,0.6666853725910187,7468.22412109375,0.0001,36417.111335754395,0.0324951171875,2870,0.39293891191482544,-1.930837344378233,0.004982233,0.2,,
1376256,5242,42,458.79,2330.3772,262,0.00017647465774643932,0.6562414169311523,10770.67578125,0.0001,39639.86688232422,0.0288055419921875,2880,0.3929179906845093,-1.9305991282686592,0.0049242405,0.2,,
1409024,5364,43,456.1,2292.129,262,-6.18793008470675e-05,0.66338911652565,12098.4140625,0.0001,36225.38165435791,0.0254974365234375,2890,0.3929356038570404,-1.930533768236637,0.004332098,0.2,,
1441792,5487,44,450.75,2229.5388,262,-8.573576997150667e-05,0.6477117836475372,9846.4248046875,0.0001,35932.31667633056,0.0296844482421875,2900,0.39289990067481995,-1.9304977253079414,0.0049497476,0.2,,
1474560,5609,45,459.51,2257.0527,262,0.0003073457746722852,0.7135471403598785,9920.6171875,0.0001,32663.855715942384,0.0295684814453125,2910,0.392855703830719,-1.9301161922514438,0.0044113966,0.2,,
1507328,5733,46,481.82,2587.431,262,0.00020475450528465445,0.704929769039154,9838.87109375,0.0001,35827.87886657715,0.0237701416015625,2920,0.39285439252853394,-1.9298404345288873,0.0041448353,0.2,,
1540096,5855,47,481.0,2880.8862,263,-0.0006239568553610298,0.6963407099246979,8892.0537109375,0.0001,33320.97581634521,0.02445068359375,2930,0.39281871914863586,-1.9296773973852397,0.0044227475,0.2,,
1572864,5977,48,451.81,2388.9832,263,0.00035565761663747253,0.6524757146835327,9307.3505859375,0.0001,39794.68023986816,0.0315185546875,2940,0.39278051257133484,-1.9293029909953474,0.0049038418,0.2,,
1600000,,,,,,-0.0005060564291852643,0.659605860710144,16273.36328125,0.0001,42044.06491394043,0.0275787353515625,2950,0.39276543259620667,-1.929021944105625,0.0047019566,0.2,483.84,351.470458984375
1605632,6324,49,443.49,2253.9932,253,,,,,,,,,,,,,
1638400,6446,50,446.23,2025.6422,254,0.00046670509382238377,0.6629721522331238,10381.66015625,0.0001,38939.42115631104,0.040570068359375,2960,0.39272719621658325,-1.928812655992806,0.006156536,0.2,,
1671168,6568,51,433.59,1994.648,254,0.0004783686954397126,0.6758782267570496,9941.41796875,0.0001,33441.36571807861,0.0418975830078125,2970,0.39270806312561035,-1.9284938303753734,0.0055101817,0.2,,
1703936,6690,52,484.64,2815.1045,254,0.0002904364632740908,0.6427411139011383,12188.3662109375,0.0001,40693.092514038086,0.028167724609375,2980,0.392704576253891,-1.928365614078939,0.004216276,0.2,,
1736704,6812,53,464.13,2207.589,254,-0.000421381548858335,0.6651342809200287,12152.6884765625,0.0001,35649.91736755371,0.0281463623046875,2990,0.3927016258239746,-1.9283212350681425,0.004317209,0.2,,
1769472,6934,54,475.93,2593.5132,255,-7.351592394115869e-05,0.6682589054107666,12186.029296875,0.0001,38678.183102416995,0.0274566650390625,3000,0.3926668167114258,-1.9281657416373492,0.0042146184,0.2,,
1802240,7056,55,437.17,2441.4329,255,-8.507180828019046e-05,0.6501405835151672,11674.4013671875,0.0001,39713.43414154053,0.027294921875,3010,0.39262861013412476,-1.9278009040281177,0.0046004127,0.2,,
1835008,7179,56,455.87,2651.0789,255,-0.00026645541038305964,0.6464330554008484,12256.4033203125,0.0001,40204.62441711426,0.025836181640625,3020,0.39262208342552185,-1.9275789741426705,0.0044522304,0.2,,
1867776,7300,57,449.89,2529.36,255,0.00038276356826827396,0.5927808582782745,13786.533203125,0.0001,37364.4924331665,0.0562042236328125,3030,0.3925844430923462,-1.9273717498406768,0.006960273,0.2,,
1900544,7421,58,462.76,2565.1113,256,-0.00010330831582905375,0.6566069424152374,7015.27490234375,0.0001,34266.32317199707,0.026885986328125,3040,0.39251548051834106,-1.9268412712961436,0.0044754664,0.2,,
1933312,7544,59,468.89,2621.493,256,0.0004412619867252943,0.6895764768123627,8044.53564453125,0.0001,31467.665829467773,0.0306060791015625,3050,0.3925418257713318,-1.9265523882582785,0.004686002,0.2,,
1966080,7664,60,450.83,2616.8074,256,-6.02441656155861e-05,0.67048579454422,11826.7587890625,0.0001,37128.426040649414,0.0211578369140625,3060,0.39248424768447876,-1.926452437415719,0.0042444114,0.2,,
1998848,7785,61,465.64,2599.1548,256,0.0006212930322362809,0.7136397659778595,10782.2666015625,0.0001,34915.52099151611,0.021533203125,3070,0.39249318838119507,-1.9261581657454372,0.0037909606,0.2,,
2031616,7907,62,445.2,2179.6719,256,0.0008103321568341925,0.6923024356365204,8496.451171875,0.0001,35735.43371582031,0.02373046875,3080,0.3924817442893982,-1.926159623451531,0.003911542,0.2,,
