time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
139,3522,491520,15,352.01,6298.8,8183.11572265625,0.39236822724342346,41127.361037015915,0.7770364433526993,0.0001,0.2,0.0018405210237290247,0.008636465,2610,-1.9244625549414196,0.08978271484375,,
139,3770,524288,16,372.66,6851.4,4717.0966796875,0.39197829365730286,37699.64659469128,0.8028548359870911,0.0001,0.2,0.001414116541502608,0.008076464,2620,-1.9229576223995537,0.0773681640625,,
138,4018,557056,17,375.46,6950.8,3324.63916015625,0.39177438616752625,29963.821923923493,0.842178463935852,0.0001,0.2,0.0017073311472813658,0.008473298,2630,-1.9198217451921664,0.0899810791015625,,
138,4266,589824,18,376.73,7035.1,41935.87109375,0.39145806431770325,34837.644859862325,0.8192674815654755,0.0001,0.2,0.0013738339553469813,0.0091741085,2640,-1.9171659147483298,0.0889251708984375,,
137,4514,622592,19,368.99,6725.7,6461.90283203125,0.3912847638130188,40274.765640473364,0.8035525381565094,0.0001,0.2,0.0012803115846736547,0.008601751,2650,-1.9144354655174538,0.085626220703125,,
137,4758,655360,20,346.11,6365.5,7698.38671875,0.39132776856422424,39702.17889287472,0.7753989398479462,0.0001,0.2,0.001357872727828635,0.0086256005,2660,-1.9137995014316402,0.090191650390625,,
137,5005,688128,21,370.62,6885.6,9312.212890625,0.391227126121521,38730.08635687828,0.7859420329332352,0.0001,0.2,0.001171241963288594,0.009372256,2670,-1.913618491764646,0.0855072021484375,,
137,5251,720896,22,371.1,6777.3,4770.71875,0.3910364508628845,34353.635500025746,0.7882081121206284,0.0001,0.2,0.0018477730881954813,0.0087051485,2680,-1.9119887508219109,0.0918731689453125,,
137,5499,753664,23,350.86,6336.7,3581.798583984375,0.39107054471969604,33147.848057055475,0.7990240603685379,0.0001,0.2,-2.5095984494782896e-05,0.008085968,2690,-1.9111079689930193,0.077996826171875,,
136,5747,786432,24,395.66,7409.9,2718.432861328125,0.3907965123653412,36079.02096648216,0.7803146839141846,0.0001,0.2,0.0024429025807535254,0.009192582,2700,-1.9100475425482728,0.0948577880859375,,
136,5993,819200,25,377.32,6994.0,91045.28125,0.39080196619033813,34449.72518134117,0.7962841987609863,0.0001,0.2,0.0010185930553291201,0.008592743,2710,-1.908611988008488,0.0904754638671875,,
136,6240,851968,26,382.89,6988.5,4964.869140625,0.3905579745769501,40533.81713263989,0.7659101039171219,0.0001,0.2,0.0002540472367627444,0.006883576,2720,-1.9073036004789174,0.0709991455078125,,
136,6484,884736,27,387.47,7298.8,10492.990234375,0.39038267731666565,32736.119006562232,0.7718213051557541,0.0001,0.2,0.0016517295010515908,0.0086138,2730,-1.9050947505282239,0.087060546875,,
136,6729,917504,28,392.54,7468.8,4659.14990234375,0.3901600241661072,28289.68658144474,0.8017107546329498,0.0001,0.2,0.000651245623964769,0.007925261,2740,-1.9030298824305647,0.084759521484375,,
136,6975,950272,29,373.52,6711.3,4382.2490234375,0.39013904333114624,34005.00761191845,0.8091833144426346,0.0001,0.2,0.0003478403627013904,0.008041186,2750,-1.9015548390103505,0.077984619140625,,
136,7221,983040,30,387.67,6946.2,3653.81591796875,0.39000481367111206,34595.623476171495,0.754129946231842,0.0001,0.2,0.0005654152382021493,0.007461358,2760,-1.9010068586445414,0.0741302490234375,,
136,7468,1015808,31,404.76,7435.3,7965.8837890625,0.3897332549095154,35413.32530696392,0.7827092558145523,0.0001,0.2,0.0016812269148886116,0.008324688,2770,-1.8990114685730077,0.084765625,,
135,7714,1048576,32,421.1,7696.0,4808.85400390625,0.3895571231842041,34529.18001906872,0.7900769412517548,0.0001,0.2,0.0013987565860759331,0.008119024,2780,-1.8966156425187364,0.08441162109375,,
135,7961,1081344,33,416.41,7585.5,19838.4609375,0.3892936110496521,34174.21367123127,0.7935919463634491,0.0001,0.2,0.0008519657040778839,0.008216761,2790,-1.894162137946114,0.081158447265625,,
