rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/std,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
301.0,292,15,122880,420,452.9409,11334.94507446289,0.00015869140625,0.2,0.14955127239227295,140,6619.38037109375,0.001,1.0044479370117188,0.0006627372,-5.692363348603249,-0.0003280037228250876,,
301.0,292,16,131072,447,451.45157,8261.810800170899,0.0,0.2,0.18006354570388794,150,2852.9072265625,0.001,1.0047240257263184,0.00019021049,-5.693789049983025,-0.00014479980891337618,,
301.0,293,17,139264,475,439.4678,8676.680790710448,0.0,0.2,0.1851077675819397,160,4131.2021484375,0.001,1.0049011707305908,0.0003053542,-5.694638761878013,-9.048653246281901e-05,,
301.0,293,18,147456,502,455.25473,13766.032470703125,4.8828125e-05,0.2,0.12599265575408936,170,6499.35546875,0.001,1.0052499771118164,0.0002767941,-5.6956396251916885,-0.0003091397760726977,,
301.0,293,19,155648,529,451.21918,10641.015798950195,8.544921875e-05,0.2,0.21452903747558594,180,4599.07275390625,0.001,1.0060575008392334,0.00048381835,-5.697973915934563,-5.1511090714484456e-05,,
301.0,293,20,163840,557,394.68146,10863.486735534669,6.103515625e-05,0.2,0.1833662986755371,190,5844.39501953125,0.001,1.006690502166748,0.0005315923,-5.700899592041969,-0.0005188336894207168,,
301.0,294,21,172032,584,455.48315,7537.153945922852,1.220703125e-05,0.2,0.24902766942977905,200,4611.07080078125,0.001,1.0075851678848267,0.00038402656,-5.703631427884102,-5.375791733968072e-05,,
301.0,294,22,180224,612,424.4549,12511.150036621093,0.00029296875,0.2,0.1634250283241272,210,3211.61865234375,0.001,1.0078762769699097,0.0007924539,-5.706360110640526,0.00043378389673307536,,
301.0,294,23,188416,639,500.7426,13364.924082946778,0.0005615234375,0.2,0.17253202199935913,220,5610.17138671875,0.001,1.0082027912139893,0.00061350607,-5.707669919729232,-0.0004974089250026736,,
301.0,294,24,196608,667,506.3295,11966.678286743165,9.765625e-05,0.2,0.11448687314987183,230,6316.13671875,0.001,1.0078845024108887,0.00035851687,-5.707693022489548,-0.00018925356671388726,,
301.0,295,25,204800,694,552.3781,8853.81544342041,0.00029296875,0.2,0.2190726399421692,240,5665.50390625,0.001,1.0075979232788086,0.0005598593,-5.706331065297126,0.0001957948028575629,,
301.0,294,26,212992,722,564.97046,16303.673086547851,0.00372314453125,0.2,0.17459285259246826,250,7714.67236328125,0.001,1.0075494050979614,0.0012200738,-5.705756735801697,-0.0005178006082132925,,
301.0,294,27,221184,750,554.92206,12384.037872314453,0.00062255859375,0.2,0.20410233736038208,260,4623.66796875,0.001,1.0076642036437988,0.00055515766,-5.70583476126194,-0.0005638586371787824,,
301.0,294,28,229376,778,632.6845,12210.771682739258,0.00045166015625,0.2,0.22835475206375122,270,7427.61376953125,0.001,1.0074247121810913,0.00049162493,-5.705705690383911,0.0005843242055561859,,
301.0,294,29,237568,806,555.1841,18387.185705566408,0.0001220703125,0.2,0.18834024667739868,280,9383.4892578125,0.001,1.007298469543457,0.00036095543,-5.704914009571075,0.00017876972051453777,,
301.0,294,30,245760,834,558.09576,11422.806980895995,0.0118896484375,0.2,0.18968039751052856,290,5178.43017578125,0.001,1.007346272468567,0.0019965377,-5.704597550630569,-0.00018163332788390107,,
301.0,294,31,253952,863,575.1631,14020.580195617677,0.00103759765625,0.2,0.21829086542129517,300,6756.810546875,0.001,1.0071508884429932,0.0008251921,-5.704411453008651,-0.00014335599626065233,,
