time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
53,320,868352,6740.2573,771.19,2709,0.2,0.0006477371047367342,0.742412805557251,2990,7686.49658203125,0.0003,-1.9265515938401223,0.0280517578125,0.39253559708595276,0.0049343854,22705.39794921875,,
54,320,884736,6770.355,776.91,2759,0.2,-0.0006702959552058018,0.7241657078266144,3000,7554.9462890625,0.0003,-1.9256940007209777,0.033740234375,0.3924688398838043,0.0049442844,25189.044702148436,,
55,320,901120,7055.554,806.62,2810,0.2,0.000559566923766397,0.6932805478572845,3010,8124.6796875,0.0003,-1.9253645896911622,0.030743408203125,0.39248397946357727,0.0055219783,29754.490454101564,,
56,320,917504,7229.859,820.49,2860,0.2,0.0004694543946243357,0.73268723487854,3020,6506.9609375,0.0003,-1.925454853475094,0.041949462890625,0.39246866106987,0.0067893025,22773.342028808594,,
57,320,933888,7296.11,820.75,2910,0.2,4.910811258014291e-05,0.7144321501255035,3030,6045.8740234375,0.0003,-1.9249490171670913,0.040557861328125,0.39236605167388916,0.006286866,23701.191455078126,,
58,320,950272,7691.6045,846.01,2960,0.2,-0.00010033770959125832,0.741722583770752,3040,5651.79345703125,0.0003,-1.9239869326353074,0.031439208984375,0.3923012316226959,0.0047088666,22025.206872558592,,
59,321,966656,7739.254,851.61,3010,0.2,0.0006442274854634889,0.7523900121450424,3050,7718.5634765625,0.0003,-1.923376089334488,0.02071533203125,0.3922424912452698,0.004578188,25824.828271484374,,
60,321,983040,7745.91,857.44,3061,0.2,0.00029034192375547717,0.722352147102356,3060,7668.546875,0.0003,-1.9228935286402702,0.031048583984375,0.392223060131073,0.0049254205,24145.403271484374,,
61,321,999424,8012.1475,868.85,3112,0.2,0.0007635823814780452,0.7867785841226578,3070,4712.4931640625,0.0003,-1.9227016106247903,0.028533935546875,0.3921855092048645,0.0048484458,21049.398010253906,,
62,321,1015808,7936.9907,867.49,3162,0.2,0.00026051957756862977,0.7695966958999634,3080,5716.2705078125,0.0003,-1.9221253246068954,0.04493408203125,0.39211827516555786,0.0063009327,21983.329370117186,,
63,321,1032192,8165.12,886.91,3213,0.2,0.00036017549136886374,0.6769310235977173,3090,7421.1865234375,0.0003,-1.9216490492224694,0.034552001953125,0.3921063542366028,0.004919622,25688.041162109374,,
64,321,1048576,8188.917,895.31,3264,0.2,-0.0007081221163389273,0.7746559381484985,3100,6011.66064453125,0.0003,-1.9216451928019525,0.01844482421875,0.392116516828537,0.0039854026,21372.24919433594,,
65,321,1064960,8179.5796,889.29,3315,0.2,-0.0012243378339917399,0.723446249961853,3110,6949.1796875,0.0003,-1.9215484350919723,0.030706787109375,0.39206406474113464,0.0055729435,26542.34775390625,,
