time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
6542,46,11727.647,230,1060.73,1507328,0.0001,0.6098768413066864,5614.37890625,30685.279643249512,-1.9064690034836531,0.2,0.0058137625,3.829336037597386e-06,0.39054563641548157,0.049237060546875,2920,,
6686,47,11410.251,230,1033.96,1540096,0.0001,0.6441487371921539,10771.7333984375,31293.358319091796,-1.9056867104023696,0.2,0.0049340706,0.0003281286233686842,0.3904668390750885,0.0336517333984375,2930,,
6831,48,11963.625,230,1082.16,1572864,0.0001,0.6038141846656799,9891.1494140625,33671.99306640625,-1.904893235489726,0.2,0.0060316036,-0.0010152828946957016,0.3903979957103729,0.0422149658203125,2940,,
,,,,,1600000,0.0001,0.685733824968338,12505.7587890625,27310.286001586916,-1.9041358967311681,0.2,0.005895719,2.5036831812030868e-05,0.3903125822544098,0.04542236328125,2950,1375.67,9271.9384765625
7580,49,12358.947,211,1122.17,1605632,,,,,,,,,,,,,
7722,50,12368.513,212,1150.89,1638400,0.0001,0.6998676955699921,8878.8193359375,27950.128318023682,-1.903234840091318,0.2,0.00548964,0.00044284157906986364,0.3902224004268646,0.0382476806640625,2960,,
7867,51,12645.562,212,1189.65,1671168,0.0001,0.626995325088501,10654.1259765625,29486.816474151612,-1.9028503136709332,0.2,0.00637259,0.000809591782035568,0.3902469873428345,0.048529052734375,2970,,
8011,52,12530.295,212,1178.52,1703936,0.0001,0.6511810719966888,12878.8017578125,27071.425674438477,-1.9026625503785908,0.2,0.005352566,0.00019973884009232278,0.3901784121990204,0.0438995361328125,2980,,
8160,53,12876.428,212,1177.43,1736704,0.0001,0.6477534770965576,7466.04345703125,27269.52356033325,-1.9021586716175078,0.2,0.0063265385,0.0010837753162377338,0.3901619613170624,0.0563079833984375,2990,,
8307,54,12904.094,212,1157.42,1769472,0.0001,0.7166211009025574,10698.8896484375,31539.57787399292,-1.9016203694045544,0.2,0.0061662085,0.000536780379479751,0.39007705450057983,0.05377197265625,3000,,
8453,55,12907.406,213,1167.01,1802240,0.0001,0.6763300895690918,11652.0,26514.338173675536,-1.900956722907722,0.2,0.0050792415,0.0006111890190368286,0.39004141092300415,0.035882568359375,3010,,
8601,56,13305.582,213,1178.11,1835008,0.0001,0.5964210629463196,8740.83203125,28250.228967285155,-1.9010538361035287,0.2,0.0061653247,-0.0004012950010292116,0.3901039659976959,0.0487518310546875,3020,,
8748,57,13165.15,213,1184.65,1867776,0.0001,0.5594659149646759,9353.9140625,30311.92082824707,-1.9007960457354784,0.2,0.0055240644,0.0007884083353019378,0.38998347520828247,0.03707275390625,3030,,
8891,58,12622.714,213,1186.05,1900544,0.0001,0.6515541076660156,8208.4091796875,28206.38226470947,-1.899667819123715,0.2,0.0055537503,0.0007969075271830661,0.3898846507072449,0.0469451904296875,3040,,
9038,59,12778.027,213,1201.33,1933312,0.0001,0.37782859802246094,219878.234375,165719.6760910034,-1.8986438428983092,0.2,0.0062308675,2.8258153588467393e-05,0.38977742195129395,0.0524871826171875,3050,,
9182,60,12934.29,214,1229.43,1966080,0.0001,0.6921218931674957,6989.046875,25357.78045654297,-1.8977512174285949,0.2,0.0054233572,-5.178267865630914e-05,0.3897082209587097,0.04202880859375,3060,,
9329,61,12928.638,214,1243.73,1998848,0.0001,0.6819100081920624,8478.0224609375,27951.80554046631,-1.8966793107800186,0.2,0.006310952,0.00041521752418702815,0.3895605206489563,0.051177978515625,3070,,
9474,62,13123.051,214,1180.76,2031616,0.0001,0.759655237197876,7228.55908203125,28559.306698608398,-1.895699863974005,0.2,0.0052039432,0.0007203931731964985,0.3895180821418762,0.034765625,3080,,
