time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction
2421,819200,1613.0,338,438.68,25,0.002768672778211112,0.01546763,-1.7779488395899534,0.001,3065.062255859375,0.3780314028263092,0.6456604301929474,3330,0.2,12340.437509918213,0.1891082763671875
2533,851968,1433.9916,336,425.32,26,0.004555182168314786,0.016336605,-1.7717804321087898,0.001,7456.86083984375,0.37714284658432007,0.6908732056617737,3340,0.2,12150.007154846191,0.177093505859375
2632,884736,1561.0,336,432.71,27,0.0010163726181417587,0.013902922,-1.7640850047580898,0.001,2901.02978515625,0.3765825629234314,0.6749252080917358,3350,0.2,11986.194843673706,0.1565948486328125
2727,917504,1356.0,336,417.13,28,0.0027874178255842706,0.017353598,-1.759037553332746,0.001,3369.09912109375,0.37624868750572205,0.644476056098938,3360,0.2,11336.278892707825,0.1939117431640625
2823,950272,1380.1797,336,409.37,29,0.002157121991513122,0.01670371,-1.755206397920847,0.001,3189.736083984375,0.37598860263824463,0.6288122534751892,3370,0.2,13677.09171142578,0.189495849609375
2923,983040,1621.8649,336,420.08,30,0.0029435693113555317,0.018738225,-1.7506135358475148,0.001,1942.41015625,0.37530940771102905,0.6071641743183136,3380,0.2,12677.364175605773,0.2083404541015625
3019,1015808,1694.08,336,433.11,31,0.0027540274181774294,0.015895294,-1.7440177853219212,0.001,2409.12353515625,0.37462493777275085,0.6389704048633575,3390,0.2,13045.740873908997,0.1884796142578125
3114,1048576,1647.0,336,437.9,32,0.004141247648749413,0.015891695,-1.7403041538782418,0.001,2014.958984375,0.37464699149131775,0.6726547181606293,3400,0.2,10938.396327590943,0.17962646484375
3208,1081344,1789.8236,336,438.51,33,0.003111100380647258,0.015292882,-1.7397755878977477,0.001,2174.76708984375,0.37448278069496155,0.6180807650089264,3410,0.2,14348.078849601745,0.1726348876953125
3304,1114112,2115.9202,337,453.45,34,0.004333454299467121,0.015848286,-1.737257699854672,0.001,2063.939453125,0.3743091821670532,0.6619666516780853,3420,0.2,13064.159610176086,0.19010009765625
3399,1146880,1710.891,337,435.74,35,0.002466293379802664,0.014370624,-1.7315415985882283,0.001,1846.7158203125,0.3734782934188843,0.6798249781131744,3430,0.2,12368.624014663696,0.1676025390625
3490,1179648,1111.0,337,401.69,36,0.0012688568381008735,0.015107131,-1.720102722477168,0.001,2683.214599609375,0.3721054494380951,0.6988603174686432,3440,0.2,12077.809465408325,0.1763916015625
3582,1212416,1481.937,338,415.08,37,0.0017895478848913627,0.015604191,-1.7110271746292711,0.001,1618.72802734375,0.3716210722923279,0.7151941657066345,3450,0.2,11098.582008934021,0.1790740966796875
