time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
22,720896,1530,124.47,471,-1669.8939,0.01,22580.549349975587,0.851312255859375,11820.6376953125,0.0,0.23522797397818068,5.168992042541504,210,-11.95670323073864,30.767548,0.2
23,753664,1602,301.0,470,-612.58905,0.01,15105.748933410645,0.8860748291015625,6168.7080078125,0.0,0.2647880410120706,4.75021505355835,220,-11.802855432033539,39.23129,0.2
24,786432,1670,301.0,470,-926.94763,0.01,7894.973317718506,0.8055084228515625,4369.18115234375,0.0,0.16555798073040934,5.522668838500977,230,-12.14983641654253,16.919304,0.2
25,819200,1738,124.09,471,-1697.3444,0.01,5593.218197250366,0.9164642333984375,2905.704345703125,0.0,0.19003602281591156,6.318768501281738,240,-12.847043851017952,31.572918,0.2
26,851968,1811,124.93,470,-1732.9899,0.01,19441.293698120116,0.592108154296875,9523.150390625,0.0,0.14631452697904024,6.580427169799805,250,-12.972141200304032,51.163322,0.2
27,884736,1879,301.0,470,-873.88635,0.01,16654.05467529297,0.5871826171875,8503.7197265625,0.0,0.14497933435823143,6.951574325561523,260,-13.192954666912556,27.228823,0.2
28,917504,1946,301.0,471,-693.3924,0.01,7667.351956939698,0.63424072265625,3914.267333984375,0.0,0.11711813101082953,8.623981475830078,270,-13.748063200712204,10.358186,0.2
29,950272,2014,153.81,471,-1863.9532,0.01,5802.1512100219725,0.8381256103515625,1961.63134765625,-1.1920928955078125e-07,0.18953443656264427,10.494402885437012,280,-14.825122579932213,26.07425,0.2
30,983040,2081,153.68,472,-1873.1798,0.01,20366.90140991211,0.2555877685546875,10987.6513671875,1.1920928955078125e-07,0.032309685757536497,10.475451469421387,290,-14.926348921656608,0.029385086,0.2
31,1015808,2149,146.29,472,-1880.0481,0.01,17091.89244995117,0.2354766845703125,10621.7451171875,0.0,0.02123144835004496,10.71683120727539,300,-14.972284077107906,0.021620262,0.2
