time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
2887,1245184,1307.0,431,403.67,38,0.000688738143799128,0.0074751964,-1.8557997599244118,0.001,5606.35205078125,0.3857281506061554,0.7566331624984741,3460,0.2,17860.482641601564,0.084356689453125,,
2962,1277952,1228.9832,431,404.32,39,0.0015859336868743411,0.006961232,-1.8548126712441444,0.001,6191.27392578125,0.3855022192001343,0.7057523429393768,3470,0.2,18784.88331298828,0.0743927001953125,,
3038,1310720,1108.9808,431,390.28,40,0.0012837888396461494,0.008706149,-1.8528016708791255,0.001,5719.90673828125,0.3853763937950134,0.7215976417064667,3480,0.2,19444.772106933593,0.0932708740234375,,
3112,1343488,1016.8926,431,394.69,41,-1.0018655666499399e-05,0.006134161,-1.851173046976328,0.001,5678.77294921875,0.38516074419021606,0.754248857498169,3490,0.2,20921.823779296876,0.0518524169921875,,
3186,1376256,1070.8508,431,390.85,42,0.0018453883414622397,0.0062926486,-1.8492105595767498,0.001,5378.712890625,0.3850247859954834,0.7267647683620453,3500,0.2,22115.091540527344,0.0608551025390625,,
3259,1409024,869.34644,432,384.79,43,0.00034600174731167497,0.00719121,-1.8470908492803573,0.001,6431.55224609375,0.3847846984863281,0.7610962241888046,3510,0.2,17651.440466308595,0.07423095703125,,
3333,1441792,811.0,432,385.14,44,0.00011094302026322111,0.0075373948,-1.845198254287243,0.001,9457.142578125,0.38462013006210327,0.7500959038734436,3520,0.2,18508.775799560546,0.0707733154296875,,
3405,1474560,838.0034,433,379.5,45,0.0019031333751627244,0.008177523,-1.8439041689038276,0.001,5462.20458984375,0.38455092906951904,0.7278363704681396,3530,0.2,19206.270703125,0.07510986328125,,
3479,1507328,1129.9954,433,403.8,46,0.000760746571540949,0.006029835,-1.8431800805032252,0.001,6079.3251953125,0.3844541907310486,0.7564340531826019,3540,0.2,23094.737646484376,0.0732818603515625,,
3552,1540096,1053.1093,433,390.84,47,0.0017417744962585856,0.007057852,-1.8418833218514918,0.001,4165.43505859375,0.3842999041080475,0.8116880655288696,3550,0.2,13663.929779052734,0.0704681396484375,,
3628,1572864,1449.0281,433,413.62,48,0.0028184308008349034,0.009276701,-1.8401038102805614,0.001,5344.95849609375,0.3841390013694763,0.7204257845878601,3560,0.2,20217.46026611328,0.10504150390625,,
,1600000,,,,,0.001795477404812118,0.009063082,-1.838063334673643,0.001,5660.93359375,0.38387906551361084,0.7361160814762115,3570,0.2,19445.42021484375,0.0940673828125,387.0,1082.3603515625
3800,1605632,1215.4279,422,395.33,49,,,,,,,,,,,,,
3874,1638400,986.2548,422,382.9,50,0.0005788946073153056,0.008097297,-1.8356629617512226,0.001,7207.16455078125,0.3837144076824188,0.7408251464366913,3580,0.2,22775.69585571289,0.0793426513671875,,
3951,1671168,1216.8289,422,398.04,51,0.002458347033098107,0.008983592,-1.8343608193099499,0.001,6452.82177734375,0.3836074769496918,0.7475868761539459,3590,0.2,20517.714459228515,0.0819305419921875,,
4025,1703936,1315.0,423,410.46,52,0.0020100315938179846,0.008742147,-1.8331874169409275,0.001,6276.654296875,0.3834361135959625,0.7289279997348785,3600,0.2,22168.528619384764,0.081884765625,,
4099,1736704,929.0,423,394.04,53,0.0016870406921952962,0.009594207,-1.8309045188128947,0.001,4941.4755859375,0.383228600025177,0.7280408442020416,3610,0.2,17880.94825439453,0.1059173583984375,,
4173,1769472,772.4578,423,390.09,54,0.001503130565470201,0.0075286888,-1.829141440242529,0.001,5520.431640625,0.3830716609954834,0.7359949350357056,3620,0.2,18171.516339111327,0.0698211669921875,,
4247,1802240,933.2885,424,399.76,55,0.0019854820588079748,0.008601952,-1.8279633484780788,0.001,5676.49560546875,0.3830507695674896,0.7570879757404327,3630,0.2,17588.77964477539,0.091033935546875,,
4321,1835008,758.86053,424,384.06,56,0.000702838652068749,0.008743638,-1.8276327766478062,0.001,4815.3740234375,0.3829648494720459,0.7446636259555817,3640,0.2,17727.94270629883,0.0941253662109375,,
4395,1867776,824.5853,424,385.65,57,0.002098025989471353,0.008949476,-1.8267134740948676,0.001,6918.224609375,0.3828867971897125,0.7573884129524231,3650,0.2,18578.45947265625,0.0961700439453125,,
4470,1900544,909.0,425,381.04,58,0.0012801371702153119,0.007216431,-1.8260628320276737,0.001,5347.1298828125,0.3828141689300537,0.7706646174192429,3660,0.2,18998.656628417968,0.0723236083984375,,
4544,1933312,1138.9998,425,386.93,59,0.0009809076538658701,0.0074958373,-1.8246990002691745,0.001,8060.53515625,0.38263171911239624,0.7371807396411896,3670,0.2,19738.77032470703,0.0830780029296875,,
4619,1966080,1053.729,425,392.64,60,0.0029932892965007342,0.00967275,-1.8232325054705143,0.001,7759.45751953125,0.3825291097164154,0.7341040372848511,3680,0.2,23133.83269042969,0.0980255126953125,,
4694,1998848,985.0,425,386.05,61,0.0020766451849340227,0.007624013,-1.8224696964025497,0.001,10414.9970703125,0.3825111985206604,0.7633364051580429,3690,0.2,23432.222302246093,0.0803558349609375,,
4768,2031616,1006.8348,426,386.22,62,0.0020126918025198393,0.0081964955,-1.8222567677497863,0.001,5086.708984375,0.38245752453804016,0.7410627603530884,3700,0.2,20208.71826171875,0.0891357421875,,
