time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
33,576.5887,415,2602,301.0,1081344,320,5232.900493621826,3842.572998046875,0.0007634360226802528,0.001,0.040716552734375,0.9193595051765442,0.0044365283,-5.342376299202442,0.2,0.1237860918045044,,
34,715.72015,415,2681,301.0,1114112,330,5800.486050796509,3768.171875,-0.0014016376735526137,0.001,0.035247802734375,0.9150735139846802,0.005007647,-5.326805157959461,0.2,0.10667413473129272,,
35,745.24054,415,2760,301.0,1146880,340,6263.999641799926,1924.8909912109375,9.948596816684585e-05,0.001,0.053240966796875,0.9092550873756409,0.006200615,-5.3029705747962,0.2,0.02550661563873291,,
36,746.54266,415,2840,301.0,1179648,350,8064.331943511963,2842.171142578125,-0.001062794300742098,0.001,0.0461517333984375,0.901594877243042,0.0057151313,-5.27362099736929,0.2,0.02305501699447632,,
37,699.09406,415,2918,301.0,1212416,360,5832.123441696167,1499.54150390625,0.00030475718122033866,0.001,0.0528106689453125,0.8968967795372009,0.005783339,-5.246447631716729,0.2,0.04381299018859863,,
38,870.03955,415,2997,301.0,1245184,370,5462.280681610107,1649.444091796875,-0.0008110915001452668,0.001,0.0515625,0.8905031681060791,0.0063349064,-5.2194474816322325,0.2,0.017941951751708984,,
39,868.0458,415,3076,301.0,1277952,380,8258.301652526856,2039.8138427734375,-0.000547006270426209,0.001,0.0659576416015625,0.8842300772666931,0.006629838,-5.191212218999863,0.2,0.0318332314491272,,
40,877.43506,415,3155,301.0,1310720,390,7794.461996459961,2540.093994140625,-0.0008769593259785324,0.001,0.0724822998046875,0.8769089579582214,0.008155981,-5.161639782786369,0.2,0.07571285963058472,,
41,1030.194,415,3234,301.0,1343488,400,7677.659549713135,1961.55908203125,0.0005673158786521526,0.001,0.0658538818359375,0.874779224395752,0.007064296,-5.139489509165287,0.2,0.08466637134552002,,
42,1046.8174,415,3313,301.0,1376256,410,9302.978397369385,3182.2880859375,0.00048730141497799195,0.001,0.069970703125,0.8734672665596008,0.0074303527,-5.129975225031376,0.2,0.15242427587509155,,
43,1189.3843,415,3392,301.0,1409024,420,10181.275894165039,3874.35400390625,0.0005355549721571152,0.001,0.05440673828125,0.8709363341331482,0.0063281357,-5.121513731777668,0.2,0.17473691701889038,,
44,1235.3032,415,3471,301.0,1441792,430,9970.95418548584,2870.83056640625,0.0005172485705770668,0.001,0.06551513671875,0.865719199180603,0.0069618113,-5.104232142865658,0.2,0.1794787049293518,,
45,1160.7477,415,3550,301.0,1474560,440,11044.734086608887,2425.40380859375,0.0009195416350848973,0.001,0.066632080078125,0.8620561361312866,0.0068257377,-5.082660865783692,0.2,0.10680359601974487,,
46,1266.3978,415,3629,301.0,1507328,450,10826.398446655274,3138.0205078125,0.00022225071261345876,0.001,0.0751556396484375,0.8576835989952087,0.007233437,-5.063876639306545,0.2,0.12413227558135986,,
47,1282.9415,415,3707,301.0,1540096,460,9997.855400848388,3208.20947265625,0.00037264483034959994,0.001,0.0733062744140625,0.85394287109375,0.0071210833,-5.044978304207325,0.2,0.14199590682983398,,
48,1114.9812,415,3785,301.0,1572864,470,10763.807129669189,2811.1416015625,0.001318926992098568,0.001,0.0732147216796875,0.849431037902832,0.0074583553,-5.025313052535057,0.2,0.22319138050079346,,
,,,,,1600000,480,10614.963845825196,2176.494384765625,-0.0002921779745520325,0.001,0.0690155029296875,0.8456566333770752,0.0070536593,-5.005098952353,0.2,0.24144017696380615,4074.792236328125,301.0
49,1243.3448,407,3937,301.0,1605632,,,,,,,,,,,,,
50,1098.8389,407,4016,301.0,1638400,490,10482.140727233887,1863.3092041015625,0.0022411235677282093,0.001,0.103704833984375,0.8390529751777649,0.009140851,-4.980611689388752,0.2,0.19830024242401123,,
51,1293.1812,408,4095,301.0,1671168,500,8235.44457244873,3199.731201171875,0.00025958594742405696,0.001,0.074932861328125,0.8334318399429321,0.0077882814,-4.950631837546825,0.2,0.20989161729812622,,
52,1381.6681,408,4174,301.0,1703936,510,10781.464233398438,2075.297119140625,0.0009120226244704099,0.001,0.0854461669921875,0.8298460841178894,0.0079628695,-4.928603604435921,0.2,0.2631506323814392,,
53,1337.9686,408,4253,301.0,1736704,520,11736.17755279541,4949.32666015625,0.0007633455192262772,0.001,0.0966644287109375,0.8267595767974854,0.008259771,-4.912620587646961,0.2,0.24584168195724487,,
54,1580.0496,408,4331,301.0,1769472,530,11846.830360412598,1983.2763671875,0.0004380130656500114,0.001,0.0884124755859375,0.8211514949798584,0.008744491,-4.890608172118664,0.2,0.21970927715301514,,
55,1603.1115,408,4410,301.0,1802240,540,12674.699955749511,2120.1220703125,0.0014221465597074711,0.001,0.1057159423828125,0.8183577060699463,0.009730952,-4.870735637843609,0.2,0.2771145701408386,,
56,1836.4122,408,4488,301.0,1835008,550,14754.955784606933,4301.00927734375,0.0010358583207562334,0.001,0.09315185546875,0.8152613043785095,0.008733202,-4.855876038968563,0.2,0.21425741910934448,,
57,1946.2816,408,4566,300.77,1867776,560,14344.090647888184,2427.19873046875,0.0018748234360828064,0.001,0.1114044189453125,0.8122389316558838,0.01004375,-4.840468584001064,0.2,0.3048851490020752,,
58,1964.9504,409,4645,301.0,1900544,570,17711.432855224608,4316.10791015625,0.0020676461088442013,0.001,0.1212890625,0.810900866985321,0.01080143,-4.829411226511001,0.2,0.2610839009284973,,
59,1954.5033,409,4723,299.17,1933312,580,18100.87749633789,3952.5,0.002119611387752229,0.001,0.09398193359375,0.8097233176231384,0.009315074,-4.822820238769054,0.2,0.2525644898414612,,
60,2131.8403,409,4802,301.0,1966080,590,17445.044444274903,4967.408203125,0.001706318208380253,0.001,0.112017822265625,0.8055373430252075,0.010377438,-4.808942529559135,0.2,0.3382316827774048,,
61,2328.9856,409,4880,298.62,1998848,600,18731.128665161134,4654.23486328125,0.002275788252154598,0.001,0.1195220947265625,0.8021078705787659,0.010138709,-4.790168423950672,0.2,0.33701449632644653,,
62,2736.172,409,4959,301.0,2031616,610,18657.592967224122,5978.64208984375,0.0006376866600476206,0.001,0.0956695556640625,0.7998309135437012,0.009566061,-4.776156552135944,0.2,0.37878066301345825,,
