time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
12,301.0,393216,580,677,-124.24801,0.2,1e-05,0.000885009765625,110,0.002458032,438.44808783531187,0.992851734161377,-0.001014360055251018,-5.647091113775969,172.18145751953125,0.2918052077293396
13,301.0,425984,579,734,-131.05812,0.2,1e-05,3.0517578125e-06,120,0.0010613546,457.86897201538085,0.9928595423698425,-0.0004254542737726297,-5.64705116674304,183.8219451904297,0.5046212375164032
14,301.0,458752,578,792,-132.75775,0.2,1e-05,1.52587890625e-05,130,0.0011431996,466.3571128845215,0.9928807020187378,-0.0004367787625596975,-5.647111435979605,209.71827697753906,0.6475358307361603
15,301.0,491520,578,849,-132.99092,0.2,1e-05,6.103515625e-06,140,0.0010127141,1413.3546639442443,0.9928596615791321,-0.0003876715726619295,-5.6471250705420974,223.68048095703125,0.4970638155937195
16,301.0,524288,578,906,-87.16783,0.2,1e-05,0.0004669189453125,150,0.0022459342,821.0226893901824,0.9929100275039673,-0.0007863161526984186,-5.647167780250311,238.27517700195312,0.6744470596313477
17,301.0,557056,577,964,-92.18157,0.2,1e-05,0.000390625,160,0.0020976763,1295.7897078037263,0.9928688406944275,-0.0006500281896478554,-5.647223591804504,230.24569702148438,0.6000021994113922
18,301.0,589824,576,1022,-91.036865,0.2,1e-05,0.000634765625,170,0.0022534183,1043.645594215393,0.9927480816841125,-0.0007288083144885605,-5.646879218518734,641.5712280273438,0.6629689633846283
19,301.0,622592,577,1078,-163.22052,0.2,1e-05,0.0016387939453125,180,0.0029352715,1960.403523349762,0.9926733374595642,-0.0007371491082267312,-5.646523033082485,385.2452697753906,0.5379263162612915
20,301.0,655360,577,1135,-158.10931,0.2,1e-05,0.0029693603515625,190,0.003264471,1104.826708316803,0.9926326274871826,-0.000773363641837932,-5.646282433718443,592.6103515625,0.697334885597229
21,301.0,688128,577,1191,-114.844406,0.2,1e-05,0.012469482421875,200,0.0036869976,825.4037578582763,0.9923888444900513,-0.001409014561522781,-5.645780099928379,473.5105285644531,0.7547997832298279
22,301.0,720896,577,1248,1.2136104,0.2,1e-05,0.00509033203125,210,0.0033922158,1361.670371866226,0.9922877550125122,-0.0008628456118458417,-5.645027461647987,635.6395263671875,0.6674661338329315
23,301.0,753664,576,1307,52.79773,0.2,1e-05,0.0047149658203125,220,0.0036017934,1321.1298152446748,0.9921848773956299,-0.0007724236435024068,-5.644578275829554,676.8778686523438,0.6615542471408844
24,301.0,786432,576,1363,9.313992,0.2,1e-05,0.00386962890625,230,0.0034892203,1646.836654138565,0.992219090461731,-0.0005419325249022222,-5.644467336684466,1185.253173828125,0.6069916486740112
25,301.0,819200,576,1420,91.46527,0.2,1e-05,0.011700439453125,240,0.0032142736,429.6323297977448,0.9921147227287292,-0.0010578805456134433,-5.644423696398735,217.2208709716797,0.8500382602214813
26,301.0,851968,577,1476,78.979256,0.2,1e-05,0.0066650390625,250,0.0037146169,1289.9924372196197,0.9918872117996216,-0.0009830630026044674,-5.643719486892223,508.3321228027344,0.6281427145004272
27,301.0,884736,577,1533,101.98312,0.2,1e-05,0.0007965087890625,260,0.002290401,1526.1402859687805,0.9921480417251587,-0.0004702285321400268,-5.643734767287969,278.564697265625,0.6039762794971466
28,301.0,917504,577,1589,148.8334,0.2,1e-05,0.01043701171875,270,0.0035914741,752.2717071056366,0.9921485781669617,-0.0009104339379064185,-5.644417912513018,238.59512329101562,0.7198517024517059
29,301.0,950272,577,1645,173.3459,0.2,1e-05,0.016046142578125,280,0.0043527307,1621.1913660526275,0.9918494820594788,-0.0011078708128479775,-5.643729583919049,292.9874572753906,0.5024727880954742
30,301.0,983040,577,1702,198.39574,0.2,1e-05,0.005572509765625,290,0.0032971078,1005.2638811588288,0.9913502931594849,-0.000657323291125067,-5.642167634516954,661.225830078125,0.637056827545166
31,301.0,1015808,577,1758,164.59468,0.2,1e-05,0.0137237548828125,300,0.003840095,1013.6782008171082,0.9907227754592896,-0.0010849392605450704,-5.639872191101313,189.83657836914062,0.6199471056461334
