rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/std,train/clip_fraction,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
297.17,81.0,2492,36,473,1179648,0.2,0.8359612077474594,-0.00072996749295271,-1.916906126588583,2820,1270.219927930832,92.16314697265625,0.39153164625167847,0.0040008544921875,0.0001,0.0014053732,,
301.0,0.0,2556,37,474,1212416,0.2,0.7510549873113632,-0.0006210596427990822,-1.9168210361152886,2830,153.24702984392644,4.763817310333252,0.391510933637619,0.0008697509765625,0.0001,0.0011453374,,
292.63,26.0,2619,38,475,1245184,0.2,0.3330567479133606,0.004714157350099413,-1.913088833913207,2840,0.7992032093461603,0.11811290681362152,0.3908771574497223,0.172998046875,0.0001,0.007998888,,
298.38,40.0,2683,39,476,1277952,0.2,0.8579687923192978,0.0011929034122658776,-1.9092772386968135,2850,508.40825272798537,168.03170776367188,0.3908034861087799,0.2984710693359375,0.0001,0.017883051,,
302.28,40.0,2747,40,476,1310720,0.2,0.7894601672887802,-0.00039690185576546355,-1.9093110039830208,2860,235.42510591596366,53.6380615234375,0.39080774784088135,0.0071014404296875,0.0001,0.0020545477,,
297.6,47.0,2814,41,477,1343488,0.2,0.8514290153980255,-0.0009215028911057743,-1.9092459935694932,2870,357.56706354916093,13.499161720275879,0.39078396558761597,0.0048736572265625,0.0001,0.0025247692,,
297.69,36.0,2878,42,478,1376256,0.2,0.6244101524353027,-0.00014985955276642927,-1.9090817391872406,2880,7461.342843985558,8051.193359375,0.3907831907272339,0.002960205078125,0.0001,0.001813217,,
293.25,26.0,2943,43,478,1409024,0.2,0.8175061494112015,-0.0008005219637198024,-1.9091395530849695,2890,354.73147353827954,21.53653335571289,0.39080119132995605,0.0033660888671875,0.0001,0.0014773251,,
303.54,162.0,3012,44,478,1441792,0.2,0.8444293886423111,-0.0003389907487871824,-1.9093256484717132,2900,1488.3824339866637,1316.0338134765625,0.39081865549087524,0.0104888916015625,0.0001,0.0032413993,,
302.35,104.0,3078,45,478,1474560,0.2,0.6662448942661285,-3.1552250766253566e-05,-1.9094161558896303,2910,10216.47585735321,4065.432373046875,0.3908151090145111,0.0097564697265625,0.0001,0.0026161983,,
