rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
654.19,187,35,1146880,8901.257,6120,0.0001,27368.71007127762,0.3914167881011963,0.05057373046875,0.006677149,0.2,2810,-1.9144404138205573,0.7801384925842285,3697.018798828125,0.0014419046171042283,,
655.24,187,36,1179648,8488.865,6303,0.0001,29647.215102291106,0.3912232518196106,0.0560333251953125,0.006709361,0.2,2820,-1.913032372528687,0.8145618140697479,2747.007568359375,-0.00045039553551760034,,
637.81,186,37,1212416,7982.9175,6483,0.0001,30470.004835748674,0.3911638855934143,0.0487091064453125,0.0060834084,0.2,2830,-1.9116895145270973,0.8278271853923798,5451.5947265625,-0.0003953287053946042,,
633.33,186,38,1245184,7812.8193,6664,0.0001,33180.09705066681,0.3911937177181244,0.05584716796875,0.0067918687,0.2,2840,-1.9114420959958807,0.772421196103096,7876.6875,0.0007624967206538713,,
664.04,186,39,1277952,8611.7,6846,0.0001,29901.511699295042,0.39097434282302856,0.059503173828125,0.006914963,0.2,2850,-1.9104897777549923,0.8028988987207413,12949.02734375,-0.00011952239995025594,,
676.63,186,40,1310720,9087.112,7028,0.0001,28759.82803964615,0.39092254638671875,0.0650390625,0.0069125816,0.2,2860,-1.9090622453717514,0.8025058060884476,5867.115234375,0.0003978615916594208,,
659.22,186,41,1343488,8714.483,7210,0.0001,28207.95401067734,0.3909948766231537,0.038397216796875,0.0051905387,0.2,2870,-1.9090921682771296,0.7810106724500656,3547.74853515625,-0.0003778833619207944,,
670.13,186,42,1376256,9039.377,7391,0.0001,25947.820664405823,0.39096200466156006,0.066680908203125,0.006739771,0.2,2880,-1.9092999775893986,0.778913214802742,5587.74560546875,0.0005780596050044551,,
694.54,186,43,1409024,9667.091,7573,0.0001,31732.828750991823,0.3910400867462158,0.0632110595703125,0.0068423115,0.2,2890,-1.909536744444631,0.7543338239192963,4034.356201171875,0.0009004371622836516,,
658.08,185,44,1441792,8976.885,7757,0.0001,25178.189458036424,0.3908482789993286,0.0567779541015625,0.006389509,0.2,2900,-1.9091846592724324,0.7964141517877579,5696.822265625,3.0979474786363426e-05,,
640.87,185,45,1474560,8812.285,7941,0.0001,32168.346892261507,0.39081060886383057,0.076458740234375,0.008119362,0.2,2910,-1.907811589143239,0.7294756174087524,4962.61669921875,8.26793470650955e-05,,
642.28,185,46,1507328,8693.523,8122,0.0001,28375.322935199736,0.39084452390670776,0.04197998046875,0.0055298535,0.2,2920,-1.9077327580424026,0.738163411617279,4422.693359375,0.000643266353722538,,
637.52,185,47,1540096,8782.002,8302,0.0001,30366.686870479585,0.3908028304576874,0.058984375,0.0066281715,0.2,2930,-1.907755379471928,0.7386837899684906,2730.5224609375,0.0018532469071942614,,
