time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
4888,371.9309,361,301.0,1769472,54,0.0001,3397.3995418429377,530,-4.814392901211977,423.3997497558594,0.2585334777832031,0.0027516014,0.0214447021484375,0.2,-0.0010455796194946743,0.8116891384124756,,
4982,409.86194,361,301.0,1802240,55,0.0001,1407.0708671569823,540,-4.798927364870906,265.4170837402344,0.39367538690567017,0.0036692542,0.0212493896484375,0.2,-0.0010354725233355567,0.8073623776435852,,
5075,420.37546,361,301.0,1835008,56,0.0001,3151.350801861286,550,-4.777351092547178,620.9315185546875,0.27224642038345337,0.0053560953,0.03150634765625,0.2,-0.0019366971058389026,0.8021591901779175,,
5168,381.84827,361,301.0,1867776,57,0.0001,2229.7129923939706,560,-4.75266958642751,835.3021850585938,0.3014150857925415,0.0044890726,0.0277008056640625,0.2,-0.0015272338800514263,0.7979745864868164,,
5261,383.1285,361,301.0,1900544,58,0.0001,1928.022595143318,570,-4.737068123929203,5680.9931640625,0.3691052198410034,0.0051112818,0.0345184326171875,0.2,-0.0017094940036031403,0.7954298257827759,,
5353,474.04968,361,301.0,1933312,59,0.0001,2423.3588671803473,580,-4.722246520034969,2071.500244140625,0.36854350566864014,0.005749435,0.045355224609375,0.2,-0.0033643944036157334,0.792353630065918,,
5446,442.86484,360,301.0,1966080,60,0.0001,2469.392551076412,590,-4.710591622628272,292.0482177734375,0.2682870030403137,0.0033681463,0.02742919921875,0.2,-0.0006438485839908026,0.7903018593788147,,
5539,446.10144,360,301.0,1998848,61,0.0001,2896.0401217222216,600,-4.692777679301798,375.5268249511719,0.20840173959732056,0.006646913,0.055096435546875,0.2,-0.0029815299184974718,0.785444974899292,,
5632,508.09012,360,301.0,2031616,62,0.0001,2850.383213877678,610,-4.670132282376289,10382.69140625,0.30216771364212036,0.0050430177,0.03310546875,0.2,-0.0020804003523608116,0.7811672687530518,,
5725,467.66052,360,301.0,2064384,63,0.0001,4903.737676143646,620,-4.650473598204553,3988.904052734375,0.18761450052261353,0.003575312,0.027783203125,0.2,-0.00029972428619657877,0.7781584858894348,,
5818,475.23206,360,301.0,2097152,64,0.0001,2844.231100952625,630,-4.640467017330229,333.40301513671875,0.3347148895263672,0.006649604,0.049224853515625,0.2,-0.0025175127886541302,0.7769081592559814,,
5911,327.67117,360,301.0,2129920,65,0.0001,2852.6406810164453,640,-4.634182758070528,393.2296142578125,0.25626397132873535,0.0041079973,0.02381591796875,0.2,0.0006953906080070738,0.7760496735572815,,
6004,397.3656,360,301.0,2162688,66,0.0001,2295.6680442333222,650,-4.6234023867174985,403.9065856933594,0.3507236838340759,0.0065243137,0.065728759765625,0.2,-0.003845595460416007,0.7731819748878479,,
6096,455.1907,360,301.0,2195456,67,0.0001,2230.0043521642683,660,-4.60422087982297,266.8575134277344,0.4161849617958069,0.00644747,0.0644561767578125,0.2,-0.0023252047858022705,0.7683155536651611,,
6189,432.89685,359,301.0,2228224,68,0.0001,2843.280865299702,670,-4.587171477079392,458.73876953125,0.3356110453605652,0.0052472726,0.054345703125,0.2,-0.0020743921298048917,0.7661659121513367,,
6282,417.2865,359,301.0,2260992,69,0.0001,2563.2865259289742,680,-4.577520914003253,956.3240356445312,0.2928262948989868,0.004437696,0.02994384765625,0.2,-0.0005446704897622112,0.7647356986999512,,
6375,483.11038,359,301.0,2293760,70,0.0001,2028.1198469758033,690,-4.563585021905601,906.9437866210938,0.33920878171920776,0.0051850714,0.03656005859375,0.2,-0.0020969519411664804,0.761444091796875,,
6468,431.6842,359,301.0,2326528,71,0.0001,3221.337541079521,700,-4.54331472273916,520.5023803710938,0.26771533489227295,0.00355207,0.0154266357421875,0.2,-0.00045581918561765633,0.7568526864051819,,
6561,479.2787,359,301.0,2359296,72,0.0001,2725.8559584379195,710,-4.5264603812247515,907.8935546875,0.3541364073753357,0.005488203,0.0377685546875,0.2,-0.000860077294464645,0.7543788552284241,,
6655,423.3537,359,301.0,2392064,73,0.0001,3452.0882855415343,720,-4.516929730772972,755.7979736328125,0.31456780433654785,0.0036964878,0.0261962890625,0.2,-0.001243283760140912,0.7532458901405334,,
6749,435.5586,359,301.0,2424832,74,0.0001,2610.7607144117355,730,-4.503529570437967,1721.2498779296875,0.32201194763183594,0.0048690643,0.0366424560546875,0.2,-0.0017727293619373085,0.7496271729469299,,
6843,503.68597,359,301.0,2457600,75,0.0001,2711.5458478450773,740,-4.4863907242193815,586.30859375,0.2861146330833435,0.0048472886,0.0305633544921875,0.2,-0.0016413576761351578,0.7466766834259033,,
6937,479.58533,358,301.0,2490368,76,0.0001,3936.982864809036,750,-4.478219330869615,743.8290405273438,0.23035836219787598,0.0031267747,0.0240509033203125,0.2,0.0007382629383300809,0.7462111711502075,,
7031,355.7732,358,301.0,2523136,77,0.0001,3204.327461206913,760,-4.466273611783981,425.3113708496094,0.267444908618927,0.004748712,0.0284576416015625,0.2,-0.0016576415628151153,0.7429196834564209,,
7125,433.03027,358,301.0,2555904,78,0.0001,2123.80016746521,770,-4.448705230094492,289.0185546875,0.3507416248321533,0.0056187455,0.0503387451171875,0.2,-0.0025309070818821055,0.7397537231445312,,
7218,440.46246,358,301.0,2588672,79,0.0001,2786.2467000484467,780,-4.42447865512222,261.48504638671875,0.22804683446884155,0.004462258,0.0450103759765625,0.2,-0.0019159320562266656,0.7346044778823853,,
7311,455.56055,358,301.0,2621440,80,0.0001,2274.1321689248084,790,-4.399191510863602,449.79107666015625,0.3058969974517822,0.003790107,0.0246551513671875,0.2,-0.0012829110560232948,0.7307796478271484,,
7404,432.7423,358,301.0,2654208,81,0.0001,2554.686381006241,800,-4.38009102717042,779.3853149414062,0.2771698832511902,0.00396583,0.0194915771484375,0.2,0.00011926710617444769,0.7277854681015015,,
7497,438.77353,358,301.0,2686976,82,0.0001,2682.4724445700645,810,-4.369783881492912,1091.652587890625,0.29408878087997437,0.0056476556,0.0440887451171875,0.2,-0.001251561587469041,0.7270747423171997,,
7590,437.8648,358,301.0,2719744,83,0.0001,2648.5980597138405,820,-4.359785486198962,437.4722595214844,0.2881113290786743,0.00588297,0.05355224609375,0.2,-0.0028485590093168867,0.7246102094650269,,
7683,502.2434,358,301.0,2752512,84,0.0001,2595.3387949585913,830,-4.34334542453289,442.13525390625,0.3203529119491577,0.0057986397,0.0563446044921875,0.2,-0.0029063967576803407,0.7215086221694946,,
7777,401.79785,358,301.0,2785280,85,0.0001,3792.2999075055122,840,-4.333865416422486,1309.4827880859375,0.2971130609512329,0.004391531,0.0366943359375,0.2,-0.0010228021070361137,0.7210025787353516,,
7873,493.77472,357,301.0,2818048,86,0.0001,2424.2927515029905,850,-4.322965021058917,1299.2918701171875,0.46217596530914307,0.008335596,0.076007080078125,0.2,-0.0004210517792671453,0.7187118530273438,,
