time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
4816,39,11647.52,265,1200.14,1277952,0.0001,0.5524164736270905,19423.3359375,50938.29387207031,-1.9358611829578876,0.2,0.0052494993,-0.00029718431978835723,0.3934271037578583,0.023822021484375,2850,,
4942,40,10889.034,265,1156.83,1310720,0.0001,0.6049250662326813,17368.16015625,45791.811791992186,-1.9353724502027034,0.2,0.004650626,-0.0002557567633630242,0.3934224843978882,0.0192901611328125,2860,,
5067,41,10548.059,265,1127.99,1343488,0.0001,0.5745739340782166,16489.390625,45255.89099121094,-1.9353215791285039,0.2,0.004313882,0.0007819336373358965,0.39340901374816895,0.020562744140625,2870,,
5193,42,10343.031,264,1113.77,1376256,0.0001,0.4658520221710205,30295.09375,64737.31484375,-1.9352514944970607,0.2,0.004579573,-0.00047378812996612396,0.3934131860733032,0.0216461181640625,2880,,
5320,43,10658.219,264,1133.34,1409024,0.0001,0.6188863515853882,20418.48828125,46856.24958496094,-1.935111827403307,0.2,0.004695055,-0.00044362946136971003,0.3933727443218231,0.0268341064453125,2890,,
5443,44,10785.878,264,1110.5,1441792,0.0001,0.6462740004062653,15794.068359375,39773.786560058594,-1.9346199303865432,0.2,0.004491181,2.5480393014731816e-05,0.39332497119903564,0.02435302734375,2900,,
5569,45,11039.267,264,1149.47,1474560,0.0001,0.5983447432518005,17301.111328125,46849.78583984375,-1.934349598735571,0.2,0.0047042323,-0.0008930850664910395,0.3933272063732147,0.01910400390625,2910,,
5697,46,10435.699,264,1128.68,1507328,0.0001,0.45991986989974976,27501.255859375,77345.88703613282,-1.9343557372689246,0.2,0.003543996,0.002569889144797344,0.3933313488960266,0.0151031494140625,2920,,
5820,47,10383.39,264,1122.41,1540096,0.0001,0.632871687412262,24932.65625,75297.76635742188,-1.9343570254743099,0.2,0.005072701,0.0002857288702216465,0.39333099126815796,0.0311248779296875,2930,,
5948,48,10998.349,264,1149.32,1572864,0.0001,0.6522815525531769,19958.095703125,50980.83696289062,-1.9342342540621758,0.2,0.004442269,-0.00013224916910985484,0.3933015465736389,0.024468994140625,2940,,
,,,,,1600000,0.0001,0.7570436298847198,17716.654296875,48821.83444824219,-1.9339367680251598,0.2,0.0047879294,-0.0004956835753546329,0.3932739496231079,0.02374267578125,2950,1356.03,7987.26806640625
6840,49,11271.021,234,1201.64,1605632,,,,,,,,,,,,,
6965,50,11536.574,235,1203.56,1638400,0.0001,0.6345670223236084,19374.80078125,52784.973461914065,-1.9337202034890653,0.2,0.00453717,0.0006354073717375286,0.393261194229126,0.0209625244140625,2960,,
7089,51,11544.829,235,1194.51,1671168,0.0001,0.593899130821228,16716.349609375,42467.195629882815,-1.933662723749876,0.2,0.0033879697,0.00044694927928503605,0.3932657837867737,0.014166259765625,2970,,
7213,52,11252.893,236,1175.76,1703936,0.0001,0.5962989926338196,18850.818359375,50911.29738769531,-1.9335375763475895,0.2,0.004114108,-0.0004995807434170274,0.3932289481163025,0.0190185546875,2980,,
7337,53,11446.37,236,1178.79,1736704,0.0001,0.5825574696063995,18552.89453125,45633.181115722655,-1.9331109367311001,0.2,0.0043579503,-0.0001813951526855817,0.3931824862957001,0.0209991455078125,2990,,
7465,54,11175.764,237,1186.05,1769472,0.0001,0.6759648025035858,16916.494140625,43653.591064453125,-1.9327398389577866,0.2,0.003921982,4.851355333812535e-05,0.3931557238101959,0.0185699462890625,3000,,
7587,55,10969.942,237,1203.39,1802240,0.0001,0.4495217204093933,30794.1640625,117808.0033203125,-1.9325891375541686,0.2,0.0038003745,-0.0008932978056691354,0.3931592106819153,0.01583251953125,3010,,
7717,56,11835.985,237,1256.91,1835008,0.0001,0.6568743884563446,17101.400390625,45682.43051757813,-1.932492057234049,0.2,0.0043676486,0.0006084338470827788,0.3931272625923157,0.0224212646484375,3020,,
7844,57,11651.512,238,1215.77,1867776,0.0001,0.7308696210384369,19241.087890625,44315.63697509766,-1.9322969183325767,0.2,0.0051827487,0.00022337879927363246,0.39312899112701416,0.02623291015625,3030,,
7970,58,12177.5,238,1196.37,1900544,0.0001,0.653240978717804,18513.78515625,45312.04949951172,-1.9322799563407898,0.2,0.004516928,-4.9908725486602634e-05,0.3931177854537964,0.0222930908203125,3040,,
8098,59,12899.085,238,1248.35,1933312,0.0001,0.5966600179672241,17769.935546875,45347.77943115235,-1.932027593255043,0.2,0.0034557283,-0.0004983449485735037,0.3930756449699402,0.01494140625,3050,,
8228,60,12771.076,238,1256.3,1966080,0.0001,0.7131290137767792,14447.9521484375,37355.54970703125,-1.9316988535225392,0.2,0.004597256,-0.00022603870675084182,0.39305195212364197,0.0223419189453125,3060,,
8353,61,10951.75,239,1293.33,1998848,0.0001,0.5160939991474152,17688.4296875,60409.32789306641,-1.93156628459692,0.2,0.004180635,-0.00027085900292149744,0.39306047558784485,0.0225189208984375,3070,,
8479,62,11485.199,239,1326.1,2031616,0.0001,0.4599175453186035,262775.65625,560876.7545898438,-1.9316752813756466,0.2,0.0039008406,0.0007468869713193272,0.3930668830871582,0.0202667236328125,3080,,
