time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
524288,301.0,-496.48163,1972,16,265,3018.0440806388856,0.01,150,0.0,5.151666164398193,0.9897735595703125,1087.9642333984375,-11.653819527849555,0.21176557071921706,0.2,227.84157
557056,301.0,-513.9656,2147,17,259,2303.1537115573883,0.01,160,0.0,5.795913219451904,0.989862060546875,1329.4368896484375,-12.479858852550388,0.2110352285559202,0.2,93.47911
589824,301.0,-497.0106,2313,18,254,1906.0231684923172,0.01,170,0.0,5.898874759674072,0.9878173828125,871.6721801757812,-12.486175010725855,0.21718049581086235,0.2,58.614746
622592,301.0,-496.54984,2482,19,250,1527.7653398513794,0.01,180,0.0,5.639115810394287,0.99075927734375,637.7467041015625,-12.448353810235858,0.22000156499416335,0.2,74.587906
655360,301.0,-496.52652,2645,20,247,1227.5566681563855,0.01,190,0.0,7.477025032043457,0.9908447265625,160.13121032714844,-13.388975850120186,0.22047474401151704,0.2,31.70497
688128,301.0,-480.05988,2805,21,245,993.6319714844227,0.01,200,-1.1920928955078125e-07,10.566024780273438,0.989715576171875,630.7619018554688,-14.787042906135321,0.2156909393677779,0.2,27.173233
720896,301.0,-496.21246,2965,22,243,827.757603135705,0.01,210,0.0,9.168317794799805,0.9930023193359375,276.0820007324219,-14.145435323938727,0.21161835088387307,0.2,49.12701
753664,301.0,-496.85208,3126,23,241,791.5224096417427,0.01,220,0.0,11.815925598144531,0.992340087890625,331.46014404296875,-14.507948007434607,0.22058516527285973,0.2,170.6226
786432,301.0,-496.69156,3290,24,239,709.0284644424916,0.01,230,-1.1920928955078125e-07,11.688475608825684,0.993121337890625,499.99554443359375,-14.469047318771482,0.2203539783909946,0.2,82.43356
819200,301.0,-496.99298,3408,25,240,641.5512410759926,0.01,240,0.0,10.222193717956543,0.9953216552734375,267.7359924316406,-14.37393165975809,0.22157070433277112,0.2,42.628365
851968,301.0,-496.17792,3508,26,242,581.2377529904246,0.01,250,0.0,12.463019371032715,0.9964813232421875,462.2388916015625,-14.775675821304322,0.21829384095253773,0.2,20.979544
884736,301.0,-496.45673,3611,27,244,500.8509268462658,0.01,260,5.960464477539063e-08,16.190303802490234,0.996453857421875,556.71044921875,-15.830351170897483,0.21008112412546326,0.2,33.25378
917504,301.0,-496.60242,3716,28,246,535.909124302864,0.01,270,-2.384185791015625e-07,16.183317184448242,0.9968780517578125,256.52874755859375,-15.8196793936193,0.22281480372948864,0.2,42.60179
950272,301.0,-496.63965,3821,29,248,516.7672676324844,0.01,280,0.0,20.272544860839844,0.9966064453125,178.49368286132812,-17.208353953436017,0.22522803769134042,0.2,22.863398
983040,301.0,-496.31128,3924,30,250,499.8145038664341,0.01,290,-1.1920928955078125e-07,20.440282821655273,0.3785858154296875,141.80833435058594,-17.24246018156409,0.029328936556248665,0.2,0.08426013
1015808,301.0,-496.6443,4027,31,252,474.1206701517105,0.01,300,0.0,20.750728607177734,0.29254150390625,105.77507781982422,-17.25287706851959,0.01537137361956411,0.2,0.06074891
