time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/std,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1474560,3296,301.0,45,447,629.45514,0.014854668,3717.423114824295,0.0050565045807161365,0.001,0.2,0.1766082763671875,0.7496688961982727,1946.87158203125,440,0.19517898559570312,-4.48786288946867,,
1507328,3371,301.0,46,447,592.37305,0.01788396,4050.067838191986,0.003735241139293066,0.001,0.2,0.1726959228515625,0.7478854060173035,489.20379638671875,450,0.20307481288909912,-4.468378352746368,,
1540096,3445,301.0,47,446,516.0067,0.015966248,3397.3902345180513,0.0037883460217926768,0.001,0.2,0.1665435791015625,0.73944491147995,5932.85302734375,460,0.22901540994644165,-4.4274564575403925,,
1572864,3520,301.0,48,446,654.324,0.012941362,3490.513475370407,0.004027624379614281,0.001,0.2,0.172625732421875,0.7345410585403442,797.5595092773438,470,0.27439022064208984,-4.388547068461776,,
1600000,,,,,,0.015162385,4127.100251245499,0.005782552002710872,0.001,0.2,0.1863494873046875,0.7244814038276672,2734.49072265625,480,0.2247755527496338,-4.344338969886303,301.0,1179.8992919921875
1605632,3645,301.0,49,440,560.17596,,,,,,,,,,,,,
1638400,3719,301.0,50,440,619.15704,0.012079532,1800.885903596878,0.003661067577650101,0.001,0.2,0.1524993896484375,0.7163680791854858,595.5603637695312,490,0.3748413920402527,-4.283661295101046,,
1671168,3793,301.0,51,440,611.209,0.014132183,2365.754806137085,0.0056504684784158595,0.001,0.2,0.1838165283203125,0.7110961079597473,471.3800048828125,500,0.2642357349395752,-4.2418245986104015,,
1703936,3868,301.0,52,440,586.48425,0.024708468,3015.0150813579558,0.005010929564468825,0.001,0.2,0.1988677978515625,0.703332781791687,383.96966552734375,510,0.23873180150985718,-4.2094575554132465,,
1736704,3942,301.0,53,440,662.2224,0.016156001,1577.0088500976562,0.003942277753867529,0.001,0.2,0.1714447021484375,0.6992785334587097,776.4814453125,520,0.4122151732444763,-4.168524324893951,,
1769472,4017,301.0,54,440,648.823,0.015925933,4009.884134435654,0.00456679977442036,0.001,0.2,0.183856201171875,0.6907396912574768,779.7738037109375,530,0.20102190971374512,-4.1233464315533634,,
1802240,4091,301.0,55,440,650.89185,0.0152766295,3581.8454718112944,0.004451964888630755,0.001,0.2,0.18636474609375,0.6832431554794312,1019.7401733398438,540,0.22704297304153442,-4.074091761559248,,
1835008,4166,301.0,56,440,702.8003,0.01625522,1790.4063913345337,0.0044142860182546425,0.001,0.2,0.168280029296875,0.6754248738288879,4175.5205078125,550,0.2797080874443054,-4.026991780847311,,
1867776,4241,301.0,57,440,732.3142,0.014461711,2970.7794444084166,0.0054862778638380405,0.001,0.2,0.181878662109375,0.6675910949707031,1010.9349365234375,560,0.2119230031967163,-3.98871007822454,,
1900544,4315,301.0,58,440,829.81885,0.015756555,2343.6910875320436,0.006497599332942627,0.001,0.2,0.1857177734375,0.659083902835846,877.5402221679688,570,0.28102701902389526,-3.9390508035197853,,
1933312,4390,301.0,59,440,847.6501,0.009364438,4159.690930271148,0.006078575945412013,0.001,0.2,0.1688323974609375,0.6581804156303406,3058.628662109375,580,0.20696592330932617,-3.922145140916109,,
1966080,4464,301.0,60,440,856.8935,0.022759184,3003.0701519966124,0.00542010187100459,0.001,0.2,0.173846435546875,0.6523280143737793,902.5929565429688,590,0.2724578380584717,-3.8846447966992854,,
1998848,4539,301.0,61,440,829.30164,0.02431818,4981.115490341186,0.008780643281261291,0.001,0.2,0.236676025390625,0.6454373598098755,4204.00830078125,600,0.17347711324691772,-3.849847761169076,,
2031616,4614,301.0,62,440,810.51874,0.015951004,3193.8404458522796,0.00762551914958749,0.001,0.2,0.22374267578125,0.6403639316558838,3053.626953125,610,0.2212352156639099,-3.8167318634688856,,
