rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/explained_variance,train/std,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
88.83869,1069,301.0,393216,12,367,0.5331064462661743,0.9019647836685181,0.001,0.0873321533203125,0.007579467,110,0.2,-5.259869419038296,112.11852264404297,-0.0021606567262097086,1093.7122371137143
129.09462,1159,301.0,425984,13,367,0.8437333405017853,0.8934073448181152,0.001,0.100555419921875,0.008600612,120,0.2,-5.231400211714208,107.08683776855469,-0.004284651210491574,237.03340458273888
121.31124,1250,301.0,458752,14,366,0.7198109924793243,0.8879716396331787,0.001,0.1187835693359375,0.008773971,130,0.2,-5.183993520587682,151.321044921875,-0.0025262701496103547,565.9769048273563
213.45514,1341,301.0,491520,15,366,0.75091253221035,0.8788843750953674,0.001,0.118212890625,0.008453086,140,0.2,-5.176893729344011,271.4073181152344,-0.002020022424403578,557.3615845739841
185.05812,1431,301.0,524288,16,366,0.4769238233566284,0.8720409870147705,0.001,0.139599609375,0.011549282,150,0.2,-5.125262918137014,846.6345825195312,4.239345798850991e-06,1093.6801894307137
172.18358,1521,301.0,557056,17,366,0.4060977101325989,0.863672137260437,0.001,0.1435638427734375,0.01027422,160,0.2,-5.1073331195861105,125.00299072265625,0.0007957837975027359,1182.912684905529
199.13936,1612,301.0,589824,18,365,0.7476138770580292,0.8564693927764893,0.001,0.153369140625,0.011554744,170,0.2,-5.043827661685645,119.92265319824219,-0.0006311527171419584,264.57690554857254
219.50197,1703,301.0,622592,19,365,0.7661070078611374,0.8505780100822449,0.001,0.1603515625,0.01279964,180,0.2,-5.015934310667217,163.9297332763672,0.0030409513501581387,275.07738436460494
191.74547,1794,301.0,655360,20,365,0.2775353789329529,0.8472641110420227,0.001,0.14072265625,0.011510173,190,0.2,-5.0031841298565265,3180.116943359375,0.001720225211829529,2638.4519883215426
226.46483,1885,301.0,688128,21,364,0.4335519075393677,0.8404198288917542,0.001,0.156121826171875,0.013071925,200,0.2,-4.988942123763263,163.75579833984375,-0.0019228646410738293,1432.4474244773387
310.94403,1977,301.0,720896,22,364,0.7362659871578217,0.8294937610626221,0.001,0.16014404296875,0.010711599,210,0.2,-4.936236939765513,175.8150177001953,-0.006095180229885954,311.0020853221416
356.10983,2068,301.0,753664,23,364,0.33213579654693604,0.8218603134155273,0.001,0.1643402099609375,0.011918381,220,0.2,-4.893060827627778,194.06118774414062,-0.0008880605430476862,1749.0396656036378
427.40973,2162,301.0,786432,24,363,0.1709500551223755,0.8165238499641418,0.001,0.163946533203125,0.014007423,230,0.2,-4.860350843518972,1334.72216796875,0.003907383455180024,2908.4304245114326
346.76923,2255,301.0,819200,25,363,0.12717324495315552,0.8055662512779236,0.001,0.2013671875,0.017325662,240,0.2,-4.810119069181383,2584.294921875,0.0037596471660435783,4465.116802632809
302.36514,2348,301.0,851968,26,362,0.21118152141571045,0.7973294258117676,0.001,0.1999664306640625,0.01626945,250,0.2,-4.773750963248313,225.78782653808594,0.005751000340114843,2391.247452914715
353.001,2440,301.0,884736,27,362,0.3931845426559448,0.7874881029129028,0.001,0.1700225830078125,0.011584569,260,0.2,-4.7339537622407075,186.1720733642578,0.0024223980526130616,931.3496012330055
407.88342,2533,301.0,917504,28,362,0.3028690218925476,0.7832168340682983,0.001,0.1831787109375,0.013766512,270,0.2,-4.681036584451794,191.7417755126953,0.0038702648785829295,1826.1238597750664
458.6493,2625,301.0,950272,29,361,0.2267988920211792,0.7760660648345947,0.001,0.1967041015625,0.016912049,280,0.2,-4.669733286090195,263.737060546875,0.0051759946863057845,2523.0989273667337
350.5619,2718,301.0,983040,30,361,0.10245400667190552,0.7665975093841553,0.001,0.2324066162109375,0.017321559,290,0.2,-4.602690538205207,3974.873779296875,0.006493502988178079,4313.246292483806
360.932,2812,301.0,1015808,31,361,0.16466110944747925,0.7582244277000427,0.001,0.19176025390625,0.015320081,300,0.2,-4.567054717242717,387.5952453613281,0.004694780934050869,1833.3446432352066
