time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/std,train/n_updates,train/loss
291,19,155648,182.04192,533,301.0,0.061892032623291016,0.00020835904,0.001,0.0,0.2,-0.0001767962530720979,-5.6977947473526,15323.676708984374,1.0055935382843018,180,6768.79296875
291,20,163840,187.80824,561,301.0,0.10917055606842041,0.00010283213,0.001,0.0,0.2,-8.85507630300708e-05,-5.697842407226562,8295.537451171875,1.0057200193405151,190,4055.183837890625
291,21,172032,217.64096,589,301.0,0.06705176830291748,0.00034257176,0.001,0.0,0.2,-0.00019927207322325557,-5.698833155632019,19127.472265625,1.0060570240020752,200,9637.80859375
291,22,180224,223.21094,617,301.0,0.08963984251022339,4.998419e-05,0.001,0.0,0.2,4.090790753252804e-06,-5.699742460250855,17782.228466796874,1.006156086921692,210,8663.8203125
292,23,188416,236.48067,645,301.0,0.07450300455093384,0.0021127795,0.001,0.000390625,0.2,-0.0012299277557758614,-5.700039362907409,11122.21826171875,1.0062272548675537,220,6052.1357421875
292,24,196608,203.19963,672,301.0,0.08412003517150879,0.0004246886,0.001,0.0,0.2,-0.0004991149413399399,-5.700297951698303,17130.7978515625,1.0062825679779053,230,9331.7587890625
292,25,204800,181.35468,700,301.0,0.1430550217628479,0.00017013392,0.001,0.0,0.2,-0.00014968803734518587,-5.700435280799866,15670.379052734375,1.006293535232544,240,8489.349609375
292,26,212992,169.02562,729,301.0,0.17922943830490112,7.110613e-05,0.001,0.0,0.2,-0.0001455883524613455,-5.700368809700012,12274.65869140625,1.0062453746795654,250,5611.80322265625
292,27,221184,146.54024,756,301.0,0.12729644775390625,3.9331455e-05,0.001,0.0,0.2,-2.9351303237490355e-05,-5.7001996517181395,10013.716455078125,1.0062311887741089,260,4729.501953125
292,28,229376,167.11829,784,301.0,0.17638498544692993,6.220381e-05,0.001,0.0,0.2,-0.00012425387394614517,-5.700210595130921,10711.74873046875,1.006232738494873,270,4799.23974609375
292,29,237568,208.62201,811,301.0,0.1499384045600891,8.4549065e-05,0.001,0.0,0.2,3.433770325500518e-05,-5.700183796882629,16014.874072265626,1.006222128868103,280,7180.4091796875
293,30,245760,244.59279,838,301.0,0.1294482946395874,4.205224e-05,0.001,0.0,0.2,-5.510594928637147e-06,-5.700177001953125,20814.0416015625,1.0062350034713745,290,10136.4404296875
293,31,253952,227.61809,865,301.0,0.15595084428787231,6.332476e-05,0.001,0.0,0.2,-5.416219937615096e-06,-5.700227665901184,11986.537255859375,1.0062404870986938,300,5635.24609375
293,32,262144,185.73563,893,301.0,0.2003004550933838,6.181679e-05,0.001,0.0,0.2,-4.005682421848178e-05,-5.7002513885498045,7555.5455322265625,1.006248950958252,310,3514.389892578125
293,33,270336,143.03789,920,301.0,0.20644831657409668,6.595243e-05,0.001,0.0,0.2,-0.0001482259773183614,-5.700252437591553,8990.388916015625,1.0062309503555298,320,4632.05126953125
